鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物),臺北市文山區景華街128巷1~30號,24.01,住,,,1020401,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730121,90.63,3,2,1,有,無,12000000,132406,,0.0,0,,RPVOMLLJNHIFFAA27CA
北投區,房地(土地+建物),臺北市北投區崗山路11巷1~30號,25.06,住,,,1030226,土地4建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730814,164.59,5,2,3,有,無,11800000,71693,,0.0,0,,RPRQMLOKMHJFFEA87CA
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路二段8巷1~30號,17.22,商,,,1041116,土地2建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041014,109.24000000000001,0,0,0,無,有,36770000,336598,塔式車位,17.43,0,,RPTNMLPKOHMFFAA97CA
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路二段8巷1~30號,17.22,商,,,1041116,土地2建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041014,109.24000000000001,0,0,0,無,有,36770000,336598,塔式車位,17.43,0,,RPVNMLPKOHMFFAA18CA
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路二段8巷1~30號,12.45,商,,,1041116,土地2建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041014,80.28,0,0,0,無,有,27740000,345541,塔式車位,17.43,0,,RPWNMLPKOHMFFAA28CA
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路二段8巷1~30號,13.96,商,,,1050712,土地2建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041014,89.41,0,0,0,無,有,30600000,342244,塔式車位,17.43,0,,RPXNMLPKOHMFFAA38CA
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路二段8巷1~30號,12.45,商,,,1050705,土地2建物1車位1,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041014,80.52,0,0,0,無,有,22000000,273224,塔式車位,17.43,0,,RPOOMLPKOHMFFAA57CA
內湖區,房地(土地+建物)+車位,臺北市內湖區文湖街21巷61~90號,53.28,住,,,1050829,土地1建物1車位3,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041015,407.72,3,2,2,有,有,63000000,167770,坡道平面,66.48,5750000,,RPROMLQLRHLFFCA48CA
萬華區,房地(土地+建物),臺北市萬華區西寧南路301~330號,2.96,商,,,1050818,土地1建物1車位0,二層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050701,34.15,1,1,1,有,有,8200000,240117,,0.0,0,,RPVNMLOKOHMFFBA18CA
萬華區,房地(土地+建物),臺北市萬華區西寧南路301~330號,3.54,商,,,1050617,土地1建物1車位0,二層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050701,43.400000000000006,1,1,1,有,有,9000000,207373,,0.0,0,,RPXNMLOKOHMFFBA38CA
