編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVOMLLJNHIFFAA27CA,29,79.97,住家用,鋼筋混凝土造,73年1月21日,五層,四層
RPVOMLLJNHIFFAA27CA,29,10.66,共有部分,鋼筋混凝土造,73年1月21日,五層,
RPRQMLOKMHJFFEA87CA,30,156.37,住家用,鋼筋混凝土造,73年8月14日,五層,一層
RPRQMLOKMHJFFEA87CA,30,8.22,共有部分,鋼筋混凝土造,73年8月14日,五層,
RPTNMLPKOHMFFAA97CA,,58.75,住家用,鋼筋混凝土造,104年10月14日,九層,三層
RPTNMLPKOHMFFAA97CA,,17.43,見其他登記事項,鋼筋混凝土造,104年10月14日,九層,
RPTNMLPKOHMFFAA97CA,,33.06,見其他登記事項,鋼筋混凝土造,104年10月14日,九層,
RPVNMLPKOHMFFAA18CA,,58.75,住家用,鋼筋混凝土造,104年10月14日,九層,五層
RPVNMLPKOHMFFAA18CA,,17.43,見其他登記事項,鋼筋混凝土造,104年10月14日,九層,
RPVNMLPKOHMFFAA18CA,,33.06,見其他登記事項,鋼筋混凝土造,104年10月14日,九層,
RPWNMLPKOHMFFAA28CA,,40.22,住家用,鋼筋混凝土造,104年10月14日,九層,七層
RPWNMLPKOHMFFAA28CA,,17.43,見其他登記事項,鋼筋混凝土造,104年10月14日,九層,
RPWNMLPKOHMFFAA28CA,,22.64,見其他登記事項,鋼筋混凝土造,104年10月14日,九層,
RPXNMLPKOHMFFAA38CA,1,46.09,住家用,鋼筋混凝土造,104年10月14日,九層,七層
RPXNMLPKOHMFFAA38CA,1,17.43,見其他登記事項,鋼筋混凝土造,104年10月14日,九層,
RPXNMLPKOHMFFAA38CA,1,25.89,見其他登記事項,鋼筋混凝土造,104年10月14日,九層,
RPOOMLPKOHMFFAA57CA,1,40.37,住家用,鋼筋混凝土造,104年10月14日,九層,四層
RPOOMLPKOHMFFAA57CA,1,17.43,見其他登記事項,鋼筋混凝土造,104年10月14日,九層,
RPOOMLPKOHMFFAA57CA,1,22.72,見其他登記事項,鋼筋混凝土造,104年10月14日,九層,
RPROMLQLRHLFFCA48CA,1,223.34,住家用,鋼筋混凝土造,104年10月15日,十一層,六層
RPROMLQLRHLFFCA48CA,1,144.78,見其他登記事項,鋼筋混凝土造,104年10月15日,十一層,
RPROMLQLRHLFFCA48CA,1,.70,見其他登記事項,鋼筋混凝土造,104年10月15日,十一層,一層
RPROMLQLRHLFFCA48CA,1,.32,見其他登記事項,鋼筋混凝土造,104年10月15日,十一層,
RPROMLQLRHLFFCA48CA,1,23.02,停車空間,鋼筋混凝土造,104年10月15日,十一層,地下三層 地下二層 地下一層
RPROMLQLRHLFFCA48CA,1,15.56,見其他登記事項,鋼筋混凝土造,104年10月15日,十一層,
RPVNMLOKOHMFFBA18CA,,19.59,住家用,鋼筋混凝土造,105年7月1日,十三層,二層
RPVNMLOKOHMFFBA18CA,,14.56,見其他登記事項,鋼筋混凝土造,105年7月1日,十三層,
RPXNMLOKOHMFFBA38CA,,25.96,住家用,鋼筋混凝土造,105年7月1日,十三層,二層
RPXNMLOKOHMFFBA38CA,,17.44,見其他登記事項,鋼筋混凝土造,105年7月1日,十三層,
RPTNMLOKOHMFFBA97CA,,24.63,住家用,鋼筋混凝土造,105年7月1日,十三層,三層
RPTNMLOKOHMFFBA97CA,,16.32,見其他登記事項,鋼筋混凝土造,105年7月1日,十三層,
RPOOMLOKOHMFFBA57CA,,19.59,住家用,鋼筋混凝土造,105年7月1日,十三層,五層
RPOOMLOKOHMFFBA57CA,,14.56,見其他登記事項,鋼筋混凝土造,105年7月1日,十三層,
RPROMLOKOHMFFBA87CA,,43.12,住家用,鋼筋混凝土造,105年7月1日,十三層,九層
RPROMLOKOHMFFBA87CA,,30.68,見其他登記事項,鋼筋混凝土造,105年7月1日,十三層,
RPSOMLOKOHMFFBA97CA,,47.54,住家用,鋼筋混凝土造,105年7月1日,十三層,十層
RPSOMLOKOHMFFBA97CA,,33.84,見其他登記事項,鋼筋混凝土造,105年7月1日,十三層,
RPTOMLOKOHMFFBA08CA,,24.80,住家用,鋼筋混凝土造,105年7月1日,十三層,八層
RPTOMLOKOHMFFBA08CA,,16.93,見其他登記事項,鋼筋混凝土造,105年7月1日,十三層,
RPQOMLPKOHMFFBA87CA,,23.80,住家用,鋼筋混凝土造,105年7月1日,十三層,七層
RPQOMLPKOHMFFBA87CA,,10.99,見其他登記事項,鋼筋混凝土造,105年7月1日,十三層,
RPQOMLPKOHMFFBA87CA,,16.50,見其他登記事項,鋼筋混凝土造,105年7月1日,十三層,
RPUOMLQJJHMFFBA77CA,,50.94,住家用,鋼筋混凝土造,105年10月25日,五層,二層
RPUOMLQJJHMFFBA77CA,,32.74,見其他登記事項,鋼筋混凝土造,105年10月25日,五層,
RPWOMLQJJHMFFBA97CA,,30.86,住家用,鋼筋混凝土造,105年10月25日,五層,二層
RPWOMLQJJHMFFBA97CA,,19.83,見其他登記事項,鋼筋混凝土造,105年10月25日,五層,
RPOPMLQJJHMFFBA27CA,,91.87,住家用,鋼筋混凝土造,105年10月25日,五層,四層
RPOPMLQJJHMFFBA27CA,,59.03,見其他登記事項,鋼筋混凝土造,105年10月25日,五層,
RPWOMLOKOHMFFBA38CA,,24.63,住家用,鋼筋混凝土造,105年7月1日,十三層,九層
RPWOMLOKOHMFFBA38CA,,16.32,見其他登記事項,鋼筋混凝土造,105年7月1日,十三層,
SPWOMLOKOHMFFBA48CA,,19.59,住家用,鋼筋混凝土造,105年7月1日,十三層,八層
SPWOMLOKOHMFFBA48CA,,14.56,見其他登記事項,鋼筋混凝土造,105年7月1日,十三層,
TPWOMLOKOHMFFBA58CA,,42.30,住家用,鋼筋混凝土造,105年7月1日,十三層,十一層
TPWOMLOKOHMFFBA58CA,,29.29,見其他登記事項,鋼筋混凝土造,105年7月1日,十三層,
UPWOMLOKOHMFFBA68CA,,31.65,住家用,鋼筋混凝土造,105年7月1日,十三層,十三層
UPWOMLOKOHMFFBA68CA,,10.99,見其他登記事項,鋼筋混凝土造,105年7月1日,十三層,
UPWOMLOKOHMFFBA68CA,,23.54,見其他登記事項,鋼筋混凝土造,105年7月1日,十三層,
VPWOMLOKOHMFFBA78CA,,22.50,住家用,鋼筋混凝土造,105年7月1日,十三層,十三層
