鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
松山區,房地(土地+建物)+車位,敦化段四小段421~450地號,84.64,住,,,1021007,土地3建物1車位4,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,619.76,0,0,0,無,無,252050000,514865,坡道平面,158.96,14800000,,RPTOMLKKNHMFFDA87CB
松山區,房地(土地+建物)+車位,敦化段四小段391~420地號,84.74,住,,,1030215,土地3建物1車位3,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,592.07,0,0,0,無,無,275200000,559585,坡道平面,119.22,10600000,,RPUOMLKKNHMFFDA97CB
松山區,房地(土地+建物)+車位,敦化段四小段391~420地號,84.95,住,,,1051004,土地3建物1車位3,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,592.94,0,0,0,無,無,281840000,571308,坡道平面,119.22,11200000,,RPVOMLKKNHMFFDA08CB
松山區,房地(土地+建物)+車位,敦化段四小段391~420地號,84.74,住,,,1021112,土地3建物1車位3,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,592.07,0,0,0,無,無,286740000,582722,坡道平面,119.22,11200000,,RPWOMLKKNHMFFDA18CB
松山區,房地(土地+建物)+車位,敦化段四小段391~420地號,84.74,住,,,1021112,土地3建物1車位3,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,588.84,0,0,0,無,無,289110000,592202,坡道平面,119.22,11000000,,RPXOMLKKNHMFFDA28CB
松山區,房地(土地+建物)+車位,敦化段四小段391~420地號,87.91,住,,,1021226,土地3建物1車位4,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,637.78,0,0,0,無,無,333770000,665323,坡道平面,158.96,15200000,,RPPPMLKKNHMFFDA57CB
松山區,房地(土地+建物)+車位,敦化段四小段421~450地號,84.74,住,,,1021112,土地3建物1車位3,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,592.07,0,0,0,無,無,292120000,595369,坡道平面,119.22,10600000,,RPUPMLKKNHMFFDA08CB
北投區,房地(土地+建物)+車位,三合段1~30地號,45.29,住,,,1020601,土地1建物1車位2,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,323.43,3,2,2,有,無,53420000,204756,坡道平面,90.86,5800000,,RPSNMLKKNHMFFEA97EB
北投區,房地(土地+建物)+車位,三合段1~30地號,43.34,住,,,1020701,土地1建物1車位2,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,294.53,3,2,2,有,無,60600000,271027,坡道平面,90.86,5400000,,RPTNMLKKNHMFFEA08EB
北投區,房地(土地+建物)+車位,三合段1~30地號,45.43,住,,,1020601,土地1建物1車位2,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,328.46,3,2,2,有,無,53000000,200337,坡道平面,90.86,5400000,,RPUNMLKKNHMFFEA18EB
