編號,車位類別,車位價格,車位面積平方公尺
RPSNMLOJJHMFFEA77CC,一樓平面,0,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,2500,
RPROMLMLLHMFFDA87CC,坡道平面,0,
RPROMLMLLHMFFDA87CC,坡道平面,0,
RPROMLMLLHMFFDA87CC,坡道平面,0,
RPOPMLLJNHMFFEA67CC,坡道平面,0,28.97
RPWNMLMJNHMFFFA48CC,坡道平面,0,
RPQNMLNJNHMFFEA87CC,坡道平面,0,37.85
RPUOMLNJNHMFFCA18CC,升降機械,0,
RPUOMLNJNHMFFCA18CC,升降機械,0,
RPVOMLNJNHMFFCA28CC,坡道平面,4000,41.56
RPSNMLNJNHMFFDA97CC,坡道平面,0,66.64
RPUNMLNJNHMFFDA18CC,坡道平面,0,38.00
RPUNMLNJNHMFFDA18CC,坡道平面,0,38.00
RPUNMLNJNHMFFDA18CC,坡道平面,0,38.00
RPRNMLNJNHMFFBA67CC,升降機械,0,
RPVPMLOJNHMFFBA38CC,坡道平面,0,
RPOOMLOJNHMFFCA67CC,坡道平面,0,47.52
RPSOMLOJNHMFFCA08CC,坡道機械,0,18.98
RPVNMLOJNHMFFEA48CC,坡道平面,0,
RPVNMLOJNHMFFEA48CC,坡道平面,0,
RPPOMLOJNHMFFEA97CC,坡道平面,0,
RPPOMLOJNHMFFEA97CC,坡道平面,0,
RPOQMLOJNHMFFCA97DC,升降平面,3000,36.01
RPOQMLOJNHMFFCA97DC,升降機械,6500,79.90
RPVOMLPJNHMFFFA78CC,一樓平面,0,
RPPPMLPJNHMFFEA18CC,坡道平面,0,38.00
RPXOMLPJNHMFFCA68CC,坡道平面,3000,32.23
RPSQMLPJNHMFFCA38CC,坡道平面,0,45.09
RPUQMLPJNHMFFCA58CC,坡道平面,0,45.08
RPWRMLPJNHMFFCA88CC,坡道平面,0,1.45
RPQNMLPJNHMFFDA97CC,坡道平面,0,41.19
RPRNMLPJNHMFFBA87CC,坡道平面,0,35.94
RPRNMLPJNHMFFBA87CC,塔式車位,0,35.94
RPPNMLRJNHMFFAA77CC,坡道平面,0,
RPQNMLRJNHMFFAA87CC,坡道平面,0,
RPRNMLRJNHMFFAA97CC,坡道平面,0,
RPSNMLRJNHMFFAA08CC,坡道平面,0,
RPTNMLRJNHMFFAA18CC,坡道平面,0,
RPUNMLRJNHMFFAA28CC,坡道平面,0,
RPPNMLSJNHMFFAA87CC,坡道平面,0,
RPQNMLSJNHMFFAA97CC,坡道平面,0,
RPRNMLSJNHMFFAA08CC,坡道平面,0,
RPSNMLSJNHMFFAA18CC,坡道平面,0,
RPRQMLSJNHMFFCA58CC,坡道平面,0,39.58
RPSOMLTJNHMFFDA68CC,坡道平面,0,69.60
RPQNMLTJNHMFFFA58CC,升降平面,0,29.65
RPQNMLTJNHMFFFA58CC,升降平面,0,29.65
RPORMLKKNHMFFEA87CC,坡道平面,0,
RPUNMLKKNHMFFFA18CC,坡道平面,0,
RPUNMLKKNHMFFFA18CC,坡道平面,0,
RPUNMLKKNHMFFFA18CC,坡道平面,0,
RPXNMLKKNHMFFFA48CC,坡道機械,0,21.17
RPXNMLKKNHMFFFA48CC,坡道機械,0,14.58
RPXNMLKKNHMFFFA48CC,坡道機械,0,14.58
RPXNMLKKNHMFFFA48CC,坡道機械,0,21.17
RPOOMLKKNHMFFCA37CC,坡道平面,0,
RPOPMLKKNHMFFCA47CC,坡道機械,0,24.21
RPOPMLKKNHMFFCA47CC,坡道機械,0,24.21
RPOPMLKKNHMFFCA47CC,坡道平面,0,48.42
RPPPMLKKNHMFFCA57CC,坡道平面,0,
RPTPMLKKNHMFFCA97CC,坡道平面,0,34.84
