¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¤Ó¥­°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¤Ó¥­°Ï¾ð§µ¸ô361~390¸¹,19.57,¦í,,,1051201,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,¤Q¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0810419,107.92,3,2,2,¦³,¦³,3800000,35211,,0.0,0,,RPROMLMKOHMFFHL76CA
¤Ó¥­°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¤Ó¥­°Ï·s¦wµó91~120¸¹,36.96,¦í,,,1031201,¤g¦a1«Øª«1¨®¦ì2,¤­¼h,¤Q¤­¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1051019,241.47,4,2,3,¦³,¦³,14420000,67438,©Y¹D¥­­±,57.3,2000000,,RPUNMLOKOHMFFHL17CA
¦Z¨½°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦Z¨½°Ï¦`¼d¸ô152«Ñ16§Ë1~30¸¹,94.75,¦í,,,1060101,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1011023,214.02,4,2,3,¦³,µL,13000000,60742,,0.0,0,,RPTNMLMLOHMFFAL88CA
Às¤«°Ï,¤g¦a,«n¼d¬q301~330¦a¸¹,40.39,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1060301,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,260000,6437,,0.0,0,,RPTNMLOLNHMFFIL27DA
«n¤Ù°Ï,¤g¦a,¥Ã´I¬q331~360¦a¸¹,25.25,¦í,,,1060301,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2367820,93775,,0.0,0,,RPPOMLPKOHMFFCB97CA
¥~®H°Ï,¤g¦a,¥Ã¦N¬q931~960¦a¸¹,22.7,¦í,,,1060401,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,684405,30150,,0.0,0,,RPPNMLMJNHMFFBL28CA
¥~®H°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥~®H°Ï¥Ò¦Z¸ô¤­¬q130«Ñ46§Ë31~60¸¹,76.95,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1060401,¤g¦a2«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0680501,129.6,3,2,2,¦³,µL,4000000,30864,,0.0,0,,RPQNMLMJNHMFFBL38CA
¤j¥Ò°Ï,¤g¦a,­P¥Î¬q661~690¦a¸¹,135.65,¦í,,,1060301,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3600000,26539,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPRNMLMJNHMFFBL48CA
¤j¥Ò°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¤j¥Ò°Ï¤ô¬üµó96«Ñ1~30¸¹,667.56,¹A,,,1060301,¤g¦a2«Øª«1¨®¦ì0,¤@¼h¡A¤G¼h,¤G¼h,¹AªÙ,¹AªÙ,¥[±j¿j³y,0841102,66.96,4,2,2,¦³,µL,4000000,,,0.0,0,¿Ë¤Í¶¡¤§¥æ©ö¡C,RPTNMLNJNHMFFBL78CA
¦Z¨½°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦Z¨½°Ï¦Z¨½¸ô10«Ñ1~30¸¹,88.32,¦í,,,1060301,¤g¦a2«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0751103,84.54,5,1,2,¦³,µL,5500000,65058,,0.0,0,,RPSOMLTKNHMFFAL76CA
Â×­ì°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«Â×­ì°Ï¤¤¶§¸ô567«Ñ1~30¸¹,217.94,¦í,,,1060401,¤g¦a3«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0990113,244.79,4,3,3,¦³,¦³,20950000,85584,,0.0,0,,RPTOMLTKNHMFFAL86CA
Â×­ì°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«Â×­ì°Ï¦V¶§¸ô173«Ñ91~120¸¹,8.76,°Ó,,,1060401,¤g¦a1«Øª«1¨®¦ì0,¤Q¤@¼h,¤Q¤T¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0950112,91.9,2,1,1,¦³,µL,4600000,50054,,0.0,0,,RPQNMLOLNHMFFAL68CA
¯«©£°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¯«©£°Ï¤å©÷µó31«Ñ1~30¸¹,90.78,¦í,,,1060401,¤g¦a2«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1050311,158.76,4,3,3,¦³,µL,11350000,71492,,0.0,0,,RPQOMLOLNHMFFAL78CA
¨F³À°Ï,¤g¦a,¤¤²M¬q601~630¦a¸¹,1065.97,¹A,,,1060401,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,20314350,19057,,0.0,0,,RPPNMLMJNHMFFCL38CA
±ï´Ï°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«±ï´Ï°Ï¤j´¼¸ô¤@¬q330«Ñ1~30¸¹,83.35,¦í,,,1060301,¤g¦a2«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1030512,165.43,3,3,3,¦³,µL,6800000,41105,,0.0,0,,RPRNMLMJNHMFFCL58CA
¨F³À°Ï,¤g¦a,¦ËªL¬q²p¥÷¤p¬q271~300¦a¸¹,1125.0,¨ä¥L,,,1060401,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,12931875,11495,,0.0,0,,RPWNMLNJNHMFFCL56CA
