鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
南屯區,房地(土地+建物),臺中市南屯區龍富路四段451~480號,1280.62,商,,,1051101,土地2建物1車位0,見其它登記事項,2,其他,見其它登記事項,見其它登記事項,1051013,895.08,0,0,0,無,無,無,170000,190,,0.0,0,,RPRSMLTJKILFFCB68CC
西屯區,房地(土地+建物),臺中市西屯區天水西一街1~30號,70.0,住,,,1051024,土地1建物1車位0,全,4,透天厝,見其它登記事項,鋼筋混凝土造,0860415,225.02,6,2,5,有,無,有,26000,116,,0.0,0,,RPPQMLMKKILFFCB67CC
西區,房地(土地+建物),臺中市西區忠明路20巷1~30號,100.0,住,,,1051015,土地1建物1車位0,見其它登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0650309,200.22,2,3,3,有,無,無,40000,200,,0.0,0,,RPRPMLMKKILFFAB57CC
,房地(土地+建物),臺中市潭子區中山路三段481~510號,317.67,工,,,1051118,土地2建物1車位0,見其他登記事項,4,工廠,見其他登記事項,鋼筋混凝土造,0760915,556.53,0,0,0,無,無,無,100000,,,0.0,0,"只承租本建物地下室及1,2樓面積約556.53平方公尺(約168.35坪)",RPTOMLMKKILFFFL56CC
,房地(土地+建物),臺中市太平區永平路三段9巷31~60號,238.43,工,,,1051114,土地1建物1車位0,見其他登記事項,3,工廠,見其他登記事項,鋼筋混凝土造,0890602,359.4,0,0,0,無,無,無,30000,,,0.0,0,,RPPNMLNKKILFFHL98CC
,房地(土地+建物),臺中市太平區新平路95巷58弄61~90號,131.0,住,,,1051123,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0830304,246.07,3,2,4,有,無,無,22000,89,,0.0,0,,RPRNMLOKKILFFHL66CC
大里區,房地(土地+建物),臺中市大里區仁化路1081~1110號,79.96,住,,,1051210,土地1建物1車位0,見其他登記事項,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,0850116,175.12,4,3,3,有,無,無,19000,108,,0.0,0,,RPSNMLPKKILFFGL76CC
西屯區,房地(土地+建物),臺中市西屯區甘肅路一段1~30號,75.0,住,,,1051121,土地1建物1車位0,見其它登記事項,4,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0660819,234.92,0,0,0,無,無,無,33000,140,,0.0,0,,RPXNMLPKKILFFCB58DC
,房地(土地+建物),臺中市大里區國光路二段571~600號,61.52,住,,,1051209,土地1建物1車位0,見其他登記事項,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0950118,282.55,5,1,4,有,無,無,31000,110,,0.0,0,前四年租金31000元，第五年起租金32000元。,RPOOMLQKKILFFGL56CC
,房地(土地+建物),臺中市大里區國光路二段571~600號,61.54,住,,,1051209,土地1建物1車位0,見其他登記事項,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0950118,282.54,5,1,4,有,無,無,31000,110,,0.0,0,前四年租金31000元，第五年起租金32000元。,RPTOMLQKKILFFGL07CC
