編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRSMLTJKILFFCB68CC,,895.08,見其它登記事項,見其它登記事項,105年10月13日,二層,
RPPQMLMKKILFFCB67CC,20,225.02,見其它登記事項,鋼筋混凝土造,86年4月15日,四層,
RPRPMLMKKILFFAB57CC,41,200.22,住商用,鋼筋混凝土造,65年3月9日,三層,
RPTOMLMKKILFFFL56CC,29,556.53,見其他登記事項,鋼筋混凝土造,76年9月15日,四層,
RPPNMLNKKILFFHL98CC,16,359.40,見其他登記事項,鋼筋混凝土造,89年6月2日,三層,
RPRNMLOKKILFFHL66CC,23,246.07,見其他登記事項,鋼筋混凝土造,83年3月4日,四層,
RPSNMLPKKILFFGL76CC,21,175.12,見其他登記事項,鋼筋混凝土造,85年1月16日,三層,
RPXNMLPKKILFFCB58DC,39,234.92,住商用,鋼筋混凝土造,66年8月19日,四層,
RPOOMLQKKILFFGL56CC,11,282.55,見其他登記事項,鋼筋混凝土造,95年1月18日,五層,
RPTOMLQKKILFFGL07CC,11,282.54,見其他登記事項,鋼筋混凝土造,95年1月18日,五層,
RPSNMLRKKILFFAL98CC,5,415.34,見其他登記事項,鋼筋混凝土造,100年12月28日,四層,
RPRPMLTKKILFFGL27CC,37,117.75,住家用,加強磚造,68年6月25日,二層,
RPVOMLTKKILFFBB78DC,22,321.57,住商用,鋼筋混凝土造,83年8月23日,二層,
RPPPMLTKKILFFCB28CC,28,210.89,住商用,鋼筋混凝土造,77年11月10日,四層,
RPVNMLKLKILFFFL56CC,13,189.81,見其他登記事項,鋼筋混凝土造,93年2月9日,四層,
RPXNMLLLKILFFCB18CC,28,351.50,住商用,鋼造,78年1月11日,一層,
RPOOMLLLKILFFBB27CC,12,110.80,見其它登記事項,鋼筋混凝土造,94年5月20日,五層,
RPOOMLLLKILFFBB27CC,12,22.31,共有部份,鋼筋混凝土造,94年5月20日,五層,
RPRNMLNLKILFFIL86DC,2,217.50,住家用,鋼筋混凝土造,104年2月25日,四層,
