編號,車位類別,車位價格,車位面積平方公尺
RPROMLQLKILFFBB08CC,坡道平面,0,28.13
RPXOMLNJJHMFFCB28DC,其他,0,
RPPNMLRJKHMFFAB57CC,坡道平面,0,23.33
RPPNMLRJKHMFFAB57CC,坡道平面,0,23.33
RPOOMLTLLHMFFAB08CC,坡道機械,0,
RPWNMLLJNHMFFBB08CC,坡道平面,0,41.14
RPRNMLMJNHMFFBB67CC,坡道平面,0,27.05
RPQNMLNJNHMFFBB67CC,坡道平面,0,38.22
RPTNMLNJNHMFFBB97CC,坡道平面,0,
RPPPMLNJNHMFFBB77CC,坡道平面,0,
RPPPMLNJNHMFFCB87CC,坡道平面,0,
RPRQMLNJNHMFFCB18CC,坡道機械,0,6.48
RPTQMLNJNHMFFCB38CC,坡道平面,0,
RPTPMLOJNHMFFCB38CC,坡道平面,0,
RPWPMLOJNHMFFCB68CC,坡道平面,0,
RPPRMLOJNHMFFCB18CC,坡道機械,0,
RPQRMLOJNHMFFCB28CC,坡道機械,0,
RPQRMLOJNHMFFCB28CC,坡道機械,0,
RPOPMLOJNHMFFBB77CC,坡道機械,0,
RPRNMLOJNHMFFAB77CC,坡道平面,0,
RPOOMLPJNHMFFAB67CC,坡道平面,0,39.71
RPXPMLPJNHMFFBB78CC,坡道平面,0,31.47
RPPTMLPJNHMFFCB48CC,坡道機械,0,
RPSTMLPJNHMFFCB78CC,坡道平面,0,
RPOUMLPJNHMFFCB48CC,坡道平面,0,
RPOUMLPJNHMFFCB48CC,坡道平面,0,
RPRNMLRJNHMFFBB18CC,坡道平面,3500,31.88
RPWNMLRJNHMFFBB68CC,坡道平面,3200,27.23
RPXNMLRJNHMFFBB78CC,坡道平面,0,27.23
RPVNMLTJNHMFFHL77CC,一樓平面,0,44.61
RPTSMLTJNHMFFCB56CC,坡道平面,0,34.86
RPOTMLTJNHMFFCB78CC,坡道平面,0,37.22
RPOTMLTJNHMFFCB78CC,坡道平面,0,37.22
RPXPMLTJNHMFFBB56CC,坡道機械,0,17.90
RPTQMLLKNHMFFBB18CC,坡道平面,3400,31.88
RPUQMLLKNHMFFBB28CC,坡道平面,0,27.23
RPWQMLLKNHMFFBB48CC,坡道平面,3200,27.23
RPTTMLMKNHMFFCB78DC,坡道平面,0,
RPTTMLMKNHMFFCB78DC,坡道平面,0,
RPQPMLMKNHMFFAB77CC,坡道平面,0,33.99
RPWPMLMKNHMFFAB38CC,坡道機械,0,15.68
RPSQMLMKNHMFFAB08CC,坡道平面,0,
RPWRMLMKNHMFFAB58CC,坡道機械,0,14.00
RPXNMLPKNHMFFBB68CC,坡道平面,0,35.07
RPTOMLPKNHMFFBB38CC,坡道平面,0,24.92
RPUOMLPKNHMFFCB58CC,坡道平面,0,
RPUOMLPKNHMFFCB58CC,坡道平面,0,
RPUOMLPKNHMFFCB58CC,坡道平面,0,
RPVOMLPKNHMFFCB68CC,坡道平面,0,22.75
RPWPMLPKNHMFFCB88CC,坡道平面,0,48.36
RPSOMLPKNHMFFGL27DC,坡道平面,0,33.09
