鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
仁愛區,建物,基隆市仁愛區南新街51巷1~30號,0.0,,,,1051125,土地0建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700128,76.44,3,1,1,有,無,1400000,18315,,0.0,0,,RPUNMLNJJHMFFBC57CA
信義區,建物,基隆市信義區東明路181~210號,0.0,,,,1050726,土地0建物1車位0,一層,一層,其他,住家用,磚造,0440801,29.79,2,1,1,有,無,382715,12847,,0.0,0,政府和市民協議價購之案件,RPVNMLNJJHMFFBC67CA
仁愛區,建物,基隆市仁愛區仁二路137巷2弄1~30號,0.0,,,,1051220,土地0建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0651020,57.77,3,2,1,有,無,1000000,17310,,0.0,0,土地為市府租任契約無權狀,RPQNMLMKJHMFFBC17CA
仁愛區,建物,基隆市仁愛區南新街51巷31~60號,0.0,,,,1051216,土地0建物1車位0,一層，停車場,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700611,79.34,3,2,2,有,無,2152600,27131,,0.0,0,,RPPOMLKLJHMFFBC07CA
中正區,建物,基隆市中正區豐稔街91~120號,0.0,,,,1051214,土地0建物1車位0,,,住宅大樓(11層含以上有電梯),,,,11.96,0,0,0,無,有,200000,16722,,0.0,0,本交易為儲藏室(公設)之買賣。,RPOOMLNLJHMFFBC27CA
仁愛區,建物,基隆市仁愛區南新街211~240號,0.0,,,,1051223,土地0建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680820,78.55,2,1,1,有,無,1800000,22915,,0.0,0,親友、員工或其他特殊關係間之交易。含增建或未登記建物。,RPTNMLMKJHMFFBC47CA
仁愛區,建物,基隆市仁愛區龍安街31~60號,0.0,,,,1051213,土地0建物1車位0,一層,一層,店面(店鋪),住家用,木造,0340101,70.52,0,0,0,無,無,2000000,28361,,0.0,0,土地向鐵路局承租,RPUNMLQKJHMFFBC97CA
信義區,建物,基隆市信義區義六路34巷61~90號,0.0,,,,1060104,土地0建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660730,53.59,2,2,1,有,無,1250000,23325,,0.0,0,含增建或未登記建物。,RPSNMLTKJHMFFBC18DA
仁愛區,建物,基隆市仁愛區孝一路91~120號,0.0,,,,1060112,土地0建物2車位0,三層,四層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0671124,100.73,1,1,1,有,有,2600000,25812,,0.0,0,兩戶打通。,RPROMLTJKHMFFBC08CA
仁愛區,建物,基隆市仁愛區南新街301~330號,0.0,,,,1060124,土地0建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681109,84.42,3,1,1,有,無,300000,3554,,0.0,0,本案無土地所有權，土地為市有土地，親友、員工或其他特殊關係間之交易。,RPPNMLMLKHMFFBC27CA
仁愛區,房地(土地+建物),基隆市仁愛區龍安街31~60號,31.67,商,,,1060208,土地3建物2車位0,防空避難室,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0711215,136.25,8,1,2,有,無,2020000,14826,,0.0,0,含增建或未登記建物。,RPXNMLKLKHMFFBC87CA
仁愛區,建物,基隆市仁愛區南新街31巷1~30號,0.0,,,,1060209,土地0建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0650614,68.17,2,2,1,有,無,1400000,20537,,0.0,0,,RPTNMLLJLHMFFBC47CA
仁愛區,建物,基隆市仁愛區南新街31~30號,0.0,,,,1060215,土地0建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670713,79.11,2,1,1,有,無,1200000,15169,,0.0,0,本建物基地為國有租地,RPTNMLMJLHMFFBC57CA
仁愛區,建物,基隆市仁愛區獅球路44巷31~60號,0.0,,,,1060124,土地0建物1車位0,一層,二層,公寓(5樓含以下無電梯),住家用,加強磚造,0531101,38.7,2,1,1,有,無,600000,15504,,0.0,0,含增建或未登記建物。,RPWNMLNKLHMFFBC08CA
信義區,建物,基隆市信義區月眉路1~30號,0.0,,,,1060220,土地0建物1車位0,全,二層,透天厝,住家用,磚造,0510301,85.44,4,2,2,有,無,1100000,12875,,0.0,0,含增建或未登記建物。,RPQNMLKKLHMFFBC17CA
中正區,建物,基隆市中正區中正路541~570號,0.0,,,,1060301,土地0建物2車位0,一層，二層，地下層,三層,公寓(5樓含以下無電梯),,加強磚造,0491030,597.99,0,0,0,無,無,9000000,15050,,0.0,0,,RPOQMLRKLHMFFBC97CA
仁愛區,建物,基隆市仁愛區孝一路91~120號,0.0,,,,1060303,土地0建物2車位0,三層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0671124,100.73,1,1,1,有,有,2800000,27797,,0.0,0,兩戶打通。,RPPNMLKLLHMFFBC17CA
仁愛區,建物,基隆市仁愛區愛五路6巷1~30號,0.0,,,,1060228,土地0建物1車位0,全,二層,透天厝,住家用,磚造,0351001,121.39,2,2,2,有,無,1580000,13016,,0.0,0,,RPPNMLLKMHMFFBC27CA
仁愛區,建物,基隆市仁愛區南新街1~30號,0.0,,,,1051229,土地0建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0611106,100.24,3,2,2,有,無,1000000,9976,,0.0,0,,RPRNMLOKMHMFFBC77CA
仁愛區,建物,基隆市仁愛區愛一路61~90號,0.0,,,,1060327,土地0建物1車位0,三層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0671124,49.46,0,0,0,無,無,1200000,24262,,0.0,0,,RPVNMLQJMHMFFBC28CA
仁愛區,建物,基隆市仁愛區仁五路31巷2弄1~30號,0.0,,,,1060405,土地0建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,,34.04,1,1,1,有,無,1350000,39659,,0.0,0,土地向國有財產局承租,RPVNMLOKMHMFFBC28DA
中正區,建物,基隆市中正區豐稔街91~120號,0.0,,,,1060220,土地0建物1車位0,,,住宅大樓(11層含以上有電梯),,,,11.96,0,0,0,無,有,200000,16722,,0.0,0,本件為儲藏室(公設)之交易.,RPTNMLLJNHMFFBC67CA
安樂區,房地(土地+建物)+車位,基隆市安樂區基金一路121巷31~60號,29.49,住,,,1060401,土地1建物1車位1,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850503,126.82,3,2,2,有,有,3800000,29961,坡道平面,39.72,0,,RPQNMLOKOHMFFCC97CA
中正區,房地(土地+建物),基隆市中正區新豐街361~390號,88.47,住,,,1060304,土地4建物1車位0,全,二層,透天厝,住商用,加強磚造,0721121,123.34,0,0,2,有,無,33600000,272418,,0.0,0,含增建或未登記建物。,RPUNMLSLMHMFFBC58CA
七堵區,房地(土地+建物)+車位,基隆市七堵區光明路1~30號,32.25,商,,,1060320,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020704,211.95,4,2,2,有,有,16500000,77852,坡道平面,0.0,0,,RPUNMLRLMHMFFCC58CA
中山區,土地,太平段211~240地號,44.0,住,,,1060406,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,52273,,0.0,0,有未辦保存登記之建物,RPXNMLSLMHMFFCC98CA
七堵區,房地(土地+建物),基隆市七堵區百六街1~30號,38.02,住,,,1060314,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700617,129.83,9,3,3,有,無,5150000,39667,,0.0,0,含增建或未登記建物。,RPOOMLSLMHMFFCC18CA
暖暖區,車位,基隆市暖暖區碇內街181~210號,0.0,,,,1060214,土地0建物0車位1,,,其他,,,,15.66,0,0,0,有,有,250000,,坡道平面,15.66,250000,,RPRNMLLJNHMFFCC57CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路301~330號,16.05,住,,,1060402,土地3建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,142.01,3,2,1,有,有,9500000,66897,坡道平面,0.0,0,,RPPOMLLJNHMFFCC47CA
安樂區,房地(土地+建物),基隆市安樂區樂一路58巷1~30號,32.3,住,,,1060318,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740731,88.69,6,2,2,有,無,1700000,19168,,0.0,0,,RPSOMLLJNHMFFCC77CA
暖暖區,房地(土地+建物),基隆市暖暖區源遠路249巷1~30號,31.9,住,,,1060324,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690117,83.19,3,2,1,有,無,2500000,30052,,0.0,0,含增建部分一併移轉。,RPVOMLLJNHMFFCC08CA
暖暖區,房地(土地+建物),基隆市暖暖區碇內街271~300號,20.9,住,,,1060407,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850217,98.63,3,2,2,有,無,1800000,18250,,0.0,0,親友、員工或其他特殊關係間之交易。,RPXOMLLJNHMFFCC28CA
安樂區,房地(土地+建物),基隆市安樂區樂一路91~120號,23.78,住,,,1060326,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760808,83.83000000000001,3,1,1,有,無,2650000,31612,,0.0,0,,RPTNMLKKNHMFFCC77CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路211~240號,17.15,住,,,1060406,土地3建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,153.35,3,2,2,有,有,10700000,69775,坡道平面,0.0,0,,RPOOMLLKNHMFFCC47CA
七堵區,房地(土地+建物),基隆市七堵區福一街31~60號,37.0,其他,,,1060405,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0670504,97.76,3,2,1,有,無,4500000,46031,,0.0,0,,RPSOMLQLMHMFFCC38CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路361~390號,15.76,住,,,1060411,土地3建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,138.99,3,2,2,有,有,10000000,71948,坡道平面,13.47,0,,RPPOMLMKNHMFFCC67CA
七堵區,房地(土地+建物)+車位,基隆市七堵區福二街301~330號,38.05,住,,,1060304,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041020,169.98,3,2,2,有,無,10600000,69495,坡道平面,33.28,1100000,,RPUNMLTKNHMFFCC78CA
七堵區,房地(土地+建物)+車位,基隆市七堵區福二街301~330號,40.48,住,,,1060327,土地1建物1車位2,六層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041020,209.0,3,2,2,有,無,12400000,73013,坡道平面,66.56,2000000,,RPVNMLTKNHMFFCC88CA
安樂區,房地(土地+建物)+車位,基隆市安樂區基金一路121巷1~30號,41.15,住,,,1060326,土地1建物2車位1,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850930,158.1,3,2,2,有,有,5300000,33523,坡道平面,31.41,0,,RPOOMLTKNHMFFCC28CA
安樂區,房地(土地+建物),基隆市安樂區基金一路135巷21弄61~90號,27.29,住,,,1060320,土地33建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820902,114.27,3,2,2,有,有,5200000,45506,,0.0,0,,RPPNMLOLNHMFFCC87CA
七堵區,房地(土地+建物),基隆市七堵區東新街73巷60弄1~30號,30.5,住,,,1060227,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0670615,66.85,3,2,1,有,無,3000000,44877,,0.0,0,親友、員工或其他特殊關係間之交易。含增建或未登記建物。,RPQNMLOLNHMFFCC97CA
七堵區,房地(土地+建物),基隆市七堵區百六街83巷1~30號,55.4,住,,,1060401,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870812,130.81,4,2,2,有,無,6200000,47397,,0.0,0,含增建或未登記建物。,RPTOMLRKNHMFFCC58CA
安樂區,房地(土地+建物),基隆市安樂區安和一街121~150號,28.34,住,,,1060322,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850718,160.10999999999999,3,2,2,有,有,7200000,44969,,0.0,0,,RPPNMLKMMHMFFCC57DA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區暖暖街335巷1~30號,46.92,住,,,1060409,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801202,152.6,3,2,1,有,有,6300000,41284,坡道平面,0.0,0,,RPTNMLLJNHMFFCC97EA
暖暖區,土地,金華段421~450地號,15.63,住,,,1060222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,96100,6148,,0.0,0,向政府機關承購之案件。,RPROMLNLNHMFFCC28EA
七堵區,房地(土地+建物)+車位,基隆市七堵區實踐路294巷31~60號,38.34,住,,,1060408,土地1建物1車位1,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830624,132.8,3,2,2,有,無,6080000,45783,坡道平面,0.0,0,,RPOOMLKKNHMFFCC37CA
安樂區,房地(土地+建物),基隆市安樂區安一路301~330號,12.04,住,,,1060413,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840720,86.38,2,1,1,有,有,3100000,35888,,0.0,0,,RPRNMLTJNHMFFCC38CA
安樂區,房地(土地+建物),基隆市安樂區樂利二街62巷271~300號,21.09,住,,,1060318,土地2建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881231,128.7,3,2,2,有,有,4900000,38073,,0.0,0,,RPPOMLSLMHMFFCC28CA
安樂區,房地(土地+建物),基隆市安樂區中平街1~30號,41.72,住,,,1060411,土地3建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0670203,80.47,3,2,1,有,無,3600000,44737,,0.0,0,,RPPNMLLJNHMFFCC37CA
暖暖區,房地(土地+建物),基隆市暖暖區碇內街271~300號,20.9,住,,,1060410,土地1建物1車位0,一層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850217,98.74,3,2,2,有,有,2500000,25319,,0.0,0,,RPXNMLKKNHMFFCC18CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路301~330號,16.62,住,,,1060420,土地3建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,147.8,3,2,2,有,有,12000000,80399,坡道平面,13.47,1200000,,RPTNMLNJNHMFFCC97CA
