編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLNJJHMFFBC57CA,36,76.44,住家用,鋼筋混凝土造,70年1月28日,四層,三層
RPVNMLNJJHMFFBC67CA,61,29.79,住家用,磚造,44年8月1日,一層,一層
RPQNMLMKJHMFFBC17CA,40,57.77,住家用,鋼筋混凝土加強磚造,65年10月20日,四層,四層
RPPOMLKLJHMFFBC07CA,36,79.34,住家用,鋼筋混凝土造,70年6月11日,四層,一層 停車場
RPOOMLNLJHMFFBC27CA,1,11.96,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,
RPOOMLNLJHMFFBC27CA,1,.00,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,七層
RPOOMLNLJHMFFBC27CA,1,.00,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,十三層
RPTNMLMKJHMFFBC47CA,37,78.55,住家用,鋼筋混凝土造,68年8月20日,四層,一層
RPUNMLQKJHMFFBC97CA,72,70.52,住家用,木造,34年1月1日,一層,一層
RPSNMLTKJHMFFBC18DA,39,53.59,住家用,鋼筋混凝土加強磚造,66年7月30日,四層,三層
RPROMLTJKHMFFBC08CA,38,39.52,見其他登記事項,鋼筋混凝土造,67年11月24日,四層,三層
RPROMLTJKHMFFBC08CA,38,11.20,共用部份,鋼筋混凝土造,67年11月24日,四層,
RPROMLTJKHMFFBC08CA,38,11.05,共用部份,鋼筋混凝土造,67年11月24日,四層,
RPROMLTJKHMFFBC08CA,38,38.95,見其他登記事項,鋼筋混凝土造,67年11月24日,四層,三層
RPPNMLMLKHMFFBC27CA,37,84.42,住家用,鋼筋混凝土造,68年11月9日,四層,四層
RPXNMLKLKHMFFBC87CA,34,74.12,見其他登記事項,鋼筋混凝土造,71年12月15日,五層,防空避難室
RPXNMLKLKHMFFBC87CA,34,62.13,見其他登記事項,鋼筋混凝土造,71年12月15日,五層,防空避難室
RPTNMLLJLHMFFBC47CA,41,68.17,住家用,鋼筋混凝土加強磚造,65年6月14日,四層,一層
RPTNMLMJLHMFFBC57CA,39,79.11,住家用,鋼筋混凝土造,67年7月13日,三層,二層
RPWNMLNKLHMFFBC08CA,52,38.70,住家用,加強磚造,53年11月1日,二層,一層
RPQNMLKKLHMFFBC17CA,55,85.44,住家用,磚造,51年3月1日,二層,一層 二層
RPOQMLRKLHMFFBC97CA,56,443.55,,加強磚造,49年10月30日,三層,一層 二層 地下層
RPOQMLRKLHMFFBC97CA,,154.44,住家用,加強磚造,,三層,三層
RPPNMLKLLHMFFBC17CA,38,39.52,見其他登記事項,鋼筋混凝土造,67年11月24日,四層,三層
RPPNMLKLLHMFFBC17CA,38,11.20,共用部份,鋼筋混凝土造,67年11月24日,四層,
RPPNMLKLLHMFFBC17CA,38,38.95,見其他登記事項,鋼筋混凝土造,67年11月24日,四層,三層
RPPNMLKLLHMFFBC17CA,38,11.05,共用部份,鋼筋混凝土造,67年11月24日,四層,
RPPNMLLKMHMFFBC27CA,70,121.39,住家用,磚造,35年10月1日,二層,一層 二層 騎樓
RPRNMLOKMHMFFBC77CA,44,100.24,住家用,鋼筋混凝土加強磚造,61年11月6日,五層,四層
RPVNMLQJMHMFFBC28CA,38,38.95,,鋼筋混凝土造,67年11月24日,四層,三層
RPVNMLQJMHMFFBC28CA,38,10.51,共用部份,鋼筋混凝土造,67年11月24日,四層,
RPVNMLOKMHMFFBC28DA,,34.04,住家用,加強磚造,,三層,二層
RPTNMLLJNHMFFBC67CA,1,11.96,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,
RPTNMLLJNHMFFBC67CA,1,.00,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,十三層
RPTNMLLJNHMFFBC67CA,1,.00,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,十三層
RPQNMLOKOHMFFCC97CA,21,.06,見其他登記事項,鋼筋混凝土造,85年5月3日,五層,地下一層
RPQNMLOKOHMFFCC97CA,21,39.66,共用部份,鋼筋混凝土造,85年5月3日,五層,
RPQNMLOKOHMFFCC97CA,21,69.91,住家用,鋼筋混凝土造,85年5月3日,五層,二層
RPQNMLOKOHMFFCC97CA,21,8.35,共用部份,鋼筋混凝土造,85年5月3日,五層,
RPQNMLOKOHMFFCC97CA,21,8.85,共用部份,鋼筋混凝土造,85年5月3日,五層,
RPUNMLSLMHMFFBC58CA,33,123.34,住商用,加強磚造,72年11月21日,二層,一層 二層 騎樓
RPUNMLRLMHMFFCC58CA,4,135.59,見其他登記事項,鋼筋混凝土造,102年7月4日,十五層,五層
RPUNMLRLMHMFFCC58CA,4,41.64,見其他登記事項,鋼筋混凝土造,102年7月4日,十五層,
RPUNMLRLMHMFFCC58CA,4,.07,見其他登記事項,鋼筋混凝土造,102年7月4日,十五層,一層
RPUNMLRLMHMFFCC58CA,4,.02,見其他登記事項,鋼筋混凝土造,102年7月4日,十五層,
RPUNMLRLMHMFFCC58CA,4,34.63,見其他登記事項,鋼筋混凝土造,102年7月4日,十五層,
RPOOMLSLMHMFFCC18CA,36,129.83,住家用,鋼筋混凝土造,70年6月17日,五層,五層
RPRNMLLJNHMFFCC57CA,21,15.66,共用部份,鋼筋混凝土造,85年7月18日,六層,
RPPOMLLJNHMFFCC47CA,1,90.62,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,十一層
RPPOMLLJNHMFFCC47CA,1,.02,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPPOMLLJNHMFFCC47CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPPOMLLJNHMFFCC47CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPPOMLLJNHMFFCC47CA,1,.87,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPPOMLLJNHMFFCC47CA,1,50.49,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPSOMLLJNHMFFCC77CA,32,88.69,住家用,鋼筋混凝土造,74年7月31日,五層,四層
RPVOMLLJNHMFFCC08CA,37,83.19,住家用,鋼筋混凝土造,69年1月17日,四層,四層
RPXOMLLJNHMFFCC28CA,21,73.84,住家用,鋼筋混凝土造,85年2月17日,十層,三層
RPXOMLLJNHMFFCC28CA,21,8.73,共用部份,鋼筋混凝土造,85年2月17日,十層,
RPXOMLLJNHMFFCC28CA,21,16.06,共用部份,鋼筋混凝土造,85年2月17日,十層,
RPTNMLKKNHMFFCC77CA,30,77.01,住家用,鋼筋混凝土造,76年8月8日,五層,三層
RPTNMLKKNHMFFCC77CA,30,6.82,共用部份,鋼筋混凝土造,76年8月8日,五層,
RPOOMLLKNHMFFCC47CA,1,.02,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPOOMLLKNHMFFCC47CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPOOMLLKNHMFFCC47CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPOOMLLKNHMFFCC47CA,1,.95,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPOOMLLKNHMFFCC47CA,1,53.76,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPOOMLLKNHMFFCC47CA,1,98.61,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,十二層
RPSOMLQLMHMFFCC38CA,39,97.76,住家用,鋼筋混凝土加強磚造,67年5月4日,四層,三層
RPPOMLMKNHMFFCC67CA,1,.02,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPPOMLMKNHMFFCC67CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPPOMLMKNHMFFCC67CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPPOMLMKNHMFFCC67CA,1,88.49,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,十二層
RPPOMLMKNHMFFCC67CA,1,.85,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPPOMLMKNHMFFCC67CA,1,49.62,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPUNMLTKNHMFFCC78CA,1,95.23,見其他登記事項,鋼筋混凝土造,104年10月20日,十層,四層
RPUNMLTKNHMFFCC78CA,1,41.46,見其他登記事項,鋼筋混凝土造,104年10月20日,十層,
RPUNMLTKNHMFFCC78CA,1,.15,見其他登記事項,鋼筋混凝土造,104年10月20日,十層,一層
RPUNMLTKNHMFFCC78CA,1,33.13,見其他登記事項,鋼筋混凝土造,104年10月20日,十層,
RPVNMLTKNHMFFCC88CA,1,99.24,見其他登記事項,鋼筋混凝土造,104年10月20日,十層,六層
RPVNMLTKNHMFFCC88CA,1,43.19,見其他登記事項,鋼筋混凝土造,104年10月20日,十層,
RPVNMLTKNHMFFCC88CA,1,.30,見其他登記事項,鋼筋混凝土造,104年10月20日,十層,一層
RPVNMLTKNHMFFCC88CA,1,66.27,見其他登記事項,鋼筋混凝土造,104年10月20日,十層,
RPOOMLTKNHMFFCC28CA,20,106.98,住家用,鋼筋混凝土造,85年9月30日,五層,三層
RPOOMLTKNHMFFCC28CA,20,5.62,共用部份,鋼筋混凝土造,85年9月30日,五層,
RPOOMLTKNHMFFCC28CA,20,14.09,共用部份,鋼筋混凝土造,85年9月30日,五層,
RPOOMLTKNHMFFCC28CA,20,.16,見其他登記事項,鋼筋混凝土造,85年9月30日,五層,地下層
RPOOMLTKNHMFFCC28CA,20,31.25,共用部份,鋼筋混凝土造,85年9月30日,五層,
RPPNMLOLNHMFFCC87CA,24,100.86,住家用,鋼筋混凝土造,82年9月2日,七層,二層
RPPNMLOLNHMFFCC87CA,24,4.25,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPPNMLOLNHMFFCC87CA,24,1.21,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPPNMLOLNHMFFCC87CA,24,7.95,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPQNMLOLNHMFFCC97CA,39,66.85,住家用,鋼筋混凝土加強磚造,67年6月15日,四層,三層
RPTOMLRKNHMFFCC58CA,19,116.36,住家用,鋼筋混凝土造,87年8月12日,五層,五層
RPTOMLRKNHMFFCC58CA,19,14.45,共用部份,鋼筋混凝土造,87年8月12日,五層,
RPPNMLKMMHMFFCC57DA,21,109.99,住家用,鋼筋混凝土造,85年7月18日,十四層,六層
RPPNMLKMMHMFFCC57DA,21,17.77,共用部份,鋼筋混凝土造,85年7月18日,十四層,
RPPNMLKMMHMFFCC57DA,21,32.35,共用部份,鋼筋混凝土造,85年7月18日,十四層,
RPTNMLLJNHMFFCC97EA,25,107.96,住家用,鋼筋混凝土造,80年12月2日,六層,五層
RPTNMLLJNHMFFCC97EA,25,41.21,共用部份,鋼筋混凝土造,80年12月2日,六層,
RPTNMLLJNHMFFCC97EA,25,3.43,共用部份,鋼筋混凝土造,80年12月2日,六層,
RPOOMLKKNHMFFCC37CA,23,35.21,共用部份,鋼筋混凝土造,83年6月24日,五層,
RPOOMLKKNHMFFCC37CA,23,97.59,住家用,鋼筋混凝土造,83年6月24日,五層,三層
RPRNMLTJNHMFFCC38CA,22,67.09,住家用,鋼筋混凝土造,84年7月20日,七層,二層
RPRNMLTJNHMFFCC38CA,22,19.29,共用部份,鋼筋混凝土造,84年7月20日,七層,
RPPOMLSLMHMFFCC28CA,17,94.13,住家用,鋼筋混凝土造,88年12月31日,十三層,三層
RPPOMLSLMHMFFCC28CA,17,19.02,共用部份,鋼筋混凝土造,88年12月31日,十四層,
RPPOMLSLMHMFFCC28CA,17,15.55,共用部份,鋼筋混凝土造,88年12月31日,十三層,
RPPNMLLJNHMFFCC37CA,39,80.47,住家用,鋼筋混凝土加強磚造,67年2月3日,四層,一層
RPXNMLKKNHMFFCC18CA,21,73.88,住家用,鋼筋混凝土造,85年2月17日,十層,一層
RPXNMLKKNHMFFCC18CA,21,8.63,共用部份,鋼筋混凝土造,85年2月17日,十層,
RPXNMLKKNHMFFCC18CA,21,16.23,共用部份,鋼筋混凝土造,85年2月17日,十層,
RPTNMLNJNHMFFCC97CA,1,94.70,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,十二層
RPTNMLNJNHMFFCC97CA,1,.91,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPTNMLNJNHMFFCC97CA,1,52.16,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPTNMLNJNHMFFCC97CA,1,.02,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPTNMLNJNHMFFCC97CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPTNMLNJNHMFFCC97CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPUNMLNJNHMFFCC08CA,1,97.32,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,四層
RPUNMLNJNHMFFCC08CA,1,.94,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPUNMLNJNHMFFCC08CA,1,53.23,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPUNMLNJNHMFFCC08CA,1,.02,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPUNMLNJNHMFFCC08CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPUNMLNJNHMFFCC08CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPROMLNJNHMFFCC87CA,37,84.30,住家用,鋼筋混凝土造,69年3月6日,四層,三層
RPPNMLQJNHMFFCC87CA,28,97.69,住家用,鋼筋混凝土造,78年4月29日,五層,四層
RPPNMLQJNHMFFCC87CA,28,8.03,共用部份,鋼筋混凝土造,78年4月29日,五層,
RPVOMLKKNHMFFCC08CA,8,95.56,住家用,鋼筋混凝土造,98年6月24日,十層,四層
RPVOMLKKNHMFFCC08CA,8,45.42,共用部份,鋼筋混凝土造,98年6月24日,十四層,
RPVOMLKKNHMFFCC08CA,8,20.82,共用部份,鋼筋混凝土造,98年6月24日,十層,
RPUNMLPLNHMFFCC48CA,24,94.00,住家用,鋼筋混凝土造,81年11月3日,十七層,十二層
