編號,車位類別,車位價格,車位面積平方公尺
RPQNMLOKOHMFFCC97CA,坡道平面,0,39.72
RPUNMLRLMHMFFCC58CA,坡道平面,0,
RPRNMLLJNHMFFCC57CA,坡道平面,250000,15.66
RPPOMLLJNHMFFCC47CA,坡道平面,0,
RPOOMLLKNHMFFCC47CA,坡道平面,0,
RPPOMLMKNHMFFCC67CA,坡道平面,0,13.47
RPUNMLTKNHMFFCC78CA,坡道平面,1100000,33.28
RPVNMLTKNHMFFCC88CA,坡道平面,1000000,33.28
RPVNMLTKNHMFFCC88CA,坡道平面,1000000,33.28
RPOOMLTKNHMFFCC28CA,坡道平面,0,31.41
RPTNMLLJNHMFFCC97EA,坡道平面,0,
RPOOMLKKNHMFFCC37CA,坡道平面,0,
RPTNMLNJNHMFFCC97CA,坡道平面,1200000,13.47
RPUNMLNJNHMFFCC08CA,坡道平面,1200000,13.47
RPVOMLKKNHMFFCC08CA,坡道平面,0,
RPUNMLPLNHMFFCC48CA,坡道平面,0,
RPQNMLLLNHMFFCC67CA,坡道平面,0,26.34
RPWNMLNLNHMFFCC48CA,坡道平面,950000,32.04
RPVOMLRKNHMFFCC78CA,坡道平面,0,30.55
RPVOMLRKNHMFFCC78CA,坡道平面,0,30.56
RPVOMLOLNHMFFCC58CA,坡道機械,0,
RPSNMLOJNHMFFBC87CA,坡道平面,880000,43.53
RPUNMLSJNHMFFBC48CA,坡道平面,600000,34.17
RPWNMLLKNHMFFBC08CA,坡道平面,0,
RPQNMLPJNHMFFBC77CA,坡道平面,0,
RPRNMLPJNHMFFBC87CA,坡道平面,420000,34.99
RPSNMLKKNHMFFBC57CA,一樓平面,0,
RPSNMLMKNHMFFBC87DA,坡道平面,0,
RPUOMLLJOHMFFCC08CA,坡道平面,0,
RPRNMLOLNHMFFCC08CA,坡道平面,0,
RPRNMLOLNHMFFCC08CA,坡道平面,0,
RPXNMLKKNHMFFBC08CA,坡道平面,0,
RPWNMLNLNHMFFBC38CA,坡道平面,0,
RPXNMLNLNHMFFBC48CA,坡道平面,0,
RPQNMLLKNHMFFCC57CA,一樓平面,0,
RPQNMLQKNHMFFCC08CA,坡道平面,0,36.40
RPTOMLPKNHMFFCC38CA,坡道平面,0,
RPPOMLKKNHMFFCC47CA,坡道平面,0,
RPTNMLMKNHMFFCC97CA,坡道平面,1300000,15.87
RPUNMLMKNHMFFCC08CA,坡道平面,1300000,15.87
RPVNMLMKNHMFFCC18CA,坡道平面,1100000,15.87
RPVNMLMKNHMFFCC18CA,坡道平面,1100000,15.87
RPWNMLMKNHMFFCC28CA,坡道平面,1200000,15.87
RPRNMLPLNHMFFBC08CA,坡道機械,0,13.98
RPRNMLPLNHMFFBC08CA,坡道機械,0,13.98
RPXOMLNLNHMFFCC68CA,坡道平面,0,
RPTNMLRKNHMFFCC48CA,坡道平面,1100000,30.01
RPUNMLRKNHMFFCC58CA,坡道平面,1200000,34.05
RPVNMLRKNHMFFCC68CA,坡道平面,1100000,34.05
RPTOMLLJOHMFFCC97CA,升降機械,0,
RPPOMLQKNHMFFBC08DA,升降平面,0,5.79
RPPOMLQKNHMFFBC08DA,升降平面,0,5.79
RPPOMLQKNHMFFBC08DA,升降平面,0,5.79
RPPOMLQKNHMFFBC08DA,升降平面,0,5.79
RPPOMLQKNHMFFBC08DA,升降平面,0,5.79
RPPOMLQKNHMFFBC08DA,升降平面,0,5.79
RPPOMLQKNHMFFBC08DA,升降平面,0,5.79
RPPOMLQKNHMFFBC08DA,升降平面,0,5.79
RPPOMLQKNHMFFBC08DA,升降平面,0,5.79
RPPOMLQKNHMFFBC08DA,升降平面,0,5.79
RPPOMLQKNHMFFBC08DA,升降平面,0,5.79
RPSOMLMJOHMFFCC97CA,坡道平面,1400000,29.51
RPPOMLTKNHMFFCC38CA,一樓平面,0,
RPSNMLTKNHMFFCC78EA,坡道平面,0,
RPXNMLMKNHMFFCC38CA,坡道平面,1500000,15.87
RPOOMLMKNHMFFCC57CA,坡道平面,1300000,15.87
RPTNMLLKNHMFFCC87CA,坡道平面,0,
RPOOMLQKNHMFFCC97CA,坡道機械,0,20.60
RPXPMLNLNHMFFCC78CA,坡道平面,0,
RPUOMLMJOHMFFCC18CA,坡道平面,1100000,33.28
RPVOMLMJOHMFFCC28CA,坡道平面,1000000,33.28
RPVOMLMJOHMFFCC28CA,坡道機械,500000,16.64
RPVOMLMJOHMFFCC28CA,坡道機械,500000,16.64
RPTNMLPJOHMFFCC28CA,升降機械,0,
RPTNMLRKNHMFFBC38CA,坡道平面,0,
RPSNMLQKNHMFFBC18CA,坡道平面,0,
RPSNMLOLNHMFFBC08CA,坡道平面,1350000,26.44
RPTNMLPLNHMFFBC28CA,坡道機械,0,
RPTNMLPLNHMFFBC28CA,坡道機械,0,
RPWNMLQKNHMFFCC68CA,坡道平面,0,22.80
RPVNMLRKNHMFFBC58CA,坡道平面,0,
RPPNMLLJOHMFFCC47CA,升降平面,0,
RPUOMLOLNHMFFCC48CA,坡道機械,0,
RPWNMLLJOHMFFCC18CA,坡道平面,1200000,30.57
RPPNMLMJOHMFFCC57CA,坡道平面,1300000,42.95
