編號,車位類別,車位價格,車位面積平方公尺
RPROMLNLKILFFAD67CA,坡道平面,0,
RPQNMLOJJHMFFAD27CA,坡道平面,0,
RPXOMLLKNHMFFER47CA,一樓平面,900000,15.74
RPQNMLQLNHMFFER27CA,坡道平面,0,
RPTPMLPJNHMFFHR77CA,坡道平面,1000000,
RPWPMLLJNHMFFCD38CA,坡道機械,0,
RPWOMLLKNHMFFCD38CA,坡道平面,0,
RPWNMLNKNHMFFCD48CA,坡道平面,800000,
RPXOMLMLNHMFFCD68CA,坡道平面,0,
RPXOMLMLNHMFFCD68CA,坡道平面,0,
RPSNMLNJNHMFFAD77CA,坡道平面,0,
RPRPMLPJNHMFFAD08CA,坡道平面,600000,
RPRPMLTJNHMFFAD48CA,坡道平面,0,
RPSNMLKKNHMFFAD57CA,坡道平面,0,
RPXNMLKKNHMFFAD08CA,坡道平面,0,
RPTOMLKKNHMFFAD77CA,坡道平面,0,
RPSPMLMKNHMFFAD97CA,坡道平面,0,
RPWPMLKLNHMFFAD28CA,坡道平面,1100000,
RPSRMLKLNHMFFAD08CA,坡道平面,800000,
RPQRMLKLNHMFFAD87CA,坡道平面,1050000,
RPRNMLMLNHMFFAD77CA,坡道平面,500000,
RPSNMLMLNHMFFAD87CA,坡道機械,550000,
RPSPMLMLNHMFFAD08CA,坡道機械,0,
RPOOMLMLNHMFFAD57CA,坡道平面,0,33.05
RPRRMLKLNHMFFAD97CA,坡道平面,1050000,
RPXPMLKLNHMFFAD38CA,坡道機械,600000,
RPQQMLKLNHMFFAD77CA,坡道機械,550000,
RPSQMLKLNHMFFAD97CA,坡道機械,500000,
RPTQMLKLNHMFFAD08CA,坡道平面,900000,
RPXQMLKLNHMFFAD48CA,坡道平面,700000,
RPORMLKLNHMFFAD67CA,坡道平面,1050000,
RPQOMLSKNHMFFAD28CA,坡道平面,0,36.14
RPWOMLPJNHMFFHR97CA,坡道平面,0,
RPUOMLPJNHMFFHR77CA,坡道平面,0,
RPOOMLMJNHMFFAD47DA,坡道機械,0,
RPXOMLMJNHMFFHR77CA,坡道平面,0,
RPVOMLQLNHMFFHR18CA,坡道平面,0,
RPOOMLKKNHMFFHR76CA,坡道平面,0,
RPRNMLLKNHMFFHR07CA,坡道機械,0,
RPVOMLPJNHMFFHR87CA,坡道平面,0,
RPUNMLSKNHMFFHR08CA,坡道平面,0,22.00
RPROMLPJNHMFFHR47CA,坡道平面,0,
RPTOMLQLNHMFFCD68CA,坡道機械,0,
RPQPMLNJNHMFFCD97CA,坡道平面,0,
RPQOMLSJNHMFFAD18CA,坡道平面,900000,
RPSNMLTJNHMFFAD38CA,坡道平面,0,
RPTNMLMLNHMFFAD97CA,坡道平面,900000,
RPTRMLKLNHMFFAD18CA,坡道平面,1100000,
RPVOMLQLNHMFFAD68CA,坡道平面,0,
RPVOMLPJNHMFFAD38CA,坡道平面,0,
RPTNMLNKNHMFFCD18CA,坡道平面,0,
RPPOMLOJNHMFFCD87CA,坡道機械,0,
RPSNMLQLNHMFFCD48CA,坡道平面,0,
RPSNMLQLNHMFFCD48CA,坡道平面,0,
RPVNMLQLNHMFFCD78CA,坡道平面,0,
RPVOMLLMNHMFFCD48CA,坡道平面,0,
RPVOMLLMNHMFFCD48CA,坡道平面,0,
RPVOMLLMNHMFFCD48CA,坡道平面,0,
RPVNMLKKNHMFFHR47DA,坡道機械,0,
RPQOMLOJNHMFFHR27CA,一樓平面,0,
RPRPMLPJNHMFFHR57CA,坡道平面,0,
RPRNMLRKNHMFFFR47CA,一樓平面,0,28.13
RPUOMLPKNHMFFER57CA,一樓平面,750000,13.37
RPWNMLMKNHMFFER37CA,其他,450000,7.30
RPWNMLMKNHMFFER37CA,其他,450000,7.30
RPXNMLMKNHMFFER47CA,其他,500000,7.30
RPVNMLMKNHMFFER27CA,其他,550000,7.30
RPSOMLPKNHMFFER37CA,其他,550000,7.30
RPQNMLOLNHMFFHR37CA,一樓平面,0,
RPRNMLTJNHMFFCD48CA,坡道機械,0,
RPVNMLSJNHMFFCD78CA,坡道平面,0,
RPWOMLMKNHMFFCD48CA,坡道機械,0,
RPVNMLNKNHMFFCD38CA,坡道平面,0,45.63
RPPPMLMLNHMFFCD97CA,坡道平面,0,
RPQOMLTKNHMFFCD58CA,坡道平面,0,
RPSNMLNKNHMFFAD87CA,坡道機械,0,
RPPNMLMKNHMFFAD47CA,坡道平面,700000,
RPRNMLMKNHMFFAD67CA,坡道平面,860000,
RPWNMLMKNHMFFAD18CA,坡道平面,860000,
RPPOMLMKNHMFFAD57CA,坡道平面,960000,
RPVOMLLKNHMFFAD08CA,坡道平面,660000,
RPPPMLLKNHMFFAD57CA,坡道平面,0,
RPRPMLLKNHMFFAD77CA,坡道平面,760000,
