鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
新市區,房地(土地+建物),臺南市新市區可口街31~60號,76.68,住,,,1051213,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0670310,100.8,3,2,3,有,無,有,10000,99,,0.0,0,,RPPNMLPKKILFFER86CC
鹽水區,房地(土地+建物),臺南市鹽水區尾寮61~90號,84.54,,鄉村區,乙種建築用地,1051112,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0820312,133.09,3,2,2,有,無,無,5700,43,,0.0,0,,RPUNMLLLKILFFAR76DC
仁德區,房地(土地+建物)+車位,臺南市仁德區上崙街459巷1~30號,72.24,其他,,,1051229,土地1建物1車位1,全,3,透天厝,住商用,加強磚造,0710508,95.63,2,2,2,有,無,無,8000,84,其他,0.0,0,,RPTNMLTLKILFFFR87CC
永康區,房地(土地+建物),臺南市永康區二王路121~150號,0.0,住,,,1051224,土地1建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,1021226,192.53,5,2,4,有,無,無,21000,109,,0.0,0,,RPRQMLTLKILFFHR28DC
仁德區,建物,臺南市仁德區仁義村中山路241~270號,0.0,住,,,1051230,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0970912,344.03,4,5,7,有,無,無,30650,89,,0.0,0,1.合約書無填具土地租賃面積2.由所有權人提供出租資訊3.租整棟透天,RPROMLKMKILFFFR96CC
關廟區,房地(土地+建物),臺南市關廟區關新路一段811~840號,93.0,,鄉村區,乙種建築用地,1051202,土地1建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040722,183.87,5,2,3,有,無,無,13000,71,,0.0,0,鄉村區乙種建築用地,RPQNMLMJJHMFFFR56CC
永康區,房地(土地+建物),臺南市永康區勝利街22弄45弄61~90號,65.22,其他,,,1060101,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0641101,89.93,4,2,3,有,無,無,12000,133,,0.0,0,,RPOQMLNJJHMFFHR96CC
安定區,房地(土地+建物),臺南市安定區海寮61~90號,560.0,,鄉村區,乙種建築用地,1051228,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0751205,444.54,7,4,6,有,無,無,10000,22,,0.0,0,,RPUNMLPJJHMFFER17CC
永康區,建物,臺南市永康區東橋十街31~60號,0.0,住,,,1060109,土地0建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,1001128,208.05,5,2,6,有,無,無,39000,187,,0.0,0,,RPOOMLKKJHMFFHR56CC
安南區,建物,臺南市安南區城西一街249巷113弄1~30號,0.0,住,,,1051218,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0850716,148.78,3,1,3,有,無,無,13000,87,,0.0,0,,RPSNMLLKJHMFFBD57CC
東區,建物,臺南市東區裕農路121~150號,0.0,住,,,1060105,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0630412,124.57,3,2,2,有,無,無,18000,144,,0.0,0,,RPPOMLLKJHMFFCD47CC
中西區,房地(土地+建物),臺南市中西區中華西路二段661~690號,97.71,其他,,,1060107,土地1建物1車位0,見其他登記事項,5,店面(店鋪),見其他登記事項,見其他登記事項,0941226,287.86,4,2,4,有,無,無,32000,111,,0.0,0,,RPQNMLLKJHMFFAD27CC
安南區,建物,臺南市安南區大安街1~30號,99.47,住,,,1051230,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0701217,113.8,5,1,3,有,無,無,12000,105,,0.0,0,,RPQOMLMKJHMFFBD57CC
東區,建物,臺南市東區崇善十四街31~60號,0.0,住,,,1060112,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0700727,117.52,2,2,3,有,無,無,10000,85,,0.0,0,,RPTNMLNKJHMFFCD97CC
安平區,房地(土地+建物),臺南市安平區安平路446巷17弄1~30號,115.0,住,,,1060113,土地1建物1車位0,全,1,透天厝,住家用,加強磚造,0670908,139.44,2,2,3,有,無,無,18800,135,,0.0,0,,RPOOMLRKJHMFFAD77CC
安平區,房地(土地+建物),臺南市安平區永華路二段511~540號,509.0,住,,,1060118,土地1建物1車位0,全,4,透天厝,商業用,見其他登記事項,0850304,692.88,0,0,0,無,無,無,140000,202,,0.0,0,,RPWNMLTKJHMFFAD68CC
東區,建物,臺南市東區富農街二段65巷1~30號,0.0,住,,,1060106,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0650309,82.09,3,2,2,有,無,無,13000,158,,0.0,0,,RPSOMLNLJHMFFCD08CC
永康區,建物,臺南市永康區南工街247巷35弄31~60號,0.0,住,,,1060123,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0691111,97.81,3,1,4,有,無,有,12000,123,,0.0,0,1.合約書無填具土地租賃面積2.由所有權人提供出租資訊3.租整棟透天,RPRQMLOLJHMFFHR57CC
仁德區,建物,臺南市仁德區德洋二街19巷1~30號,0.0,住,,,1060123,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0810831,161.2,6,2,3,有,無,有,20000,124,,0.0,0,,RPSOMLPLJHMFFFR37CC
北區,建物,臺南市北區公園路509巷8弄1~30號,0.0,住,,,1060110,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0610605,54.06,3,2,1,有,無,有,10000,185,,0.0,0,,RPROMLPLJHMFFAD97CC
安平區,建物,臺南市安平區同平路156巷1~30號,0.0,住,,,1060208,土地0建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,1041202,258.86,3,2,4,有,無,無,32000,124,,0.0,0,,RPROMLTJKHMFFAD28CC
東區,建物,臺南市東區裕農路288巷60弄61~90號,0.0,,,,1060116,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0620219,83.11,3,1,2,有,無,有,12000,144,,0.0,0,,RPUOMLOKKHMFFCD38CC
安南區,建物,臺南市安南區安通三街98巷1~30號,0.0,,,,1060116,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1001017,315.3,3,1,4,有,無,有,20000,63,,0.0,0,,RPVNMLOKKHMFFBD28CC
新市區,房地(土地+建物),臺南市新市區中山路195巷1~30號,222.71,其他,,,1060214,土地1建物1車位0,見其他登記事項,2,工廠,工業用,鋼造,0831206,159.24,0,0,0,無,無,無,13000,,,0.0,0,,RPUNMLQKKHMFFER47CC
東區,房地(土地+建物),臺南市東區仁和路139巷31~60號,0.0,住,,,1060215,土地1建物1車位0,見其他登記事項,9,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0840810,105.03,3,2,3,有,無,有,15000,143,,0.0,0,租賃合約書無填寫土地租賃.租金含管理費,RPUNMLMLKHMFFCD18CC
永康區,房地(土地+建物),臺南市永康區復興路241~270號,47.66,住,,,1060220,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0741123,117.45,4,2,3,有,無,無,16000,136,,0.0,0,,RPVNMLNLKHMFFHR77DC
仁德區,房地(土地+建物),臺南市仁德區太乙一街1~30號,401.41,工,,,1060203,土地2建物1車位0,見其他登記事項,1,工廠,工業用,見其他登記事項,0891009,164.64,0,0,0,無,無,無,28000,,,0.0,0,,RPXNMLLJLHMFFFR37CC
北區,房地(土地+建物),臺南市北區海安路三段571~600號,112.2,其他,,,1060301,土地1建物1車位0,全,5,透天厝,見其他登記事項,見其他登記事項,0930830,325.09,7,0,5,有,無,無,50000,154,,0.0,0,,RPSNMLMJLHMFFAD67CC
中西區,房地(土地+建物),臺南市中西區友愛街31~60號,76.39,商,,,1060222,土地2建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0601006,223.12,7,2,4,有,無,無,58000,260,,0.0,0,,RPQOMLMJLHMFFAD57CC
中西區,房地(土地+建物),臺南市中西區忠義路二段121~150號,47.91,商,,,1060225,土地1建物1車位0,見其他登記事項,2,店面(店鋪),商業用,磚造,0040101,89.52,0,2,1,有,無,無,15000,168,,0.0,0,,RPSPMLNJLHMFFAD97CC
安平區,房地(土地+建物),臺南市安平區安平路121~150號,641.44,其他,,,1060224,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住工用,加強磚造,0571017,582.6,0,0,0,無,無,無,150000,257,,0.0,0,,RPQNMLOJLHMFFAD67CC
北區,房地(土地+建物),臺南市北區開元路61~90號,100.0,商,,,1060302,土地2建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0700703,303.38,0,0,0,無,無,無,25000,82,,0.0,0,,RPRPMLRJLHMFFAD28CC
