編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLPKKILFFER86CC,39,100.80,住商用,加強磚造,67年3月10日,二層,
RPUNMLLLKILFFAR76DC,24,133.09,住家用,鋼筋混凝土造,82年3月12日,三層,
RPTNMLTLKILFFFR87CC,35,95.63,住商用,加強磚造,71年5月8日,二層,
RPRQMLTLKILFFHR28DC,3,192.53,見其他登記事項,見其他登記事項,102年12月26日,四層,
RPROMLKMKILFFFR96CC,8,344.03,住商用,鋼筋混凝土造,97年9月12日,四層,
RPQNMLMJJHMFFFR56CC,1,183.87,見其他登記事項,鋼筋混凝土造,104年7月22日,四層,
RPOQMLNJJHMFFHR96CC,41,89.93,住家用,加強磚造,64年11月1日,二層,
RPUNMLPJJHMFFER17CC,30,444.54,住家用,鋼筋混凝土造,75年12月5日,三層,
RPOOMLKKJHMFFHR56CC,5,208.05,見其他登記事項,見其他登記事項,100年11月28日,四層,
RPSNMLLKJHMFFBD57CC,20,148.78,住商用,鋼筋混凝土造,85年7月16日,四層,
RPPOMLLKJHMFFCD47CC,43,124.57,住商用,加強磚造,63年4月12日,二層,
RPQNMLLKJHMFFAD27CC,11,258.85,見其他登記事項,見其他登記事項,94年12月26日,五層,
RPQNMLLKJHMFFAD27CC,11,29.01,見其他登記事項,見其他登記事項,94年12月26日,五層,
RPQOMLMKJHMFFBD57CC,35,113.80,住商用,加強磚造,70年12月17日,二層,
RPTNMLNKJHMFFCD97CC,35,117.52,住商用,加強磚造,70年7月27日,二層,
RPOOMLRKJHMFFAD77CC,38,139.44,住家用,加強磚造,67年9月8日,二層,
RPWNMLTKJHMFFAD68CC,21,692.88,商業用,見其他登記事項,85年3月4日,三層,
RPSOMLNLJHMFFCD08CC,41,82.09,住家用,加強磚造,65年3月9日,二層,
RPRQMLOLJHMFFHR57CC,36,97.81,住家用,加強磚造,69年11月11日,二層,
RPSOMLPLJHMFFFR37CC,24,161.20,住家用,鋼筋混凝土造,81年8月31日,三層,
RPROMLPLJHMFFAD97CC,45,54.06,住家用,加強磚造,61年6月5日,二層,
RPROMLTJKHMFFAD28CC,1,258.86,見其他登記事項,見其他登記事項,104年12月2日,四層,
RPUOMLOKKHMFFCD38CC,44,83.11,住家用,加強磚造,62年2月19日,二層,
RPVNMLOKKHMFFBD28CC,5,157.65,見其他登記事項,鋼筋混凝土造,100年10月17日,四層,
RPVNMLOKKHMFFBD28CC,5,157.65,見其他登記事項,鋼筋混凝土造,100年10月17日,四層,
RPUNMLQKKHMFFER47CC,22,159.24,工業用,鋼造,83年12月6日,二層,
RPUNMLMLKHMFFCD18CC,22,105.03,住商用,鋼筋混凝土造,84年8月10日,九層,
RPVNMLNLKHMFFHR77DC,31,117.45,住商用,鋼筋混凝土造,74年11月23日,三層,
RPXNMLLJLHMFFFR37CC,16,164.64,工業用,見其他登記事項,89年10月9日,一層,
RPSNMLMJLHMFFAD67CC,13,325.09,見其他登記事項,見其他登記事項,93年8月30日,五層,
RPQOMLMJLHMFFAD57CC,45,223.12,住商用,鋼筋混凝土造,60年10月6日,四層,
RPSPMLNJLHMFFAD97CC,102,89.52,商業用,磚造,4年1月1日,二層,
RPQNMLOJLHMFFAD67CC,48,582.60,住工用,加強磚造,57年10月17日,二層,
RPRPMLRJLHMFFAD28CC,36,303.38,住商用,鋼筋混凝土造,70年7月3日,四層,
RPPNMLRJLHMFFAR66CC,49,193.55,住商用,鋼筋混凝土加強磚造,56年10月12日,三層,
RPVNMLSJLHMFFAD58CC,8,352.46,見其他登記事項,鋼筋混凝土造,97年11月6日,五層,
RPQOMLSJLHMFFBD28CC,1,81.90,商業用,見其他登記事項,104年10月5日,一層,
RPQOMLSJLHMFFBD28CC,1,81.90,商業用,見其他登記事項,104年10月5日,一層,
RPQOMLSJLHMFFBD28CC,1,81.90,商業用,見其他登記事項,104年10月5日,一層,
RPQOMLSJLHMFFBD28CC,1,123.87,商業用,見其他登記事項,104年10月5日,一層,
RPVNMLTJLHMFFAD68CC,88,106.20,住家用,見其他登記事項,18年5月16日,二層,
RPPNMLKKLHMFFAD27CC,23,67.21,住家用,鋼筋混凝土造,83年3月3日,四層,
