編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPNMLPKKILFFER86CC,大榮段,76.68,都市：住
RPUNMLLLKILFFAR76DC,歡雅段,84.54,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLTLKILFFFR87CC,神農段,72.24,都市：其他
RPRQMLTLKILFFHR28DC,二王段,.00,都市：住
RPROMLKMKILFFFR96CC,義林段,.00,都市：住
RPQNMLMJJHMFFFR56CC,埤子頭段,93.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOQMLNJJHMFFHR96CC,勝利段,42.83,都市：其他
RPOQMLNJJHMFFHR96CC,勝利段,22.39,都市：其他
RPUNMLPJJHMFFER17CC,海寮段,560.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLKKJHMFFHR56CC,橋北段,.00,都市：住
RPSNMLLKJHMFFBD57CC,城南段,.00,都市：住
RPPOMLLKJHMFFCD47CC,新東段,.00,都市：住
RPQNMLLKJHMFFAD27CC,武聖段,97.71,都市：其他
RPQOMLMKJHMFFBD57CC,海東段,93.71,都市：住
RPQOMLMKJHMFFBD57CC,海東段,5.76,都市：其他
RPTNMLNKJHMFFCD97CC,德高段,.00,都市：住
RPOOMLRKJHMFFAD77CC,上鯤鯓段,115.00,都市：住
RPWNMLTKJHMFFAD68CC,金華段,509.00,都市：住
RPSOMLNLJHMFFCD08CC,虎尾寮段,.00,都市：住
RPSOMLNLJHMFFCD08CC,虎尾寮段,.00,都市：住
RPRQMLOLJHMFFHR57CC,忠孝段,.00,都市：住
RPSOMLPLJHMFFFR37CC,二王段,.00,都市：住
RPROMLPLJHMFFAD97CC,正興段,.00,都市：住
RPROMLTJKHMFFAD28CC,漁港段,.00,都市：住
RPUOMLOKKHMFFCD38CC,富裕段,.00,非都市： ; 非都市編定：
RPVNMLOKKHMFFBD28CC,安西段,.00,非都市： ; 非都市編定：
RPUNMLQKKHMFFER47CC,七王段,222.71,都市：其他
RPUNMLMLKHMFFCD18CC,仁和段,.00,都市：住
RPVNMLNLKHMFFHR77DC,永興段,47.66,都市：住
RPXNMLLJLHMFFFR37CC,太新段,293.79,都市：工
RPXNMLLJLHMFFFR37CC,太新段,107.62,都市：工
RPSNMLMJLHMFFAD67CC,北元段,112.20,都市：其他
RPQOMLMJLHMFFAD57CC,檨仔林段,8.24,都市：商
RPQOMLMJLHMFFAD57CC,檨仔林段,68.15,都市：商
RPSPMLNJLHMFFAD97CC,永福段,47.91,都市：商
RPQNMLOJLHMFFAD67CC,新南段,641.44,都市：其他
RPRPMLRJLHMFFAD28CC,東豐段,95.00,都市：商
RPRPMLRJLHMFFAD28CC,東豐段,5.00,都市：商
RPPNMLRJLHMFFAR66CC,三興段,65.87,都市：商
RPVNMLSJLHMFFAD58CC,金華段,132.35,都市：住
RPQOMLSJLHMFFBD28CC,海東段,.00,非都市： ; 非都市編定：
RPQOMLSJLHMFFBD28CC,海東段,.00,非都市： ; 非都市編定：
RPQOMLSJLHMFFBD28CC,海東段,.00,非都市： ; 非都市編定：
RPQOMLSJLHMFFBD28CC,海東段,.00,非都市： ; 非都市編定：
RPVNMLTJLHMFFAD68CC,三民段,.00,非都市： ; 非都市編定：
RPVNMLTJLHMFFAD68CC,三民段,.00,非都市： ; 非都市編定：
RPPNMLKKLHMFFAD27CC,石門段,88.06,都市：住
RPPOMLPKLHMFFAD87CC,協進段,129.00,都市：住
RPQNMLPKLHMFFBD97CC,怡中段,.00,都市：住
RPVNMLQKLHMFFBD58CC,安東段,.00,都市：住
RPRNMLRKLHMFFER37CC,光華段,88.03,都市：其他
