編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTOMLLJPHLFFAE97CA,,274.23,見其它登記事項,見其它登記事項,105年3月30日,二十六層,四層
RPTOMLLJPHLFFAE97CA,,189.58,見其它登記事項,見其它登記事項,105年3月30日,二十六層,
RPQNMLSLRHLFFAE68CA,,273.89,見其它登記事項,見其它登記事項,105年3月30日,二十六層,十九層
RPQNMLSLRHLFFAE68CA,,189.58,見其它登記事項,見其它登記事項,105年3月30日,二十六層,
RPSOMLQLOHMFFEE98CA,,205.37,見其它登記事項,見其它登記事項,105年6月28日,四層,一層 二層 三層 四層 屋頂突出物
RPTOMLQLOHMFFEE09CA,,205.37,見其它登記事項,見其它登記事項,105年6月28日,四層,一層 二層 三層 四層 屋頂突出物
RPUOMLQLOHMFFEE56CA,,225.70,見其它登記事項,見其它登記事項,105年6月28日,四層,一層 二層 三層 四層 屋頂突出物
RPVOMLQLOHMFFEE66CA,,225.70,見其它登記事項,見其它登記事項,105年6月28日,四層,一層 二層 三層 四層 屋頂突出物
RPWOMLQLOHMFFEE76CA,,248.80,見其它登記事項,見其它登記事項,105年6月28日,四層,一層 二層 三層 四層 屋頂突出物
RPTNMLQKOHMFFBE68DA,22,84.58,住家用,鋼筋混凝土造,83年5月5日,十九層,五層
RPTNMLQKOHMFFBE68DA,22,25.86,見使用執照,鋼筋混凝土造,83年5月5日,十九層,
RPTNMLQKOHMFFBE68DA,22,34.30,見使用執照,鋼筋混凝土造,83年5月5日,十九層,地下層
RPTNMLQKOHMFFBE68DA,22,.10,見使用執照,鋼筋混凝土造,83年5月5日,十九層,
RPXOMLQLOHMFFEE86CA,,219.04,見其它登記事項,見其它登記事項,105年6月28日,四層,一層 二層 三層 四層 屋頂突出物
RPOPMLQLOHMFFEE68CA,,245.56,見其它登記事項,見其它登記事項,105年6月28日,四層,一層 二層 三層 四層 屋頂突出物
RPPPMLQLOHMFFEE78CA,,211.60,見其它登記事項,見其它登記事項,105年6月28日,四層,一層 二層 三層 四層 屋頂突出物
RPQPMLQLOHMFFEE88CA,1,321.16,見其它登記事項,見其它登記事項,105年6月28日,四層,一層 二層 三層 四層 屋頂突出物
RPRQMLKKMHMFFEE18CA,,83.88,見其它登記事項,見其它登記事項,105年11月30日,十五層,十二層
RPRQMLKKMHMFFEE18CA,,56.31,見其它登記事項,見其它登記事項,105年11月30日,十五層,
RPSQMLKKMHMFFEE28CA,,54.57,見其它登記事項,見其它登記事項,105年11月30日,十五層,十一層
RPSQMLKKMHMFFEE28CA,,29.25,見其它登記事項,見其它登記事項,105年11月30日,十五層,
RPURMLRKMHMFFEE66CA,,83.88,見其它登記事項,見其它登記事項,105年11月30日,十五層,十一層
