編號,車位類別,車位價格,車位面積平方公尺
RPPOMLRLMHMFFEE68CB,坡道平面,0,16.28
RPQOMLRLMHMFFEE78CB,坡道平面,0,13.71
RPSOMLRLMHMFFEE98CB,坡道平面,0,15.20
RPTOMLRLMHMFFEE09CB,坡道平面,0,16.28
RPUOMLRLMHMFFEE56CB,坡道平面,0,16.28
RPVOMLRLMHMFFEE66CB,坡道平面,0,16.28
RPWOMLRLMHMFFEE76CB,坡道平面,0,16.28
RPOPMLRLMHMFFEE68CB,坡道平面,0,16.28
RPPPMLRLMHMFFEE78CB,坡道平面,0,15.19
RPSPMLRLMHMFFEE09CB,坡道平面,0,16.28
RPWPMLRLMHMFFEE86CB,坡道平面,0,16.28
RPXPMLRLMHMFFEE96CB,坡道平面,0,13.50
RPOQMLRLMHMFFEE78CB,坡道平面,0,16.28
RPPQMLRLMHMFFEE88CB,坡道平面,0,16.02
RPQQMLRLMHMFFEE98CB,坡道平面,0,16.02
RPRQMLRLMHMFFEE09CB,坡道平面,0,16.28
RPTQMLRLMHMFFEE66CB,坡道平面,0,13.71
RPUQMLRLMHMFFEE76CB,坡道平面,0,16.28
RPVQMLRLMHMFFEE86CB,坡道平面,0,16.02
RPWQMLRLMHMFFEE96CB,坡道平面,0,16.28
RPXQMLRLMHMFFEE07CB,坡道平面,0,13.71
RPPRMLRLMHMFFEE98CB,坡道平面,0,16.02
RPQRMLRLMHMFFEE09CB,坡道平面,0,13.49
RPRRMLRLMHMFFEE56CB,坡道平面,0,13.50
RPSRMLRLMHMFFEE66CB,坡道平面,0,16.28
RPURMLRLMHMFFEE86CB,坡道平面,0,16.28
RPVSMLRLMHMFFEE07CB,坡道平面,0,16.28
RPOTMLRLMHMFFEE09CB,坡道平面,0,16.28
RPPTMLRLMHMFFEE56CB,坡道平面,0,13.50
RPQTMLRLMHMFFEE66CB,坡道平面,0,16.28
RPRTMLRLMHMFFEE76CB,坡道平面,0,15.19
RPQRMLSLMHMFFEE56CB,坡道平面,0,16.28
RPWOMLPJNHMFFEE09CB,坡道平面,1100000,35.70
RPXOMLPJNHMFFEE56CB,坡道平面,1100000,35.70
RPOPMLPJNHMFFEE38CB,坡道平面,1100000,35.70
RPOOMLLKNHMFFCE77CB,坡道平面,1000000,63.00
