鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
楠梓區,房地(土地+建物),高雄市楠梓區清豐二路151~180號,94.59,住,,,1060220,土地1建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,1001229,252.52,5,2,3,有,無,無,18000,71,,0.0,0,,RPRNMLLJLHMFFEE97CC
左營區,建物,高雄市左營區裕誠路421~450號,248.0,商,,,1060301,土地0建物2車位0,一層,12,店面(店鋪),商業用,鋼筋混凝土造,0830429,385.26,0,0,0,無,無,無,120000,311,,0.0,0,,RPWNMLMJLHMFFEE58CC
楠梓區,房地(土地+建物),高雄市楠梓區高雄大學路151~180號,21.53,住,,,1060223,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040216,151.11,3,2,2,有,無,有,17000,113,,0.0,0,,RPOOMLNJLHMFFEE97CC
左營區,房地(土地+建物)+車位,高雄市左營區大中二路541~570號,11.65,住,,,1060224,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1030528,127.03999999999999,3,2,1,有,有,有,28000,220,坡道平面,29.75,0,,RPPNMLOJLHMFFEE08CC
左營區,房地(土地+建物),高雄市左營區立文路91~120號,6.23,商,,,1060228,土地1建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030327,84.06,2,1,1,有,有,有,18000,214,,0.0,0,,RPQNMLOJLHMFFEE18CC
左營區,房地(土地+建物),高雄市左營區立文路61~90號,58.39,商,,,1060219,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030327,85.37,2,1,1,有,有,有,20000,234,,0.0,0,,RPRNMLOJLHMFFEE28CC
左營區,建物,高雄市左營區新庄仔路546巷1~30號,140.0,住,,,1060210,土地0建物0車位0,全,4,透天厝,,鋼筋混凝土造,0700918,29.06,1,0,1,有,無,有,6000,206,,0.0,0,,RPPNMLQJLHMFFEE28CC
左營區,建物,高雄市左營區明華一路331~360號,20.91,商,,,1060306,土地0建物0車位0,九層,12,辦公商業大樓,商業用,鋼筋混凝土造,0800502,184.9,2,1,2,有,無,有,30000,162,,0.0,0,,RPPQMLRJLHMFFEE68CC
楠梓區,土地,和平段五小段211~240地號,1614.0,住,,,1060307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,16000,10,,0.0,0,,RPUOMLSJLHMFFEE09CC
左營區,建物,高雄市左營區重立路241~270號,72.0,住,,,1060225,土地0建物1車位0,全,2,透天厝,,鋼筋混凝土造,0680904,107.3,0,0,0,無,無,無,16000,149,,0.0,0,,RPXOMLSJLHMFFEE76CC
左營區,房地(土地+建物),高雄市左營區光興街1~30號,16.0,住,,,1060227,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0781020,61.7,4,2,2,有,無,有,15000,243,,0.0,0,,RPRNMLKKLHMFFEE97CC
左營區,建物,高雄市左營區自由二路211~240號,0.0,,,,1060305,土地0建物1車位0,全,5,透天厝,見其它登記事項,鋼筋混凝土造,0961004,171.23,0,0,0,無,無,無,30000,175,,0.0,0,,RPSOMLKKLHMFFEE18CC
左營區,房地(土地+建物),高雄市左營區新莊一路121~150號,8.93,住,,,1060214,土地1建物1車位0,二十一層,27,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0830811,118.94,3,2,2,有,有,無,12000,101,,0.0,0,,RPSOMLNKLHMFFEE48CC
左營區,房地(土地+建物),高雄市左營區忠言路61~90號,130.0,住,,,1060315,土地1建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0950914,350.19,0,0,1,有,無,無,43000,123,,0.0,0,,RPTNMLQKLHMFFEE78CC
左營區,房地(土地+建物),高雄市左營區新庄仔路181~210號,137.0,住,,,1060313,土地1建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,1020527,155.54,0,0,0,無,無,無,60000,386,,0.0,0,,RPQQMLQKLHMFFEE78CC
左營區,房地(土地+建物),高雄市左營區自由二路151~180號,27.95,住,,,1060306,土地1建物1車位0,一層,14,店面(店鋪),住商用,鋼筋混凝土造,0781013,56.94,0,0,0,無,無,無,18000,316,,0.0,0,,RPRQMLQKLHMFFEE88CC
左營區,房地(土地+建物),高雄市左營區大中一路351巷61~90號,153.0,住,,,1060310,土地1建物1車位0,全,4,透天厝,見其它登記事項,鋼筋混凝土造,0980115,207.73,5,2,4,有,無,有,35000,168,,0.0,0,,RPPNMLRKLHMFFEE48CC
左營區,房地(土地+建物),高雄市左營區大中二路751~780號,15.59,住,,,1060314,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000628,142.73000000000002,3,2,2,有,有,有,20000,140,,0.0,0,,RPWOMLRKLHMFFEE66CC
左營區,房地(土地+建物),高雄市左營區立文路91~120號,8.67,商,,,1060303,土地1建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030327,114.64,2,2,1,有,有,有,27000,236,,0.0,0,,RPSPMLRKLHMFFEE98CC
左營區,房地(土地+建物),高雄市左營區立文路61~90號,8.21,商,,,1060306,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030327,113.34,2,1,1,有,無,有,20000,176,,0.0,0,,RPSNMLSKLHMFFEE88CC
左營區,房地(土地+建物)+車位,高雄市左營區立文路91~120號,8.41,商,,,1060307,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030327,110.78,2,2,1,有,有,有,27000,244,坡道平面,25.26,0,,RPTNMLSKLHMFFEE98CC
楠梓區,房地(土地+建物),高雄市楠梓區德民路31~60號,316.0,住,,,1060221,土地1建物1車位0,一層,2,其他,商業用,見使用執照,0841120,260.05,0,0,0,無,無,無,38000,146,,0.0,0,,RPWOMLKLLHMFFEE68CC
左營區,房地(土地+建物),高雄市左營區文守路43巷1~30號,84.55,住,,,1060314,土地1建物1車位0,全,4,透天厝,住家用,見其它登記事項,0910820,206.23,5,2,4,有,無,有,31000,150,,0.0,0,,RPQPMLKLLHMFFEE18CC
