編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLLJLHMFFEE97CC,5,47.93,住商用,鋼筋混凝土造,100年12月29日,五層,
RPRNMLLJLHMFFEE97CC,5,47.93,住商用,鋼筋混凝土造,100年12月29日,五層,
RPRNMLLJLHMFFEE97CC,5,47.93,住商用,鋼筋混凝土造,100年12月29日,五層,
RPRNMLLJLHMFFEE97CC,5,47.93,住商用,鋼筋混凝土造,100年12月29日,五層,
RPRNMLLJLHMFFEE97CC,5,25.02,住商用,鋼筋混凝土造,100年12月29日,五層,
RPRNMLLJLHMFFEE97CC,5,30.60,住商用,鋼筋混凝土造,100年12月29日,五層,
RPRNMLLJLHMFFEE97CC,5,5.18,住商用,鋼筋混凝土造,100年12月29日,五層,
RPWNMLMJLHMFFEE58CC,23,199.49,商業用,鋼筋混凝土造,83年4月29日,十二層,
RPWNMLMJLHMFFEE58CC,23,185.77,商業用,鋼筋混凝土造,83年4月29日,十二層,
RPOOMLNJLHMFFEE97CC,2,88.02,見其它登記事項,見其它登記事項,104年2月16日,十五層,
RPOOMLNJLHMFFEE97CC,2,63.09,見其它登記事項,見其它登記事項,104年2月16日,十五層,
RPPNMLOJLHMFFEE08CC,3,58.61,住家用,見其它登記事項,103年5月28日,十五層,
RPPNMLOJLHMFFEE08CC,3,4.68,住家用,見其它登記事項,103年5月28日,十五層,
RPPNMLOJLHMFFEE08CC,3,63.75,見其它登記事項,見其它登記事項,103年5月28日,十五層,
RPQNMLOJLHMFFEE18CC,3,46.98,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPQNMLOJLHMFFEE18CC,3,8.44,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPQNMLOJLHMFFEE18CC,3,28.64,見其它登記事項,鋼筋混凝土造,103年3月27日,十五層,
RPRNMLOJLHMFFEE28CC,3,85.37,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPPNMLQJLHMFFEE28CC,35,29.06,,鋼筋混凝土造,70年9月18日,四層,
RPPQMLRJLHMFFEE68CC,26,184.90,商業用,鋼筋混凝土造,80年5月2日,十二層,
