編號,車位類別,車位價格,車位面積平方公尺
RPPNMLOJLHMFFEE08CC,坡道平面,0,29.75
RPTNMLSKLHMFFEE98CC,坡道平面,0,25.26
RPORMLNLLHMFFEE48CC,坡道平面,0,28.78
RPVNMLOLLHMFFEE88CC,坡道機械,0,10.36
RPXNMLOLLHMFFEE09CC,坡道平面,0,20.67
RPTOMLOLLHMFFEE78CC,坡道平面,0,30.20
RPPQMLOLLHMFFEE58CC,坡道平面,0,29.27
RPSNMLOLLHMFFEE68DC,坡道平面,0,
RPROMLSLLHMFFEE98CC,坡道機械,0,8.26
RPOPMLKMLHMFFEE08CC,坡道平面,0,
RPTOMLMJNHMFFDE48CC,坡道平面,0,17.42
RPUOMLMJNHMFFCE48CC,坡道平面,0,7.83
RPUOMLMJNHMFFCE48CC,坡道平面,0,7.83
RPROMLMJNHMFFBE08CC,坡道平面,2000,14.64
RPSOMLMJNHMFFBE18CC,坡道平面,2000,14.64
RPTOMLMJNHMFFBE28CC,坡道平面,1800,13.32
RPUOMLMJNHMFFBE38CC,坡道平面,1500,12.66
RPWOMLMJNHMFFBE58CC,坡道平面,2000,14.64
RPWPMLMJNHMFFEE98CC,坡道平面,0,
RPOOMLOJNHMFFCE08CC,坡道平面,0,
RPVNMLOJNHMFFBE58CC,坡道平面,0,19.72
RPPOMLOJNHMFFBE08CC,坡道平面,2500,
RPQOMLOJNHMFFGE68CC,坡道平面,0,
RPVOMLPJNHMFFGE66CC,坡道平面,0,
RPSPMLPJNHMFFEE88CC,坡道平面,0,
RPXNMLPJNHMFFCE98CC,坡道平面,0,20.38
RPUNMLTJNHMFFDE56CC,坡道機械,0,11.51
RPRNMLTJNHMFFAE58CC,坡道機械,0,9.93
RPPOMLLKNHMFFBE87CC,坡道機械,0,
RPROMLMKNHMFFAE08CC,坡道平面,0,
RPVPMLMKNHMFFAE58CC,坡道平面,0,13.03
RPVPMLMKNHMFFAE58CC,坡道平面,0,13.03
RPPPMLMKNHMFFEE38CC,坡道平面,0,
RPORMLMKNHMFFEE48CC,坡道平面,0,33.08
RPVNMLPKNHMFFBE78CC,坡道平面,2000,14.64
