編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQOMLNLOHMFFHF09EA,24,31.26,商業用,鋼筋混凝土造,81年6月3日,十二層,六層
RPQOMLNLOHMFFHF09EA,24,11.77,共有部分,鋼筋混凝土造,81年6月3日,十二層,
RPTNMLKKJILFFIF28CA,11,89.63,住家用,鋼筋混凝土造,94年6月30日,十四層,十一層
RPTNMLKKJILFFIF28CA,11,26.06,共有部份,鋼筋混凝土造,94年6月30日,十四層,
RPTNMLKKJILFFIF28CA,11,44.45,共有部份,鋼筋混凝土造,94年6月30日,十四層,
RPTNMLKKJILFFIF28CA,11,6.22,共有部份,鋼筋混凝土造,94年6月30日,十四層,
RPXOMLOKOHMFFDF56CA,20,113.22,住家用,鋼筋混凝土造,86年4月22日,五層,三層
RPXOMLOKOHMFFDF56CA,20,10.01,見其他登記事項,鋼筋混凝土造,86年4月22日,五層,
RPXOMLOKOHMFFDF56CA,20,34.87,見其他登記事項,鋼筋混凝土造,86年4月22日,五層,
RPUOMLKKJHMFFGF28CA,1,214.10,住家用,鋼筋混凝土造,104年7月2日,十九層,八層
RPUOMLKKJHMFFGF28CA,1,190.46,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPWOMLKKJHMFFGF48CA,1,188.16,住家用,鋼筋混凝土造,104年7月2日,十九層,十六層
RPWOMLKKJHMFFGF48CA,1,178.95,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPOOMLNKKHMFFGF08CA,1,132.93,住家用,鋼筋混凝土造,104年7月2日,十九層,十三層
RPOOMLNKKHMFFGF08CA,1,88.60,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPPOMLNKKHMFFGF18CA,1,128.33,住家用,鋼筋混凝土造,104年7月2日,十九層,八層
RPPOMLNKKHMFFGF18CA,1,86.51,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPOOMLOKKHMFFGF18CA,1,132.40,住家用,鋼筋混凝土造,104年7月2日,十九層,八層
RPOOMLOKKHMFFGF18CA,1,90.35,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPPOMLOKKHMFFGF28CA,1,132.40,住家用,鋼筋混凝土造,104年7月2日,十九層,十七層
RPPOMLOKKHMFFGF28CA,1,90.35,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPQOMLOKKHMFFGF38CA,1,132.40,住家用,鋼筋混凝土造,104年7月2日,十九層,十八層
RPQOMLOKKHMFFGF38CA,1,122.44,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPVSMLKLKHMFFBF48CA,,186.04,見其他登記事項,鋼筋混凝土造,105年8月30日,九層,八層
RPVSMLKLKHMFFBF48CA,,77.71,見其他登記事項,鋼筋混凝土造,105年8月30日,九層,
RPVSMLKLKHMFFBF48CA,,38.42,見其他登記事項,鋼筋混凝土造,105年8月30日,九層,
RPOQMLTJLHMFFBF38CA,22,1.71,住家用,鋼筋混凝土造,83年10月26日,八層,一層
RPOQMLTJLHMFFBF38CA,22,.08,共有部份,鋼筋混凝土造,83年10月26日,八層,
RPOQMLTJLHMFFBF38CA,22,101.49,住家用,鋼筋混凝土造,83年10月26日,八層,六層
RPOQMLTJLHMFFBF38CA,22,.10,共有部份,鋼筋混凝土造,83年10月26日,八層,
RPOQMLTJLHMFFBF38CA,22,35.82,共有部份,鋼筋混凝土造,83年10月26日,八層,
RPOQMLTJLHMFFBF38CA,22,5.38,共有部份,鋼筋混凝土造,83年10月26日,八層,
RPPOMLQKLHMFFBF08CA,33,94.27,住家用,鋼筋混凝土造,73年2月16日,五層,五層
RPUPMLMLOHMFFBF68CA,19,71.72,住家用,鋼筋混凝土造,86年12月4日,六層,二層
RPUPMLMLOHMFFBF68CA,19,11.09,共有部分,鋼筋混凝土造,86年12月4日,六層,
RPUPMLMLOHMFFBF68CA,19,15.12,共有部分,鋼筋混凝土造,86年12月4日,六層,
RPVOMLPKOHMFFEF76EA,2,91.73,住家用,鋼筋混凝土造,103年11月6日,二十層,十六層
RPVOMLPKOHMFFEF76EA,2,71.66,見其他登記事項,鋼筋混凝土造,103年11月6日,二十層,
RPOQMLKKLHMFFEF87CA,,86.71,見其他登記事項,鋼骨鋼筋混凝土造,106年1月18日,二十一層,
RPOQMLKKLHMFFEF87CA,,109.61,住家用,鋼骨鋼筋混凝土造,106年1月18日,二十三層,十一層
RPQQMLKKLHMFFEF08CA,,86.71,見其他登記事項,鋼骨鋼筋混凝土造,106年1月18日,二十一層,
RPQQMLKKLHMFFEF08CA,,109.61,住家用,鋼骨鋼筋混凝土造,106年1月18日,二十三層,十二層
