編號,車位類別,車位價格,車位面積平方公尺
RPTNMLKKJILFFIF28CA,坡道平面,0,
RPXOMLOKOHMFFDF56CA,坡道平面,0,34.87
RPUOMLKKJHMFFGF28CA,坡道平面,0,32.09
RPUOMLKKJHMFFGF28CA,坡道平面,0,32.09
RPUOMLKKJHMFFGF28CA,坡道平面,0,32.09
RPWOMLKKJHMFFGF48CA,坡道平面,0,32.09
RPWOMLKKJHMFFGF48CA,坡道平面,0,32.09
RPWOMLKKJHMFFGF48CA,坡道平面,0,32.09
RPOOMLNKKHMFFGF08CA,坡道平面,0,30.00
RPPOMLNKKHMFFGF18CA,坡道平面,0,30.00
RPOOMLOKKHMFFGF18CA,坡道平面,0,32.09
RPPOMLOKKHMFFGF28CA,坡道平面,0,32.09
RPQOMLOKKHMFFGF38CA,坡道平面,0,32.09
RPQOMLOKKHMFFGF38CA,坡道平面,0,32.09
RPVSMLKLKHMFFBF48CA,坡道平面,0,
RPOQMLTJLHMFFBF38CA,坡道平面,0,
RPVOMLPKOHMFFEF76EA,坡道平面,0,34.70
RPOQMLKKLHMFFEF87CA,坡道平面,1450000,36.30
RPQQMLKKLHMFFEF08CA,坡道平面,1400000,36.30
RPRQMLKKLHMFFEF18CA,坡道平面,1150000,36.30
RPUQMLKKLHMFFEF48CA,坡道平面,1200000,36.30
RPORMLKKLHMFFEF97CA,坡道平面,1500000,36.30
RPURMLKKLHMFFEF58CA,坡道機械,1050000,18.15
RPVRMLKKLHMFFEF68CA,坡道機械,800000,18.15
RPWRMLKKLHMFFEF78CA,坡道機械,1050000,18.15
RPXRMLKKLHMFFEF88CA,坡道機械,1050000,18.15
RPOSMLKKLHMFFEF08CA,坡道機械,850000,18.15
RPPSMLKKLHMFFEF18CA,坡道機械,850000,18.15
RPRSMLKKLHMFFEF38CA,坡道機械,850000,18.15
RPSSMLKKLHMFFEF48CA,坡道機械,850000,18.15
RPTSMLKKLHMFFEF58CA,坡道機械,900000,18.15
RPVSMLKKLHMFFEF78CA,坡道機械,850000,18.15
RPWSMLKKLHMFFEF88CA,坡道機械,950000,18.15
RPXSMLKKLHMFFEF98CA,坡道機械,700000,18.15
RPOTMLKKLHMFFEF18CA,坡道機械,1050000,18.15
RPRTMLKKLHMFFEF48CA,坡道平面,1150000,36.30
RPSTMLKKLHMFFEF58CA,坡道平面,1500000,36.30
