鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新莊區,房地(土地+建物)+車位,新豐段1~30地號,15.42,商,,,1050122,土地1建物1車位1,見其他登記事項,18,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,164.38,0,0,2,有,無,18930000,115160,坡道平面,26.94,0,,RPPOMLSLLHMFFBF48CB
林口區,房地(土地+建物)+車位,國宅段1~30地號,19.28,住,,,1030412,土地1建物1車位1,八層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.22,2,2,2,有,無,17780000,115521,坡道平面,29.89,1800000,,RPTOMLMJNHMFFBF28CB
林口區,房地(土地+建物)+車位,國宅段1~30地號,19.28,住,,,1060110,土地1建物1車位1,十一層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.22,2,2,2,有,無,17870000,115810,坡道平面,29.89,1850000,,RPUOMLMJNHMFFBF38CB
林口區,房地(土地+建物)+車位,國宅段1~30地號,14.31,住,,,1030327,土地1建物1車位1,十一層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.39,2,2,1,有,無,13120000,114924,坡道平面,29.89,1800000,,RPVOMLMJNHMFFBF48CB
淡水區,房地(土地+建物),水仙段31~60地號,17.82,住,,,1060401,土地1建物1車位0,五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,89.82,2,2,1,有,無,9550000,106324,,0.0,0,,RPXPMLMJNHMFFEF09CB
淡水區,房地(土地+建物)+車位,水仙段31~60地號,21.35,住,,,1040301,土地1建物1車位1,三層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.59,2,2,2,有,無,13310000,110945,坡道平面,45.69,1450000,,RPOQMLMJNHMFFEF28CB
淡水區,房地(土地+建物)+車位,水仙段31~60地號,17.53,住,,,1040501,土地1建物1車位1,三層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.32,2,2,1,有,無,10810000,106813,坡道平面,45.69,1450000,,RPRQMLMJNHMFFEF58CB
淡水區,房地(土地+建物),水仙段31~60地號,18.65,住,,,1040301,土地1建物1車位0,五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.06,2,2,1,有,無,9980000,106102,,0.0,0,,RPORMLMJNHMFFEF38CB
淡水區,房地(土地+建物)+車位,水仙段31~60地號,18.89,住,,,1040301,土地1建物1車位1,六層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.75,2,2,1,有,無,11900000,109505,坡道平面,45.69,1600000,,RPQRMLMJNHMFFEF58CB
淡水區,房地(土地+建物)+車位,水仙段31~60地號,18.89,住,,,1050501,土地1建物1車位1,七層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.11,2,2,1,有,無,11700000,110036,坡道平面,42.05,1350000,,RPOOMLNJNHMFFEF18CB
淡水區,房地(土地+建物)+車位,水仙段31~60地號,18.08,住,,,1040201,土地1建物1車位1,六層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.48,2,2,1,有,無,10930000,110130,升降機械,22.86,950000,,RPOQMLNJNHMFFEF38CB
淡水區,房地(土地+建物)+車位,水仙段31~60地號,18.08,住,,,1040401,土地1建物1車位1,五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.48,2,2,1,有,無,11100000,111454,升降機械,22.86,1000000,,RPPQMLNJNHMFFEF48CB
淡水區,房地(土地+建物)+車位,水仙段31~60地號,18.08,住,,,1050601,土地1建物1車位1,四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.48,2,2,1,有,無,10930000,110130,升降機械,22.86,950000,,RPQQMLNJNHMFFEF58CB
淡水區,房地(土地+建物),水仙段31~60地號,17.96,住,,,1050401,土地1建物1車位0,九層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.62,2,2,1,有,無,10310000,113772,,0.0,0,,RPRQMLNJNHMFFEF68CB
