編號,車位類別,車位價格,車位面積平方公尺
RPPOMLSLLHMFFBF48CB,坡道平面,0,26.94
RPTOMLMJNHMFFBF28CB,坡道平面,1800000,29.89
RPUOMLMJNHMFFBF38CB,坡道平面,1850000,29.89
RPVOMLMJNHMFFBF48CB,坡道平面,1800000,29.89
RPOQMLMJNHMFFEF28CB,坡道平面,1450000,45.69
RPRQMLMJNHMFFEF58CB,坡道平面,1450000,45.69
RPQRMLMJNHMFFEF58CB,坡道平面,1600000,45.69
RPOOMLNJNHMFFEF18CB,坡道平面,1350000,42.05
RPOQMLNJNHMFFEF38CB,升降機械,950000,22.86
RPPQMLNJNHMFFEF48CB,升降機械,1000000,22.86
RPQQMLNJNHMFFEF58CB,升降機械,950000,22.86
RPSQMLNJNHMFFEF78CB,升降機械,950000,22.86
RPVNMLOJNHMFFEF88CB,坡道平面,1500000,41.32
RPWNMLOJNHMFFEF98CB,坡道平面,1700000,41.32
RPQOMLOJNHMFFEF48CB,坡道平面,1500000,41.32
RPQOMLOJNHMFFEF48CB,坡道平面,1500000,41.32
RPROMLOJNHMFFEF58CB,坡道平面,1550000,41.32
RPTOMLOJNHMFFEF78CB,坡道平面,1650000,41.32
RPPPMLOJNHMFFEF48CB,坡道平面,1400000,41.32
RPQQMLOJNHMFFEF68CB,坡道平面,1500000,41.32
RPSQMLOJNHMFFEF88CB,坡道平面,1550000,41.32
RPTQMLOJNHMFFEF98CB,坡道平面,1330000,41.32
RPUQMLOJNHMFFEF09CB,坡道平面,1700000,41.32
RPVQMLOJNHMFFEF56CB,坡道平面,1600000,41.32
RPWQMLOJNHMFFEF66CB,坡道平面,1550000,41.32
RPXQMLOJNHMFFEF76CB,坡道平面,1500000,41.32
RPORMLOJNHMFFEF58CB,坡道平面,1600000,41.32
RPPRMLOJNHMFFEF68CB,坡道平面,1700000,41.32
RPQRMLOJNHMFFEF78CB,坡道平面,1650000,41.32
RPRRMLOJNHMFFEF88CB,坡道平面,1650000,41.32
RPSRMLOJNHMFFEF98CB,坡道平面,1500000,41.32
RPURMLOJNHMFFEF56CB,坡道平面,1500000,41.32
RPVRMLOJNHMFFEF66CB,坡道平面,1650000,41.32
RPWRMLOJNHMFFEF76CB,坡道平面,1750000,41.32
RPXRMLOJNHMFFEF86CB,坡道平面,1500000,41.32
RPOSMLOJNHMFFEF68CB,坡道平面,1600000,41.32
RPRSMLOJNHMFFEF98CB,坡道平面,1650000,41.32
RPSSMLOJNHMFFEF09CB,坡道平面,1500000,41.32
RPTNMLPJNHMFFEF78CB,坡道平面,1500000,41.32
RPVNMLPJNHMFFEF98CB,坡道平面,1500000,41.32
RPXNMLPJNHMFFEF56CB,坡道平面,1650000,41.32
RPPOMLPJNHMFFEF48CB,坡道平面,1400000,41.32
RPVOMLPJNHMFFEF09CB,坡道平面,1500000,41.32
RPVOMLPJNHMFFEF09CB,坡道平面,1400000,41.32
RPWOMLPJNHMFFEF56CB,坡道平面,1650000,41.32
RPXOMLPJNHMFFEF66CB,坡道平面,1650000,41.32
RPPPMLPJNHMFFEF58CB,坡道平面,1650000,41.32
RPTPMLPJNHMFFEF98CB,坡道平面,1700000,41.32
RPTPMLPJNHMFFEF98CB,坡道平面,1600000,41.32
RPPNMLPJNHMFFBF08CB,坡道平面,1750000,29.84
RPQNMLPJNHMFFBF18CB,坡道平面,1700000,29.84
RPRNMLPJNHMFFBF28CB,坡道平面,1700000,29.84
RPSNMLPJNHMFFBF38CB,坡道平面,1800000,29.89
RPRNMLLKNHMFFBF97CB,坡道平面,1450000,23.14
RPSNMLLKNHMFFBF08CB,坡道平面,2050000,24.86
RPTNMLLKNHMFFBF18CB,坡道平面,1800000,24.86
RPPNMLLKNHMFFEF08CB,坡道平面,1500000,41.32
RPQNMLLKNHMFFEF18CB,坡道平面,1650000,41.32
RPQNMLLKNHMFFEF18CB,坡道平面,1650000,41.32
RPRNMLLKNHMFFEF28CB,升降機械,950000,22.86
