編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPQOMLRJKILFFGF78CC,興華段,.00,都市：住
RPQOMLRJKILFFGF78CC,興華段,.00,都市：商
RPRPMLSJKILFFHF56CC,信義段,.00,都市：住
RPQPMLMKKILFFBF08DC,後港段,181.43,都市：住
RPQPMLMKKILFFBF08DC,後港段,151.04,都市：住
RPQPMLMKKILFFBF08DC,後港段,75.36,都市：住
RPQPMLMKKILFFBF08DC,後港段,75.71,都市：住
RPWNMLNKKILFFIF76EC,大安段,155.95,都市：工
RPVUMLOKKILFFBF56CC,五工段,778.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPWNMLKLKILFFBF28CC,中原段,43.48,都市：住
RPUQMLLLKILFFGF98CC,永德段,.00,都市：工
RPUQMLLLKILFFGF98CC,永德段,.00,都市：工
RPUNMLRLKILFFIF86CC,挖子段,2064.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPRNMLSLKILFFBF68DC,行政段,.00,都市：住
RPTNMLLMKILFFHF78CC,得和段,107.00,都市：商
RPSQMLNJJHMFFBF18CC,五工段,2586.99,非都市：工業區 ; 非都市編定：丁種建築用地
RPVRMLTJJHMFFBF56CC,建國段,1350.00,都市：工
RPWTMLKKJHMFFEF56EC,滬尾段,75.29,都市：商
RPURMLKKJHMFFAF38EC,仁愛段,33.00,都市：工
RPURMLKKJHMFFAF38EC,瑞興段,10.38,都市：工
RPURMLKKJHMFFAF38EC,瑞興段,33.67,都市：工
RPURMLKKJHMFFAF38EC,瑞興段,7.48,都市：工
RPRPMLMKJHMFFBF97CC,陸光段,140.74,都市：工
RPQNMLPKJHMFFEF28CC,公司田段,136.33,都市：住
RPQPMLQKJHMFFBF28CC,五工段,1115.40,非都市：工業區 ; 非都市編定：丁種建築用地
RPTOMLQKJHMFFAF58EC,介壽段,.00,都市：商
RPTOMLQKJHMFFAF58EC,介壽段,.00,都市：商
RPTOMLQKJHMFFAF58EC,介壽段,.00,都市：商
RPPPMLOLJHMFFIF78CC,成福段成福小段,831.00,非都市：山坡地保育區 ; 非都市編定：丁種建築用地
RPXVMLPLJHMFFBF96CC,安泰段,200.73,都市：工
RPXVMLPLJHMFFBF96CC,安泰段,199.12,都市：工
RPSNMLQLJHMFFGF88CC,中興段,.00,都市：工
RPSNMLQLJHMFFGF88CC,中興段,.00,都市：工
RPQNMLRJKHMFFIF98DC,水源段,33.67,都市：住
RPQNMLRJKHMFFIF98DC,水源段,75.96,都市：住
RPROMLTJKHMFFEF88CC,滬尾段,.00,都市：商
RPRPMLTJKHMFFHF66CC,橋和段,.00,都市：工
RPRPMLTJKHMFFHF66CC,橋和段,.00,都市：工
RPVOMLKKKHMFFEF48CC,北新庄子段車埕小段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVNMLSKKHMFFHF86CC,中和段,.00,都市：住
RPVNMLSKKHMFFHF86CC,中和段,.00,都市：住
RPQTMLKLKHMFFBF28CC,化成段,725.57,都市：工
RPPNMLSJLHMFFGF78CC,三民段,.00,都市：住
RPXOMLMLLHMFFHF96EC,水源段,119.59,都市：商
RPTQMLKLMHMFFEF78CC,學府段,.00,非都市： ; 非都市編定：
RPQOMLLJNHMFFAF87CC,光仁段,30.25,都市：住
RPWNMLLJNHMFFCF58CC,安康段,29.65,都市：住
RPXNMLLJNHMFFCF68CC,安康段,19.30,都市：住
RPTNMLLJNHMFFDF38CC,智興段,.00,都市：住
RPTNMLLJNHMFFDF38CC,智興段,.00,都市：其他
RPVNMLLJNHMFFDF58CC,智興段,.00,都市：商
RPVNMLLJNHMFFDF58CC,智興段,.00,都市：其他
RPVNMLLJNHMFFDF58CC,智興段,.00,都市：商
RPOPMLLJNHMFFDF08CC,福德段,16.51,都市：住
RPPPMLLJNHMFFDF18CC,新峰段,12.04,都市：住
RPPNMLLJNHMFFAF87EC,文化段,2.77,都市：住
RPQNMLLJNHMFFAF97EC,中華段,28.04,都市：工
RPQNMLLJNHMFFCF08DC,莊敬段,2400.00,都市：農
RPPOMLMJNHMFFDF38EC,智興段,.00,都市：商
RPQOMLMJNHMFFDF48EC,智興段,.00,都市：商
RPROMLMJNHMFFDF58EC,同新段,.00,都市：工
RPSOMLMJNHMFFDF68EC,江北段,.00,都市：住
RPVOMLMJNHMFFDF98EC,保長段,8.86,都市：住
RPWOMLMJNHMFFDF09EC,保長段,3.91,都市：住
RPQPMLMJNHMFFDF58EC,保長段,9.37,都市：住
