編號,車位類別,車位價格,車位面積平方公尺
RPWNMLKLKILFFBF28CC,坡道平面,0,30.21
RPUNMLRLKILFFIF86CC,一樓平面,0,42.81
RPUNMLRLKILFFIF86CC,一樓平面,0,42.81
RPUNMLRLKILFFIF86CC,一樓平面,0,42.81
RPUNMLRLKILFFIF86CC,一樓平面,0,42.81
RPQNMLPKJHMFFEF28CC,坡道平面,0,4.54
RPWNMLLJNHMFFCF58CC,坡道平面,0,36.86
RPPPMLLJNHMFFDF18CC,坡道機械,0,14.98
RPQNMLLJNHMFFAF97EC,坡道平面,0,31.69
RPROMLMJNHMFFDF58EC,坡道平面,0,31.50
RPVOMLMJNHMFFDF98EC,坡道平面,3000,42.69
RPTNMLMJNHMFFDF48CC,坡道平面,0,33.26
RPTNMLMJNHMFFDF48CC,坡道平面,0,33.26
RPTNMLMJNHMFFDF48CC,坡道平面,0,33.26
RPTNMLMJNHMFFDF48CC,坡道平面,0,33.26
RPUOMLMJNHMFFDF68CC,坡道平面,0,23.02
RPOPMLMJNHMFFBF97CC,坡道平面,0,32.14
RPWQMLMJNHMFFBF88CC,升降機械,0,11.90
RPPRMLMJNHMFFBF28CC,坡道平面,0,32.12
RPWOMLMJNHMFFIF76CC,坡道平面,0,39.03
RPUNMLNJNHMFFIF56CC,坡道機械,0,26.98
RPXNMLNJNHMFFIF86CC,坡道平面,0,36.13
RPOOMLNJNHMFFIF68CC,坡道平面,0,36.28
RPXOMLNJNHMFFAF78CC,坡道平面,0,29.04
RPOOMLNJNHMFFCF08CC,塔式車位,0,12.84
RPWNMLNJNHMFFDF09EC,坡道機械,2000,21.35
RPOQMLOJNHMFFAF18CC,坡道平面,0,32.41
RPQOMLOJNHMFFDF48CC,坡道平面,0,
RPOPMLOJNHMFFDF38CC,坡道平面,0,
RPPPMLOJNHMFFDF48CC,坡道平面,0,
RPPPMLOJNHMFFDF48CC,坡道平面,0,
RPPPMLOJNHMFFDF48CC,坡道平面,0,
RPVTMLOJNHMFFEF96CC,坡道平面,0,36.00
RPVOMLOJNHMFFIF86CC,坡道平面,0,37.96
RPVOMLOJNHMFFIF86CC,坡道平面,0,37.96
RPQPMLPJNHMFFGF98CC,坡道平面,0,28.58
RPQPMLPJNHMFFGF98CC,坡道平面,0,28.58
RPQQMLPJNHMFFEF88CC,坡道平面,0,37.79
RPWPMLPJNHMFFBF09CC,坡道平面,0,29.18
RPWPMLPJNHMFFBF09CC,坡道平面,0,29.18
RPROMLPJNHMFFAF38CC,升降機械,0,38.99
RPUQMLPJNHMFFBF56EC,坡道平面,0,17.52
RPVQMLPJNHMFFBF66EC,坡道平面,0,37.08
RPRRMLPJNHMFFBF98EC,坡道平面,0,
RPSRMLPJNHMFFBF09EC,坡道平面,0,35.25
RPXRMLPJNHMFFBF96EC,坡道平面,0,50.81
RPOSMLPJNHMFFBF78EC,坡道平面,0,
RPQSMLPJNHMFFBF98EC,坡道平面,0,
RPRSMLPJNHMFFBF09EC,坡道機械,0,
RPSSMLPJNHMFFBF56EC,坡道平面,0,32.64
RPPNMLQJNHMFFBF28CC,坡道平面,0,
RPQNMLQJNHMFFBF38CC,坡道平面,0,
RPRNMLQJNHMFFBF48CC,坡道平面,0,
RPRUMLSJNHMFFBF76CC,坡道平面,0,
RPTOMLSJNHMFFAF88CC,坡道平面,0,24.71
RPQOMLSJNHMFFDF88CC,坡道平面,0,31.50
RPQOMLSJNHMFFDF88CC,坡道平面,0,31.50
RPQOMLSJNHMFFDF88CC,坡道平面,0,31.50
RPQOMLSJNHMFFDF88CC,坡道平面,0,31.50
RPSOMLSJNHMFFDF09CC,坡道平面,0,23.33
RPSOMLSJNHMFFDF09CC,坡道平面,0,23.33
RPSOMLTJNHMFFBF98CC,坡道平面,0,
RPWQMLTJNHMFFBF96CC,坡道平面,0,17.52
RPQRMLTJNHMFFBF09CC,坡道平面,0,27.92
RPQQMLTJNHMFFBF56EC,坡道平面,0,
RPUNMLTJNHMFFGF07DC,坡道平面,0,24.69
RPOOMLKKNHMFFHF38CC,坡道平面,3675,29.04
RPQPMLKKNHMFFIF78CC,坡道平面,0,13.57
RPUOMLKKNHMFFBF38CC,坡道平面,0,15.48
RPOPMLKKNHMFFCF97CC,坡道平面,0,
RPQOMLKKNHMFFDF18CC,坡道平面,0,
RPQOMLKKNHMFFDF18CC,坡道平面,0,
RPQOMLKKNHMFFDF18CC,坡道平面,0,
RPQOMLKKNHMFFDF18CC,坡道平面,0,
RPWNMLLKNHMFFBF58CC,坡道平面,0,31.50
RPWNMLLKNHMFFBF58CC,坡道平面,0,31.50
RPSNMLLKNHMFFHF78CC,一樓平面,0,
RPTNMLLKNHMFFHF88CC,坡道平面,0,19.87
RPVNMLLKNHMFFHF09CC,坡道平面,0,5.98
RPWNMLLKNHMFFHF56CC,坡道平面,0,33.75
RPOQMLMKNHMFFIF88CC,坡道機械,0,
RPWNMLMKNHMFFBF68CC,坡道平面,0,
RPWNMLMKNHMFFDF88CC,坡道平面,0,20.12
RPWNMLMKNHMFFDF88CC,坡道平面,0,20.12
RPPNMLNKNHMFFDF28CC,坡道平面,2500,36.95
RPSNMLPKNHMFFHF56CC,坡道機械,0,
