鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉柯林路451~480號,2183.22,,特定農業區,農牧用地,1060301,土地2建物1車位0,一層，二層，三層，見其他登記事項,三層,農舍,農舍,鋼筋混凝土造,1041207,521.34,7,2,8,有,無,35280000,,,0.0,0,,RPTOMLQKOHMFFAG78CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉隆昌路93巷1~30號,99.17,住,,,1060301,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1050315,171.08,5,2,5,有,無,10680000,62427,,0.0,0,一樓後方增建.二樓陽台增建.3樓陽台增建,RPQOMLOKOHMFFAG28CA
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮濱海路六段95巷31~60號,155.83,住,,,1060407,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840228,212.94,6,2,3,有,無,5480000,25735,,0.0,0,一樓空地跟頂樓有增建,RPVOMLTKOHMFFBG76CA
員山鄉,土地,深福段691~720地號,3729.92,,特定農業區,農牧用地,1050825,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19181100,5142,,0.0,0,,RPOOMLQKOHMFFBG38CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮南宜四路1~30號,5.07,住,,,1060407,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820629,23.52,3,1,2,有,有,500000,21249,,0.0,0,親屬間交易(姐妹),RPTNMLLJNHMFFAG18EA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮培英路49巷31~60號,25.48,住,,,1060315,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0811102,96.25,3,2,2,有,無,4300000,44675,,0.0,0,,RPVOMLMJNHMFFAG58EA
五結鄉,土地,鎮安段211~240地號,15.86,住,,,1060420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,399672,25200,,0.0,0,,RPPNMLNJNHMFFAG97EA
五結鄉,土地,鎮安段211~240地號,0.42,住,,,1060420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10584,0,,0.0,0,,RPTNMLNJNHMFFAG38EA
五結鄉,土地,鎮安段181~210地號,4.71,住,,,1060420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,137061,29100,,0.0,0,,RPUNMLNJNHMFFAG48EA
五結鄉,土地,鎮安段211~240地號,0.85,住,,,1060420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21420,0,,0.0,0,,RPPOMLNJNHMFFAG08EA
