編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTOMLQKOHMFFAG78CA,1,521.34,農舍,鋼筋混凝土造,104年12月7日,三層,一層 二層 三層 見其他登記事項
RPQOMLOKOHMFFAG28CA,1,171.08,住家用,見其他登記事項,105年3月15日,三層,二層 三層 見其他登記事項 一層
RPVOMLTKOHMFFBG76CA,22,212.94,住家用,鋼筋混凝土造,84年2月28日,三層,一層 二層 三層
RPTNMLLJNHMFFAG18EA,24,20.46,住家用,鋼筋混凝土造,82年6月29日,六層,三層
RPTNMLLJNHMFFAG18EA,24,3.06,共有部份,鋼筋混凝土造,82年6月29日,六層,
RPVOMLMJNHMFFAG58EA,24,80.38,住家用,鋼筋混凝土造,81年11月2日,五層,五層
RPVOMLMJNHMFFAG58EA,24,8.99,見其他登記事項,鋼筋混凝土造,81年11月2日,五層,
RPVOMLMJNHMFFAG58EA,24,6.89,見其他登記事項,鋼筋混凝土造,81年11月2日,五層,
RPOOMLNJNHMFFBG08EA,2,216.62,見其他登記事項,鋼筋混凝土造,104年6月16日,三層,一層 二層 三層 見其他登記事項
RPSPMLSKNHMFFBG98CA,26,130.67,住家用,鋼筋混凝土造,80年8月26日,七層,七層
RPSPMLSKNHMFFBG98CA,26,29.04,見其他登記事項,鋼筋混凝土造,80年8月26日,七層,地下層
RPSPMLSKNHMFFBG98CA,26,2.91,共有部分,鋼筋混凝土造,80年8月26日,七層,
RPSPMLSKNHMFFBG98CA,26,4.71,共有部分,鋼筋混凝土造,80年8月26日,七層,
RPSNMLMLNHMFFAG18CA,,122.44,住家用,加強磚造,,二層,一層 二層
RPQNMLNJNHMFFBG97CA,1,332.86,住家用,鋼筋混凝土造,105年3月8日,四層,一層 二層 三層 四層
RPTNMLNJNHMFFBG28CA,1,334.64,住家用,鋼筋混凝土造,105年3月8日,四層,三層 四層 一層 二層
RPUNMLNJNHMFFBG38CA,1,329.30,住家用,鋼筋混凝土造,105年3月8日,四層,一層 二層 三層 四層
