╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
дK╝w░╧,дgжa,╖ч┬╫мq1591~1620жa╕╣,28.1,,╢mз°░╧,дЇзQе╬жa,1041101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2420000,86121,,0.0,0,и╠дЇзQ╖|─│╗∙╡▓кG┴╩╢RбC,RPPOMLQLOHMFFFH66EA
└s╝ц░╧,дgжa,╗╔╞r░щмq1141~1170жa╕╣,2606.15,,дsйYжaлOи|░╧,╣Aкке╬жa,1050805,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,14000000,5372,,0.0,0,,RPOOMLTJOHMFFCH98EA
дK╝w░╧,дgжa,╖ч┬╫мq1651~1680жa╕╣,28.58,,╢mз°░╧,дЇзQе╬жa,1051001,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2030000,71029,,0.0,0,и╠дЇзQ╖|─│╗∙╡▓кG┴╩╢RбC,RPTNMLQLOHMFFFH96EA
дK╝w░╧,дgжa,╖ч┬╫мq1651~1680жa╕╣,28.49,,╢mз°░╧,дЇзQе╬жa,1051001,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2050000,71955,,0.0,0,и╠дЇзQ╖|─│╗∙╡▓кG┴╩╢RбC,RPUNMLQLOHMFFFH07EA
дK╝w░╧,дgжa,╖ч┬╫мq1621~1650жa╕╣,32.08,,╢mз°░╧,дЇзQе╬жa,1051001,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2280000,71072,,0.0,0,и╠дЇзQ╖|─│╗∙╡▓кG┴╩╢RбC,RPVNMLQLOHMFFFH17EA
дK╝w░╧,дgжa,╖ч┬╫мq1651~1680жa╕╣,28.05,,╢mз°░╧,дЇзQе╬жa,1051001,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2000000,71301,,0.0,0,и╠дЇзQ╖|─│╗∙╡▓кG┴╩╢RбC,RPWNMLQLOHMFFFH27EA
дK╝w░╧,дgжa,╖ч┬╫мq1591~1620жa╕╣,42.33,,╢mз°░╧,дЇзQе╬жa,1051001,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3000000,70872,,0.0,0,и╠дЇзQ╖|─│╗∙╡▓кG┴╩╢RбC,RPXNMLQLOHMFFFH37EA
дK╝w░╧,дgжa,╖ч┬╫мq1651~1680жa╕╣,29.68,,╢mз°░╧,дЇзQе╬жa,1051001,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2110000,71092,,0.0,0,и╠дЇзQ╖|─│╗∙╡▓кG┴╩╢RбC,RPOOMLQLOHMFFFH56EA
└tдs░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щел└tдs░╧┐│╡╪д@╡є271~300╕╣,35.45,жэ,,,1060113,дgжa1л╪кл1иожь1,е|╝h,д╗╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0821008,126.0,3,2,2,ж│,ж│,9000000,71429,йY╣Dенн▒,0.0,0,,RPSNMLKLOHMFFHH98DA
дK╝w░╧,й╨жa(дgжa+л╪кл),оч╢щелдK╝w░╧┐│┬╫╕Ї481~510╕╣,92.82,жэ,,,1060101,дgжa1л╪кл1иожь0,дT╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1011221,198.75,3,1,2,ж│,ж│,12623100,63512,,0.0,0,,RPROMLQLOHMFFFH86EA
