編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLKLOHMFFHH98DA,23,78.13,住家用,鋼筋混凝土造,82年10月8日,六層,四層
RPSNMLKLOHMFFHH98DA,23,11.72,共有部份,鋼筋混凝土造,82年10月8日,六層,
RPSNMLKLOHMFFHH98DA,23,36.15,共有部份,鋼筋混凝土造,82年10月8日,六層,
RPROMLQLOHMFFFH86EA,4,167.63,住家用,鋼筋混凝土造,101年12月21日,五層,三層
RPROMLQLOHMFFFH86EA,4,31.12,見其他登記事項,鋼筋混凝土造,101年12月21日,五層,
RPWPMLQKOHMFFBH96EA,16,56.97,見其他登記事項,鋼筋混凝土造,90年4月2日,十四層,地下層
RPWPMLQKOHMFFBH96EA,16,16.47,共有部分,鋼筋混凝土造,90年4月2日,十四層,
RPSOMLRLOHMFFHH07CA,2,122.77,住家用,鋼筋混凝土造,104年6月18日,九層,六層
RPSOMLRLOHMFFHH07CA,2,61.24,見其他登記事項,鋼筋混凝土造,104年6月18日,九層,
RPSOMLRLOHMFFHH07CA,2,18.73,見其他登記事項,鋼筋混凝土造,104年6月18日,九層,
RPXNMLLLOHMFFCH09DA,39,115.14,住商用,加強磚造,66年12月12日,二層,一層 二層 騎樓
RPPNMLQKMHMFFHH98DA,16,107.15,住家用,鋼筋混凝土造,90年8月23日,十四層,十一層
RPPNMLQKMHMFFHH98DA,16,42.77,共有部份,鋼筋混凝土造,90年8月23日,十四層,
RPPNMLQKMHMFFHH98DA,16,15.23,共有部份,鋼筋混凝土造,90年8月23日,十四層,
RPPNMLOKMHMFFHH68CA,20,87.72,住家用,鋼筋混凝土造,86年2月4日,五層,四層
RPPNMLOKMHMFFHH68CA,20,.10,共有部份,鋼筋混凝土造,86年2月4日,五層,
RPPNMLOKMHMFFHH68CA,20,11.25,共有部份,鋼筋混凝土造,86年2月4日,五層,
RPPNMLOKMHMFFHH68CA,20,.10,共有部份,鋼筋混凝土造,86年2月4日,五層,
RPXQMLKLOHMFFBH66EA,39,32.01,住家用,加強磚造,66年9月12日,五層,五層
RPSQMLQKOHMFFAH56EA,26,65.43,商業用,鋼筋混凝土造,80年3月19日,十三層,八層
RPSQMLQKOHMFFAH56EA,26,11.36,共有部份,鋼筋混凝土造,80年3月19日,十三層,
RPSQMLQKOHMFFAH56EA,26,10.15,共有部份,鋼筋混凝土造,80年3月19日,十三層,
RPXNMLLJNHMFFAH48CA,1,40.00,住家用,鋼筋混凝土造,105年7月1日,十四層,三層
RPXNMLLJNHMFFAH48CA,1,19.70,見其他登記事項,鋼筋混凝土造,105年7月1日,十四層,
RPTOMLLJNHMFFAH18CA,3,100.06,見其他登記事項,鋼筋混凝土造,103年4月20日,十五層,十四層
RPTOMLLJNHMFFAH18CA,3,82.02,見其他登記事項,鋼筋混凝土造,103年4月20日,十五層,
RPUOMLQKOHMFFAH56EA,7,135.30,商業用,鋼筋混凝土造,99年5月26日,十三層,一層 見其他登記事項
RPUOMLQKOHMFFAH56EA,7,51.21,見其他登記事項,鋼筋混凝土造,99年5月26日,十三層,
RPUOMLQKOHMFFAH56EA,7,.06,見其他登記事項,鋼筋混凝土造,99年5月26日,十三層,
RPOOMLOKOHMFFGH78CA,25,84.92,住家用,鋼筋混凝土造,80年12月7日,七層,一層
RPOOMLOKOHMFFGH78CA,25,1.54,共有部份,鋼筋混凝土造,80年12月7日,七層,
RPOOMLOKOHMFFGH78CA,25,4.52,共有部份,鋼筋混凝土造,80年12月7日,七層,
RPOOMLOKOHMFFGH78CA,25,5.60,見其他登記事項,鋼筋混凝土造,80年12月7日,七層,地下層
RPTOMLRLOHMFFHH17CA,12,.24,見其他登記事項,鋼筋混凝土造,94年5月18日,八層,地下一層
RPTOMLRLOHMFFHH17CA,12,.12,共有部份,鋼筋混凝土造,94年5月18日,八層,
RPTOMLRLOHMFFHH17CA,12,24.70,共有部份,鋼筋混凝土造,94年5月18日,八層,
RPPOMLLJNHMFFAH77CA,,104.19,見其他登記事項,鋼筋混凝土造,105年6月1日,十八層,十二層
RPPOMLLJNHMFFAH77CA,,82.26,見其他登記事項,鋼筋混凝土造,105年6月1日,十八層,
RPPOMLLJNHMFFAH77CA,,1.31,見其他登記事項,鋼筋混凝土造,105年6月1日,二十七層,
RPPPMLOJNHMFFAH18CA,26,120.82,住家用,鋼筋混凝土造,79年11月17日,十六層,七層
RPPPMLOJNHMFFAH18CA,26,22.72,共有部份,鋼筋混凝土造,79年11月17日,十六層,
RPVOMLLJNHMFFAH38CA,4,29.34,見其他登記事項,鋼筋混凝土造,102年9月25日,十五層,
RPWOMLLJNHMFFAH48CA,4,142.13,住家用,鋼筋混凝土造,102年9月25日,十五層,一層
RPWOMLLJNHMFFAH48CA,4,92.29,見其他登記事項,鋼筋混凝土造,102年9月25日,十五層,
RPVPMLLJNHMFFAH48CA,5,77.74,住家用,鋼筋混凝土造,100年11月28日,十三層,十層
RPVPMLLJNHMFFAH48CA,5,50.39,見其他登記事項,鋼筋混凝土造,100年11月28日,十三層,
RPVPMLLJNHMFFAH48CA,5,15.63,見其他登記事項,鋼筋混凝土造,100年11月28日,十三層,
RPPOMLMJNHMFFAH87CA,21,124.15,住家用,鋼筋混凝土造,85年7月6日,十二層,五層
RPPOMLMJNHMFFAH87CA,21,13.70,共有部份,鋼筋混凝土造,85年7月6日,十二層,
RPPOMLMJNHMFFAH87CA,21,57.75,共有部份,鋼筋混凝土造,85年7月6日,十二層,
RPTNMLNJNHMFFAH28CA,30,105.83,住家用,鋼筋混凝土造,75年10月30日,五層,五層
RPRPMLNJNHMFFAH28CA,13,113.63,住家用,鋼筋混凝土造,92年10月31日,十四層,五層
RPRPMLNJNHMFFAH28CA,13,48.30,共有部份,鋼筋混凝土造,92年10月31日,十四層,
RPRPMLNJNHMFFAH28CA,13,21.77,共有部份,鋼筋混凝土造,92年10月31日,十四層,
RPVNMLPJNHMFFAH68CA,2,73.68,見其他登記事項,鋼筋混凝土造,103年10月31日,十層,一層 夾層
RPVNMLPJNHMFFAH68CA,2,36.55,見其他登記事項,鋼筋混凝土造,103年10月31日,十層,
RPVNMLPJNHMFFAH68CA,2,33.85,見其他登記事項,鋼筋混凝土造,103年10月31日,十層,
RPWNMLPJNHMFFAH78CA,3,183.30,住家用,鋼筋混凝土造,103年3月27日,二十一層,八層
RPWNMLPJNHMFFAH78CA,3,45.85,見其他登記事項,鋼筋混凝土造,103年3月27日,二十一層,
RPWNMLPJNHMFFAH78CA,3,40.22,見其他登記事項,鋼筋混凝土造,103年3月27日,二十一層,
RPWNMLPJNHMFFAH78CA,3,58.14,見其他登記事項,鋼筋混凝土造,103年3月27日,二十一層,
