編號,車位類別,車位價格,車位面積平方公尺
RPSNMLKLOHMFFHH98DA,坡道平面,0,
RPSOMLRLOHMFFHH07CA,坡道平面,1500000,28.90
RPPNMLQKMHMFFHH98DA,坡道平面,1500000,
RPTOMLLJNHMFFAH18CA,坡道平面,0,
RPOOMLOKOHMFFGH78CA,升降機械,0,
RPTOMLRLOHMFFHH17CA,一樓平面,860000,25.06
RPPOMLLJNHMFFAH77CA,坡道平面,0,21.42
RPVOMLLJNHMFFAH38CA,坡道平面,1200000,29.34
RPWOMLLJNHMFFAH48CA,坡道平面,0,29.34
RPVPMLLJNHMFFAH48CA,坡道平面,0,35.61
RPPOMLMJNHMFFAH87CA,坡道平面,0,57.75
RPRPMLNJNHMFFAH28CA,坡道平面,0,
RPVNMLPJNHMFFAH68CA,坡道平面,1800000,33.85
RPWNMLPJNHMFFAH78CA,坡道平面,1650000,29.07
RPWNMLPJNHMFFAH78CA,坡道平面,1650000,29.07
RPXNMLPJNHMFFAH88CA,坡道平面,1650000,29.07
RPXNMLPJNHMFFAH88CA,坡道平面,1650000,29.07
RPPNMLPJNHMFFAH08CA,坡道平面,0,36.59
RPRNMLSJNHMFFAH58CA,坡道平面,0,32.44
RPURMLTJNHMFFAH76CA,坡道平面,0,
RPXNMLRKNHMFFAH56CA,坡道平面,0,
RPVNMLSKNHMFFAH09CA,坡道平面,1100000,29.82
RPXNMLSKNHMFFAH66CA,坡道平面,1100000,29.82
RPPNMLNLNHMFFAH08CA,坡道平面,0,
RPQRMLNLNHMFFAH58CA,坡道平面,0,31.24
RPSRMLMJNHMFFBH58CA,坡道平面,0,21.09
RPSRMLMJNHMFFBH58CA,坡道平面,0,21.09
RPXRMLMJNHMFFBH09CA,坡道平面,1000000,27.39
RPQNMLNJNHMFFBH08CA,坡道平面,0,
RPVNMLNJNHMFFBH58CA,一樓平面,0,
RPWRMLSJNHMFFBH96CA,坡道平面,0,21.05
RPWRMLSJNHMFFBH96CA,坡道平面,0,21.05
RPXRMLSJNHMFFBH07CA,坡道平面,1300000,21.05
RPPSMLSJNHMFFBH98CA,坡道平面,0,21.05
RPPSMLSJNHMFFBH98CA,坡道平面,0,21.05
RPRSMLSJNHMFFBH56CA,坡道平面,0,21.05
RPRSMLSJNHMFFBH56CA,坡道平面,0,21.05
RPSSMLSJNHMFFBH66CA,坡道平面,0,21.05
RPSSMLSJNHMFFBH66CA,坡道平面,0,21.05
RPRNMLTJNHMFFBH78CA,坡道平面,0,
RPPPMLKKNHMFFBH97CA,坡道平面,0,59.63
RPSOMLOLNHMFFBH68CA,坡道平面,0,13.35
RPWOMLPLNHMFFBH56CA,坡道平面,0,40.68
RPOPMLPLNHMFFBH48CA,坡道平面,0,40.68
RPQNMLOJNHMFFCH28CA,坡道平面,1000000,35.78
RPTNMLPJNHMFFCH68CA,坡道平面,0,
RPQNMLLKNHMFFCH08CA,坡道平面,1200000,27.99
