編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPUSMLLJNHMFFBH98DB,山嶺段,121.38,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUSMLLJNHMFFBH98DB,山嶺段,4.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUSMLLJNHMFFBH98DB,山嶺段,25.09,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOTMLLJNHMFFBH48DB,山嶺段,109.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOTMLLJNHMFFBH48DB,山嶺段,4.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOTMLLJNHMFFBH48DB,山嶺段,25.09,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRTMLLJNHMFFBH78DB,山嶺段,109.33,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRTMLLJNHMFFBH78DB,山嶺段,4.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRTMLLJNHMFFBH78DB,山嶺段,25.09,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRUMLLJNHMFFBH88DB,山嶺段,130.92,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRUMLLJNHMFFBH88DB,山嶺段,25.09,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRUMLLJNHMFFBH88DB,山嶺段,4.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQQMLLJNHMFFBH28CB,山嶺段,109.29,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQQMLLJNHMFFBH28CB,山嶺段,25.09,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQQMLLJNHMFFBH28CB,山嶺段,4.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTPMLSJNHMFFBH66DB,山嶺段,121.38,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTPMLSJNHMFFBH66DB,山嶺段,4.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
