編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUPMLRJKILFFBH98CC,20,79.14,住家用,鋼筋混凝土造,85年9月4日,十二層,
RPUPMLRJKILFFBH98CC,20,1.14,共有部份,鋼筋混凝土造,85年9月4日,十三層,
RPUPMLRJKILFFBH98CC,20,9.05,共有部份,鋼筋混凝土造,85年9月4日,十三層,
RPWPMLSJKILFFBH66CC,41,162.00,住家用,加強磚造,64年8月22日,二層,
RPROMLTJKILFFDH98CC,21,337.06,工業用,鋼造,84年11月28日,二層,
RPTNMLOKKILFFFH88CC,21,189.64,見其他登記事項,鋼筋混凝土造,84年10月6日,五層,
RPSPMLOKKILFFBH58CC,10,297.63,見其他登記事項,鋼筋混凝土造,95年11月1日,五層,
RPOQMLOKKILFFBH28CC,39,47.08,住家用,加強磚造,66年10月1日,二層,
RPUNMLQKKILFFDH09DC,2,222.40,見其他登記事項,鋼筋混凝土造,103年8月18日,四層,
RPQNMLTKKILFFFH09CC,22,249.04,見其他登記事項,鋼筋混凝土造,83年8月25日,五層,
RPPQMLNLKILFFBH38CC,39,81.50,住家用,加強磚造,66年10月1日,二層,
RPUNMLOLKILFFGH66DC,8,310.11,見其他登記事項,鋼筋混凝土造,97年10月28日,四層,
RPVNMLOLKILFFGH76DC,3,188.12,見其他登記事項,鋼筋混凝土造,103年4月23日,四層,
RPTOMLPJJHMFFBH48CC,39,492.30,商業用,鋼筋混凝土造,66年11月8日,四層,
RPRQMLKKJHMFFFH58DC,11,236.28,住商用,鋼筋混凝土造,94年8月2日,五層,
RPTOMLLKJHMFFGH68CC,5,221.53,住家用,鋼筋混凝土造,100年11月18日,四層,
RPTOMLLKJHMFFGH68CC,5,.12,共有部份,鋼筋混凝土造,100年11月18日,一層,
RPSQMLLKJHMFFBH28CC,39,74.34,住家用,加強磚造,66年12月15日,二層,
RPUOMLNKJHMFFEH88DC,28,24.80,見其他登記事項,鋼筋混凝土造,78年4月3日,三層,
RPUOMLNKJHMFFEH88DC,28,39.60,見其他登記事項,鋼筋混凝土造,78年4月3日,三層,
RPUOMLNKJHMFFEH88DC,28,36.00,見其他登記事項,鋼筋混凝土造,78年4月3日,三層,
RPUOMLNKJHMFFEH88DC,28,14.80,見其他登記事項,鋼筋混凝土造,78年4月3日,三層,
RPUOMLNKJHMFFEH88DC,28,15.00,見其他登記事項,鋼筋混凝土造,78年4月3日,三層,
RPRPMLRKJHMFFDH88CC,30,126.86,住家用,加強磚造,76年7月5日,二層,
RPROMLSKJHMFFFH56DC,36,93.48,住商用,鋼筋混凝土造,70年6月15日,二層,
RPSQMLSKJHMFFBH98CC,9,197.31,見其他登記事項,鋼筋混凝土造,97年1月21日,四層,
RPPOMLSKJHMFFEH78CC,4,236.47,見其他登記事項,見其他登記事項,101年8月20日,二層,
RPPOMLSKJHMFFEH78CC,4,236.47,見其他登記事項,見其他登記事項,101年8月20日,二層,
RPPOMLSKJHMFFEH78CC,4,77.04,共有部份,見其他登記事項,101年8月20日,二層,
RPWRMLTKJHMFFDH17CC,6,196.87,見其他登記事項,鋼筋混凝土造,100年4月15日,四層,
RPWRMLTKJHMFFDH17CC,6,5.13,見其他登記事項,鋼筋混凝土造,100年4月15日,四層,
RPUOMLKLJHMFFDH58DC,16,160.12,住家用,鋼筋混凝土造,90年5月7日,四層,
RPPPMLKLJHMFFBH87CC,3,170.80,見其他登記事項,鋼筋混凝土造,102年11月7日,四層,
RPUOMLNLJHMFFGH66EC,23,168.48,住家用,鋼筋混凝土造,82年10月26日,三層,
RPSNMLPLJHMFFEH78CC,28,152.35,見其他登記事項,鋼筋混凝土造,78年4月3日,四層,
RPVOMLOKKHMFFBH78CC,41,81.49,住家用,加強磚造,64年10月29日,一層,
RPQOMLPKKHMFFEH68CC,27,1055.00,見其他登記事項,鋼筋混凝土造,79年1月24日,一層,
RPWNMLQKKHMFFEH66CC,12,231.35,見其他登記事項,鋼筋混凝土造,93年12月7日,五層,
RPPOMLRKKHMFFBH48CC,40,77.60,工業用,加強磚造,65年8月7日,一層,
RPOOMLSKKHMFFAH38CC,45,111.94,住家用,加強磚造,60年11月10日,二層,
RPXNMLKLKHMFFGH09CC,29,134.72,住家用,加強磚造,76年11月28日,二層,
RPROMLLLKHMFFFH78EC,12,122.77,見使用執照,鋼筋混凝土造,93年9月19日,五層,
RPROMLLLKHMFFFH78EC,12,31.03,共有部份,鋼筋混凝土造,93年9月19日,五層,
RPSOMLMLKHMFFEH68CC,15,1550.79,見其他登記事項,見其他登記事項,91年2月5日,二層,
RPSOMLMLKHMFFEH68CC,10,1602.68,見其他登記事項,見其他登記事項,96年3月28日,一層,
RPQOMLMLKHMFFBH18CC,45,129.98,住家用,加強磚造,61年6月16日,二層,
RPUPMLMLKHMFFBH68CC,39,74.34,住家用,加強磚造,66年12月15日,二層,
RPOOMLOLKHMFFEH48CC,27,176.52,工業用,鋼造,79年1月5日,一層,
RPSRMLOLKHMFFBH09EC,8,257.50,見其他登記事項,鋼筋混凝土造,97年4月24日,四層,
RPPNMLMJLHMFFEH28DC,10,185.76,見其他登記事項,鋼筋混凝土造,95年4月18日,四層,
RPSNMLMJLHMFFEH58DC,11,185.76,見其他登記事項,鋼筋混凝土造,95年4月18日,四層,
RPOPMLMJLHMFFAH87CC,31,110.50,住家用,鋼筋混凝土造,75年7月12日,五層,
RPRNMLQJLHMFFBH48CC,20,193.64,見其他登記事項,鋼筋混凝土造,86年6月26日,五層,
RPSPMLRJLHMFFBH88CC,22,207.83,見其他登記事項,鋼筋混凝土造,84年4月20日,四層,
RPVNMLSJLHMFFFH86CC,19,193.47,住家用,鋼筋混凝土造,87年6月10日,四層,
RPVNMLSJLHMFFFH86CC,19,1.74,共有部份,鋼筋混凝土造,87年6月10日,十層,
RPVNMLSJLHMFFFH86CC,19,33.24,共有部份,鋼筋混凝土造,87年6月10日,十層,
RPVNMLSJLHMFFFH86CC,19,8.22,共有部份,鋼筋混凝土造,87年6月10日,十層,
RPSNMLTJLHMFFCH98CC,1,1088.66,見其他登記事項,鋼筋混凝土造,105年3月3日,四層,
RPQNMLPKLHMFFDH68DC,13,212.22,見其他登記事項,鋼筋混凝土造,92年11月5日,四層,
RPQNMLPKLHMFFEH68CC,9,172.43,見其他登記事項,鋼筋混凝土造,97年6月6日,三層,
RPQPMLQKLHMFFBH68CC,35,80.80,住家用,加強磚造,70年12月16日,二層,
RPTNMLKLLHMFFEH58CC,10,245.25,見其他登記事項,鋼筋混凝土造,96年4月13日,三層,
RPTNMLKLLHMFFEH58CC,10,19.33,共有部份,鋼筋混凝土造,96年4月13日,三層,
RPOPMLMLLHMFFFH68DC,20,203.86,住家用,鋼筋混凝土造,85年12月5日,五層,
RPTNMLOLLHMFFCH78CC,20,219.63,住家用,鋼筋混凝土造,86年1月30日,四層,
RPTNMLOLLHMFFCH78CC,20,.05,見其他登記事項,鋼筋混凝土造,86年6月26日,十五層,
RPTNMLOLLHMFFCH78CC,20,6.53,見其他登記事項,鋼筋混凝土造,86年1月30日,十四層,
RPTNMLOLLHMFFCH78CC,20,18.33,共有部份,鋼筋混凝土造,86年1月30日,四層,
RPTNMLOLLHMFFCH78CC,20,.10,共有部份,鋼筋混凝土造,86年1月30日,一層,
RPTNMLOLLHMFFCH78CC,20,.61,共有部份,鋼筋混凝土造,86年1月30日,十八層,
RPUNMLOLLHMFFCH88CC,20,374.29,商業用,鋼筋混凝土造,86年6月26日,三層,
RPUNMLOLLHMFFCH88CC,20,34.41,共有部份,鋼筋混凝土造,86年6月26日,四層,
RPUNMLOLLHMFFCH88CC,20,1.34,見其他登記事項,鋼筋混凝土造,86年6月26日,十八層,
RPUNMLOLLHMFFCH88CC,20,.20,共有部份,鋼筋混凝土造,86年6月26日,一層,
RPUNMLOLLHMFFCH88CC,20,.05,共有部份,鋼筋混凝土造,86年1月30日,十八層,
RPUNMLOLLHMFFCH88CC,20,.00,共有部份,鋼筋混凝土造,86年1月30日,一層,
RPUNMLOLLHMFFCH88CC,20,.05,見其他登記事項,鋼筋混凝土造,86年1月30日,十四層,
RPUNMLOLLHMFFCH88CC,20,12.73,見其他登記事項,鋼筋混凝土造,86年6月26日,十五層,
RPRNMLOLLHMFFFH09EC,43,226.19,住商用,加強磚造,62年11月30日,二層,
RPVNMLRLLHMFFFH96CC,28,1163.61,見其他登記事項,鋼筋混凝土造,78年4月27日,二層,
RPUNMLRLLHMFFEH76CC,29,302.48,見其他登記事項,加強磚造,77年3月30日,二層,
RPROMLTLLHMFFBH09CC,17,199.83,見其他登記事項,鋼筋混凝土造,88年11月30日,五層,
RPQOMLTLLHMFFEH76DC,24,182.58,住家用,鋼筋混凝土造,82年7月3日,四層,
RPVNMLTLLHMFFGH37DC,37,86.82,住家用,加強磚造,69年6月9日,二層,
RPSNMLKMLHMFFGH88DC,39,92.00,住家用,加強磚造,67年4月20日,二層,
RPPRMLKMLHMFFBH38CC,36,146.62,住商用,加強磚造,70年1月12日,二層,
RPROMLRJMHMFFAH68CC,27,244.66,見其他登記事項,鋼筋混凝土造,79年4月21日,五層,
RPPNMLLKMHMFFCH28EC,1,202.20,見其他登記事項,鋼筋混凝土造,104年6月23日,四層,
RPQNMLMKMHMFFCH28CC,37,92.58,住家用,鋼筋混凝土造,69年1月20日,二層,
RPTNMLMKMHMFFAH48DC,48,302.10,住商用,鋼筋混凝土造,58年6月17日,四層,
RPTNMLMKMHMFFAH48DC,48,302.10,住商用,鋼筋混凝土造,58年6月17日,四層,
RPQOMLSKMHMFFFH66CC,39,93.15,住家用,加強磚造,67年4月18日,二層,
RPXNMLSKMHMFFBH86CC,3,256.22,見其他登記事項,鋼筋混凝土造,102年10月14日,四層,
RPVPMLTKMHMFFBH96CC,43,115.43,見其他登記事項,加強磚造,63年8月6日,一層,
RPROMLTKMHMFFAH98CC,31,158.98,住商用,鋼筋混凝土造,75年5月17日,二層,
RPWNMLTKMHMFFGH37CC,4,182.54,見其他登記事項,鋼筋混凝土造,102年6月24日,四層,
RPWNMLTKMHMFFGH37CC,4,6.91,見其他登記事項,鋼筋混凝土造,102年6月24日,四層,
RPWNMLTKMHMFFGH37CC,4,13.54,見其他登記事項,鋼筋混凝土造,102年6月24日,十層,
RPWNMLTKMHMFFGH37CC,4,1.64,見其他登記事項,鋼筋混凝土造,102年6月24日,十層,
RPVOMLOLMHMFFFH86CC,43,44.29,住家用,磚造,63年6月30日,一層,
RPWRMLOLMHMFFBH86CC,43,111.00,住家用,加強磚造,63年4月20日,二層,
RPWRMLOLMHMFFBH86CC,43,86.10,住家用,加強磚造,63年4月20日,二層,
RPTOMLPLMHMFFEH66CC,13,3776.78,見其他登記事項,見其他登記事項,93年9月1日,二層,
RPUNMLPLMHMFFHH96CC,47,130.66,住家用,加強磚造,58年11月30日,二層,
RPUNMLPLMHMFFHH96CC,45,57.82,住家用,加強磚造,61年1月15日,三層,
RPPOMLQLMHMFFAH58CC,12,250.38,見其他登記事項,鋼筋混凝土造,94年4月6日,五層,
RPWNMLQLMHMFFFH27EC,9,306.50,見其他登記事項,鋼筋混凝土造,96年12月15日,二層,
RPVNMLRLMHMFFEH96CC,10,377.54,見其他登記事項,鋼筋混凝土造,95年11月20日,五層,
RPQNMLRLMHMFFFH66DC,21,494.79,工業用,鋼筋混凝土造,85年5月27日,三層,
RPQNMLSLMHMFFGH76CC,26,307.72,住家用,鋼筋混凝土造,80年1月10日,四層,
RPTNMLSLMHMFFEH86CC,9,289.54,見其他登記事項,鋼筋混凝土造,97年1月29日,五層,
RPTNMLSLMHMFFEH86CC,9,32.68,共有部份,鋼筋混凝土造,97年1月29日,五層,
RPTNMLSLMHMFFEH86CC,9,7.73,共有部份,鋼筋混凝土造,97年1月29日,五層,
RPPOMLSLMHMFFEH56CC,43,3953.00,工業用,見其他登記事項,63年2月20日,一層,
RPTOMLSLMHMFFAH56CC,30,131.00,住家用,鋼筋混凝土造,76年3月12日,二層,
RPVNMLSLMHMFFBH76CC,6,193.72,見其他登記事項,鋼筋混凝土造,100年4月29日,四層,
RPXOMLLJNHMFFAH78CC,21,30.40,住家用,鋼筋混凝土造,85年1月18日,十七層,
RPXOMLLJNHMFFAH78CC,21,12.56,共有部份,鋼筋混凝土造,85年1月18日,十七層,
RPOPMLLJNHMFFAH97CC,28,170.43,見其他登記事項,鋼筋混凝土造,78年2月28日,三層,
RPPPMLLJNHMFFAH08CC,21,71.08,住家用,鋼筋混凝土造,85年4月12日,二十一層,
RPPPMLLJNHMFFAH08CC,21,44.30,共有部份,鋼筋混凝土造,85年4月12日,十三層,
RPPPMLLJNHMFFAH08CC,21,10.30,共有部份,鋼筋混凝土造,85年4月12日,二十一層,
RPUOMLMJNHMFFAH58CC,22,113.33,住家用,鋼筋混凝土造,84年5月6日,七層,
RPUOMLMJNHMFFAH58CC,22,21.39,共有部份,鋼筋混凝土造,84年5月6日,七層,
RPUOMLMJNHMFFAH58CC,22,7.89,共有部份,鋼筋混凝土造,84年5月6日,七層,
RPVPMLMJNHMFFAH78CC,22,111.91,住家用,鋼筋混凝土造,84年8月31日,十二層,
RPVPMLMJNHMFFAH78CC,22,4.33,共有部份,鋼筋混凝土造,84年8月31日,十二層,
RPVPMLMJNHMFFAH78CC,22,.16,共有部份,鋼筋混凝土造,84年8月31日,十二層,
RPTNMLMJNHMFFBH48CC,8,64.05,住商用,鋼筋混凝土造,98年4月15日,十四層,
RPXOMLMJNHMFFBH98CC,39,85.32,住家用,加強磚造,67年8月18日,二層,
RPSPMLMJNHMFFBH58CC,19,70.02,住家用,鋼筋混凝土造,87年8月4日,十五層,
RPUPMLMJNHMFFBH78CC,27,110.90,住家用,鋼筋混凝土造,79年10月17日,八層,
RPUPMLMJNHMFFBH78CC,27,19.91,住家用,鋼筋混凝土造,79年10月17日,八層,
RPPQMLMJNHMFFBH38CC,20,33.66,住家用,鋼筋混凝土造,86年10月13日,十八層,
RPPQMLMJNHMFFBH38CC,20,11.34,共有部分,鋼筋混凝土造,86年10月13日,十八層,
RPPQMLMJNHMFFBH38CC,20,6.00,共有部分,鋼筋混凝土造,86年10月13日,十八層,
RPQQMLMJNHMFFBH48CC,16,35.16,住家用,鋼筋混凝土造,90年8月30日,二十二層,
RPQQMLMJNHMFFBH48CC,16,1.21,共有部分,鋼筋混凝土造,90年8月30日,二十二層,
RPQQMLMJNHMFFBH48CC,16,8.45,共有部分,鋼筋混凝土造,90年8月30日,二十二層,
RPQQMLMJNHMFFBH48CC,16,.95,共有部分,鋼筋混凝土造,90年8月30日,二十二層,
RPTNMLMJNHMFFGH98CC,12,234.14,見其他登記事項,鋼筋混凝土造,94年4月7日,四層,
RPTNMLMJNHMFFGH98CC,12,23.91,共有部份,鋼筋混凝土造,94年4月7日,四層,
RPPOMLMJNHMFFGH68CC,2,130.63,住家用,鋼筋混凝土造,104年9月30日,二十層,
RPPOMLMJNHMFFGH68CC,2,20.58,共有部份,鋼筋混凝土造,104年9月30日,二十層,
RPPOMLMJNHMFFGH68CC,2,38.94,共有部份,鋼筋混凝土造,104年9月30日,二十層,
RPPOMLMJNHMFFGH68CC,2,41.90,共有部份,鋼筋混凝土造,104年9月30日,二十層,
RPOOMLMJNHMFFEH48DC,3,59.28,住家用,鋼筋混凝土造,103年3月7日,十層,
RPRNMLMJNHMFFFH88EC,21,73.96,住家用,鋼筋混凝土造,84年12月1日,十五層,
RPRNMLMJNHMFFFH88EC,21,24.82,共有部分,鋼筋混凝土造,84年12月1日,十五層,
RPSNMLNJNHMFFBH58DC,26,272.76,商業用,鋼筋混凝土造,80年7月29日,十四層,
RPRNMLNJNHMFFGH98DC,37,63.05,住家用,加強磚造,69年1月14日,二層,
RPTNMLNJNHMFFGH56DC,2,59.57,住家用,鋼筋混凝土造,104年10月6日,十五層,
RPUNMLNJNHMFFGH66DC,2,81.35,住家用,鋼筋混凝土造,104年4月16日,十四層,
RPQPMLNJNHMFFAH48DC,2,117.89,住家用,鋼筋混凝土造,103年12月11日,十層,
RPPQMLNJNHMFFAH48DC,9,68.59,商業用,鋼筋混凝土造,96年12月23日,九層,
RPPQMLNJNHMFFAH48DC,9,58.50,見其他登記事項,鋼筋混凝土造,96年12月23日,九層,
RPPQMLNJNHMFFAH48DC,9,82.00,商業用,鋼筋混凝土造,96年12月23日,九層,
RPPQMLNJNHMFFAH48DC,9,66.55,見其他登記事項,鋼筋混凝土造,96年12月23日,九層,
RPQQMLNJNHMFFAH58DC,16,59.57,住家用,鋼筋混凝土造,90年6月20日,九層,
RPQQMLNJNHMFFAH58DC,16,2.12,共有部份,鋼筋混凝土造,90年6月20日,九層,
RPQQMLNJNHMFFAH58DC,16,11.64,共有部份,鋼筋混凝土造,90年6月20日,九層,
RPQQMLNJNHMFFAH58DC,16,.27,住家用,鋼筋混凝土造,90年6月20日,九層,
RPQQMLNJNHMFFAH58DC,16,36.75,共有部份,鋼筋混凝土造,90年6月20日,九層,
RPQQMLNJNHMFFAH58DC,16,.40,住家用,鋼筋混凝土造,90年6月20日,九層,
RPQQMLNJNHMFFAH58DC,16,6.60,共有部份,鋼筋混凝土造,90年6月20日,九層,
RPQQMLNJNHMFFAH58DC,16,2.37,共有部份,鋼筋混凝土造,90年6月20日,九層,
RPQNMLOJNHMFFEH68CC,5,236.47,見其他登記事項,見其他登記事項,101年8月20日,二層,
RPSPMLOJNHMFFEH09CC,5,133.48,見其他登記事項,鋼筋混凝土造,101年9月18日,十四層,
RPSPMLOJNHMFFEH09CC,5,31.03,共有部份,鋼筋混凝土造,101年9月18日,十四層,
RPSPMLOJNHMFFEH09CC,5,20.46,共有部份,鋼筋混凝土造,101年9月18日,十四層,
RPRNMLOJNHMFFAH38CC,24,70.12,住家用,鋼筋混凝土造,82年5月13日,七層,
RPRNMLOJNHMFFAH38CC,24,24.56,共有部份,鋼筋混凝土造,82年5月13日,七層,
RPOPMLOJNHMFFAH38DC,11,464.61,見其他登記事項,見其他登記事項,94年11月1日,二層,
RPTNMLPJNHMFFHH76CC,2,101.31,住家用,鋼筋混凝土造,104年6月18日,九層,
RPTNMLPJNHMFFHH76CC,2,55.74,見其他登記事項,鋼筋混凝土造,104年6月18日,九層,
RPTNMLPJNHMFFHH76CC,2,15.29,見其他登記事項,鋼筋混凝土造,104年6月18日,九層,
RPWNMLPJNHMFFFH96DC,2,130.23,住家用,鋼筋混凝土造,104年6月17日,二十四層,
RPQNMLQJNHMFFGH09CC,20,75.69,住家用,鋼筋混凝土造,85年11月25日,七層,
RPQNMLQJNHMFFGH09CC,20,16.93,共有部份,鋼筋混凝土造,85年11月25日,七層,
RPQNMLQJNHMFFGH09CC,20,7.87,共有部份,鋼筋混凝土造,85年11月25日,七層,
RPOPMLSJNHMFFAH78DC,42,53.25,住家用,加強磚造,63年12月14日,二層,
RPTOMLSJNHMFFFH07DC,1,235.72,見其他登記事項,鋼筋混凝土造,105年6月22日,十三層,
RPVSMLSJNHMFFBH27DC,5,153.78,見其他登記事項,鋼筋混凝土造,101年4月9日,十四層,
RPVSMLSJNHMFFBH27DC,5,33.82,見其他登記事項,鋼筋混凝土造,101年4月9日,十四層,
RPVSMLSJNHMFFBH27DC,5,16.63,見其他登記事項,鋼筋混凝土造,101年4月9日,十四層,
RPVSMLSJNHMFFBH27DC,5,91.05,見其他登記事項,鋼筋混凝土造,101年4月9日,十四層,
RPUNMLSJNHMFFAH09CC,24,66.53,住家用,鋼筋混凝土造,82年5月13日,七層,
RPUNMLSJNHMFFAH09CC,24,23.32,共有部份,鋼筋混凝土造,82年5月13日,七層,
RPRNMLSJNHMFFEH56CC,22,439.58,住家用,鋼筋混凝土造,84年2月11日,八層,
RPRNMLSJNHMFFEH56CC,22,23.78,共有部份,鋼筋混凝土造,84年2月11日,八層,
RPRNMLSJNHMFFEH56CC,22,51.13,共有部份,鋼筋混凝土造,84年2月11日,四層,
RPSNMLSJNHMFFEH66CC,2,110.03,見其他登記事項,鋼筋混凝土造,103年12月5日,三層,
RPSNMLSJNHMFFEH66CC,2,57.53,見其他登記事項,鋼筋混凝土造,103年12月5日,三層,
RPUNMLSJNHMFFEH86CC,13,152.54,見其他登記事項,鋼筋混凝土造,93年3月25日,十四層,
RPUNMLSJNHMFFEH86CC,13,21.92,共有部份,鋼筋混凝土造,93年3月25日,十四層,
RPUNMLSJNHMFFEH86CC,13,33.80,共有部份,鋼筋混凝土造,93年3月25日,十四層,
RPSPMLSJNHMFFBH56CC,4,88.04,見其他登記事項,鋼筋混凝土造,102年5月25日,十五層,
RPSPMLSJNHMFFBH56CC,4,70.82,見其他登記事項,鋼筋混凝土造,102年5月25日,十五層,
RPXPMLTJNHMFFBH17CC,5,1976.85,見其他登記事項,見其他登記事項,100年12月29日,二層,
RPPPMLTJNHMFFEH66CC,10,112.69,見其他登記事項,鋼筋混凝土造,96年7月19日,十四層,
RPPPMLTJNHMFFEH66CC,10,38.01,見其他登記事項,鋼筋混凝土造,96年7月19日,十四層,
RPPPMLTJNHMFFEH66CC,10,17.46,見其他登記事項,鋼筋混凝土造,96年7月19日,十四層,
RPPPMLTJNHMFFEH66CC,10,26.98,共有部份,鋼筋混凝土造,96年7月19日,十四層,
RPPPMLTJNHMFFEH66CC,10,5.45,共有部份,鋼筋混凝土造,96年7月19日,十四層,
RPOOMLTJNHMFFAH68CC,9,265.87,見其他登記事項,鋼筋混凝土造,97年3月5日,四層,
RPQPMLTJNHMFFAH98CC,15,18.61,共有部份,鋼筋混凝土造,90年11月5日,五層,
RPSQMLTJNHMFFAH66CC,25,158.20,見其他登記事項,見其他登記事項,81年3月23日,二十二層,
RPXPMLTJNHMFFFH67DC,1,95.97,見其他登記事項,鋼筋混凝土造,105年4月12日,二十三層,
RPXPMLTJNHMFFFH67DC,1,10.28,見其他登記事項,鋼筋混凝土造,105年4月12日,二十三層,
RPXPMLTJNHMFFFH67DC,1,7.98,見其他登記事項,鋼筋混凝土造,105年4月12日,二十三層,
RPXPMLTJNHMFFFH67DC,1,48.90,見其他登記事項,鋼筋混凝土造,105年4月12日,二十三層,
RPXPMLTJNHMFFFH67DC,1,.06,見其他登記事項,鋼筋混凝土造,105年4月12日,二十三層,
RPXPMLTJNHMFFFH67DC,1,39.97,見其他登記事項,鋼筋混凝土造,105年4月12日,二十三層,
RPQOMLTJNHMFFAH98DC,5,162.89,住家用,鋼筋混凝土造,101年10月19日,十二層,
RPTNMLTJNHMFFHH17CC,2,101.31,住家用,鋼筋混凝土造,104年6月18日,九層,
RPTNMLTJNHMFFHH17CC,2,55.74,見其他登記事項,鋼筋混凝土造,104年6月18日,九層,
RPTNMLTJNHMFFHH17CC,2,15.29,見其他登記事項,鋼筋混凝土造,104年6月18日,九層,
RPTOMLTJNHMFFDH86CC,3,60.90,住家用,鋼筋混凝土造,102年11月15日,十二層,
RPTOMLTJNHMFFDH86CC,3,66.61,共同使用部份,鋼筋混凝土造,102年11月15日,十二層,
RPXOMLTJNHMFFFH67EC,21,124.01,商業用,鋼筋混凝土造,84年11月14日,七層,
RPUNMLKKNHMFFFH09EC,10,474.81,工業用,見其他登記事項,95年8月11日,一層,
RPQOMLKKNHMFFGH88EC,12,64.99,見其他登記事項,鋼筋混凝土造,94年1月30日,十二層,
RPQOMLKKNHMFFGH88EC,12,38.90,共有部份,鋼筋混凝土造,94年1月30日,十二層,
RPQOMLKKNHMFFGH88EC,12,26.12,共有部份,鋼筋混凝土造,94年1月30日,十二層,
RPQOMLKKNHMFFGH88EC,12,75.89,見其他登記事項,鋼筋混凝土造,94年1月30日,十二層,
RPQOMLKKNHMFFGH88EC,12,32.24,共有部份,鋼筋混凝土造,94年1月30日,十二層,
RPQOMLKKNHMFFGH88EC,12,.26,共有部份,鋼筋混凝土造,94年1月30日,十二層,
RPPNMLKKNHMFFCH18DC,37,183.33,住家用,加強磚造,69年10月23日,二層,
RPTNMLKKNHMFFDH58CC,2,63.46,住家用,鋼筋混凝土造,104年5月25日,十五層,
RPTNMLKKNHMFFDH58CC,2,63.92,見其他登記事項,鋼筋混凝土造,104年5月25日,十五層,
RPSNMLKKNHMFFFH68CC,2,67.20,住家用,鋼筋混凝土造,104年6月17日,二十四層,
RPSNMLKKNHMFFFH68CC,2,31.12,見其他登記事項,鋼筋混凝土造,104年6月17日,二十四層,
RPSNMLKKNHMFFFH68CC,2,37.11,見其他登記事項,鋼筋混凝土造,104年6月17日,二十四層,
RPSOMLKKNHMFFFH88DC,33,96.11,住家用,鋼筋混凝土造,73年1月10日,四層,
RPUOMLKKNHMFFFH09DC,4,223.61,見其他登記事項,鋼筋混凝土造,102年5月3日,十七層,
RPTOMLKKNHMFFAH58EC,29,52.15,住家用,鋼筋混凝土造,77年3月12日,四層,
RPVNMLKKNHMFFEH09EC,13,74.96,住家用,鋼筋混凝土造,93年3月18日,九層,
RPVNMLKKNHMFFEH09EC,13,9.29,共有部份,鋼筋混凝土造,93年3月18日,九層,
RPVNMLKKNHMFFEH09EC,13,4.37,共有部份,鋼筋混凝土造,93年3月18日,九層,
