編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOOMLKMKILFFAI67CA,24,198.21,住家用,鋼筋混凝土造,81年12月10日,十六層,一層 二層 三層 騎樓
RPOOMLKMKILFFAI67CA,24,11.52,共有部份,鋼筋混凝土造,81年12月10日,十六層,
RPOOMLKMKILFFAI67CA,24,9.27,共有部份,鋼筋混凝土造,81年12月10日,十六層,
RPPNMLRLKILFFAI48EA,21,101.94,住家用,鋼筋混凝土造,84年8月3日,十二層,七層 走廊
RPPNMLRLKILFFAI48EA,21,28.18,共有部份,鋼筋混凝土造,84年8月3日,十二層,
RPOOMLLKJHMFFAI47CA,48,53.53,住家用,見使用執照,57年8月16日,二層,一層 二層
RPVNMLTLKILFFAI09CA,23,95.54,住家用,鋼筋混凝土造,82年7月6日,七層,四層
RPVNMLTLKILFFAI09CA,23,39.81,共有部份,鋼筋混凝土造,82年7月6日,七層,
RPQOMLTLKILFFAI68CA,12,192.21,見其他登記事項,鋼筋混凝土造,93年10月21日,3,一層 二層 三層 見其他登記事項
RPXNMLOKJHMFFAI58CA,21,84.43,住家用,鋼筋混凝土造,84年8月30日,五層,四層
RPXNMLOKJHMFFAI58CA,21,17.11,共有部份,鋼筋混凝土造,84年8月30日,五層,
RPXNMLOKJHMFFAI58CA,21,30.67,共有部份,鋼筋混凝土造,84年8月30日,五層,
RPOOMLTLKILFFAI68EA,36,55.90,住家用,鋼筋混凝土加強磚造,70年4月7日,二層,一層 二層
RPOOMLQJJHMFFAI87CA,13,278.12,見其他登記事項,鋼筋混凝土造,92年10月31日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLRKJHMFFAI08CA,17,28.48,住家用,鋼筋混凝土造,88年5月10日,五層,五層
RPPNMLRKJHMFFAI08CA,17,3.20,住家用,鋼筋混凝土造,88年5月10日,五層,五層
SPPNMLRKJHMFFAI18CA,23,47.10,住家用,鋼筋混凝土造,83年1月21日,十二層,八層
RPQOMLKLJHMFFAI67CA,47,103.15,住商用,鋼筋混凝土加強磚造,58年12月31日,二層,一層 二層 三層
RPWNMLQJJHMFFAI58CA,19,230.77,農舍,見其他登記事項,87年2月13日,二層,一層 二層
RPRNMLKKJHMFFAI57CA,26,100.58,住商用,鋼筋混凝土造,80年3月9日,七層,一層 二層 地下層
RPRNMLKKJHMFFAI57CA,26,11.68,共有部份,鋼筋混凝土造,80年3月9日,七層,
RPWOMLPLJHMFFAI98EA,47,100.32,住家用,鋼筋混凝土加強磚造,59年2月2日,二層,一層 二層
RPWOMLPLJHMFFAI98EA,19,123.28,住家用,見其他登記事項,87年3月17日,三層,一層 二層 三層 騎樓
RPQOMLMKJHMFFAI77CA,11,242.19,見其他登記事項,鋼筋混凝土造,94年11月25日,四層,一層 二層 三層 四層
RPTNMLNKKHMFFAI18CA,12,128.11,住家用,鋼筋混凝土造,93年10月28日,十四層,七層
RPTNMLNKKHMFFAI18CA,12,80.73,共有部份,鋼筋混凝土造,93年10月28日,十四層,
RPQNMLSJKHMFFAI28CA,37,104.93,住商用,鋼筋混凝土加強磚造,68年11月28日,二層,一層 二層
RPSNMLQJKHMFFAI48EA,38,247.38,住商用,鋼筋混凝土造,67年7月14日,五層,一層 二層 三層 四層 五層 騎樓 地下層
RPVNMLSJKHMFFAI88DA,42,90.31,住家用,鋼筋混凝土加強磚造,63年8月10日,二層,一層 二層
RPSNMLQKKHMFFAI38CA,33,221.46,住商用,鋼筋混凝土造,73年5月1日,三層,一層 二層 三層 騎樓 地下層
RPTNMLMLKHMFFAI18CA,44,132.52,住家用,鋼筋混凝土加強磚造,61年9月26日,二層,一層 二層 騎樓
RPRNMLLJLHMFFAI87DA,22,150.84,住家用,鋼筋混凝土造,83年12月23日,九層,一層 二層 三層 四層
RPRNMLLJLHMFFAI87DA,22,27.42,共有部份,鋼筋混凝土造,83年12月23日,九層,
RPRNMLLJLHMFFAI87DA,22,6.15,共有部份,鋼筋混凝土造,83年12月23日,九層,
RPVNMLNKKHMFFAI58EA,47,113.63,住家用,鋼筋混凝土加強磚造,58年12月10日,一層,一層 二層 騎樓
RPVNMLRJLHMFFAI78CA,1,178.07,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPWNMLRJLHMFFAI88CA,1,178.07,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPTNMLRJLHMFFAI58CA,1,357.63,住家用,見其他登記事項,105年4月1日,四層,一層 二層 三層 四層
RPUNMLRJLHMFFAI68CA,36,13.88,住家用,鋼筋混凝土造,70年4月21日,九層,四層
RPUNMLRJLHMFFAI68CA,36,5.16,共有部份,鋼筋混凝土造,70年4月21日,九層,
RPUNMLRJLHMFFAI68CA,36,13.21,住家用,鋼筋混凝土造,70年4月21日,九層,四層
RPUNMLRJLHMFFAI68CA,36,5.16,共有部份,鋼筋混凝土造,70年4月21日,九層,
