編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPWNMLTLKILFFAI76EA,湖子內段湖美小段,74.07,都市：住
RPVNMLNJJHMFFAI18CA,東川段,65.00,都市：住
RPVNMLNJJHMFFAI18CA,東川段,285.00,都市：住
RPOOMLKMKILFFAI67CA,興村段,3.13,都市：商
RPOOMLKMKILFFAI67CA,興村段,18.88,都市：商
RPTNMLPJJHMFFAI18CA,北園段,3.00,都市：住
RPTNMLPJJHMFFAI18CA,北園段,12.00,都市：住
RPSNMLTLKILFFAI98EA,湖東段,3.00,都市：住
RPSNMLTLKILFFAI98EA,湖東段,11.00,都市：住
RPTNMLTLKILFFAI09EA,元段二小段,34.00,都市：商
RPXNMLTLKILFFAI86EA,大溪段,111.28,都市：住
RPXNMLTLKILFFAI86EA,大溪段,195.00,都市：住
RPQNMLPJJHMFFAI87CA,榮段五小段,7.00,都市：商
RPQNMLPJJHMFFAI87CA,榮段五小段,1.00,都市：商
RPQNMLPJJHMFFAI87CA,榮段五小段,1.00,都市：商
RPQNMLPJJHMFFAI87CA,榮段五小段,7.00,都市：商
RPOOMLLKJHMFFAI47CA,車店段,39.00,都市：住
RPVNMLTLKILFFAI09CA,堀川段,24.05,都市：住
RPPOMLTLKILFFAI58CA,湖子內段湖美小段,92.05,都市：住
RPQOMLTLKILFFAI68CA,車店段車店小段,91.00,都市：住
RPROMLTLKILFFAI78CA,榮段四小段,2.08,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,2.08,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,4.17,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,.33,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,.33,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,.67,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,2.92,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,2.92,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,5.83,都市：商
RPXNMLOKJHMFFAI58CA,下路頭段,30.66,都市：住
RPOOMLTLKILFFAI68EA,下路頭段,42.00,都市：住
RPOOMLQJJHMFFAI87CA,下路頭段,90.00,都市：住
RPOOMLQJJHMFFAI87CA,下路頭段,17.38,都市：住
RPOOMLQJJHMFFAI87CA,下路頭段,.31,都市：住
RPOOMLQJJHMFFAI87CA,下路頭段,.44,都市：住
RPOOMLQJJHMFFAI87CA,下路頭段,26.00,都市：住
RPPNMLRKJHMFFAI08CA,竹圍子段,10.00,都市：住
SPPNMLRKJHMFFAI18CA,竹圍子段二小段,5.83,都市：住
RPQOMLKLJHMFFAI67CA,北門段四小段,29.00,都市：商
RPQOMLKLJHMFFAI67CA,北門段四小段,2.00,都市：商
RPQNMLMKJHMFFAI67CA,北園段,90.00,都市：住
RPWNMLQJJHMFFAI58CA,中庄段,7616.00,都市：農
RPQOMLOJJHMFFAI87CA,北湖段,1759.00,都市：農
RPRNMLKKJHMFFAI57CA,台斗坑段,22.66,都市：住
RPWOMLPLJHMFFAI98EA,西門段六小段,5.00,都市：商
RPWOMLPLJHMFFAI98EA,西門段六小段,16.00,都市：商
RPWOMLPLJHMFFAI98EA,西門段六小段,109.00,都市：商
RPQOMLMKJHMFFAI77CA,玉川段,99.00,都市：住
RPTNMLNKKHMFFAI18CA,白川段,35.86,都市：住
RPQNMLSJKHMFFAI28CA,劉厝段,78.00,都市：住
RPSNMLQJKHMFFAI48EA,榮段二小段,43.00,都市：商
RPSNMLQJKHMFFAI48EA,榮段二小段,2.00,都市：商
RPVNMLSJKHMFFAI88DA,下路頭段,66.00,都市：住
RPVNMLOKKHMFFAI48CA,西門段二小段,91.00,都市：住
RPTNMLMLKHMFFAI18CA,車店段車店小段,92.00,都市：住
RPPOMLQJLHMFFAI18CA,北湖段,96.67,都市：住
RPPOMLQJLHMFFAI18CA,北湖段,9.19,都市：住
RPRNMLLJLHMFFAI87DA,軍輝段,47.97,都市：住
RPVNMLNKKHMFFAI58EA,堀川段,86.00,都市：住
RPVNMLNKKHMFFAI58EA,下路頭段,33.00,都市：住
RPVNMLRJLHMFFAI78CA,劉厝段,88.00,都市：農
RPVNMLRJLHMFFAI78CA,劉厝段,.68,都市：農
RPVNMLRJLHMFFAI78CA,劉厝段,19.52,都市：農
RPWNMLRJLHMFFAI88CA,劉厝段,88.00,都市：農
RPWNMLRJLHMFFAI88CA,劉厝段,.68,都市：農
RPWNMLRJLHMFFAI88CA,劉厝段,19.52,都市：農
RPRNMLNJLHMFFAI18EA,北園段,764.50,都市：農
RPTNMLRJLHMFFAI58CA,劉厝段玉山小段,193.57,都市：住
RPUNMLRJLHMFFAI68CA,元段二小段,2.01,都市：商
RPUNMLRJLHMFFAI68CA,元段二小段,.55,都市：商
RPUNMLRJLHMFFAI68CA,元段二小段,1.03,都市：商
RPUNMLRJLHMFFAI68CA,元段二小段,1.86,都市：商
RPSOMLNKLHMFFAI28CA,北園段,983.00,都市：農
RPXNMLPKLHMFFAI98DA,車店段車店小段,29.20,都市：住
RPVNMLMLLHMFFAI48CA,玉川段,22.48,都市：住
RPVNMLMLLHMFFAI48CA,玉川段,3.52,都市：住
RPXNMLMLLHMFFAI68CA,下路頭段,32.95,都市：住
RPVOMLMLLHMFFAI58CA,竹圍子段,23.18,都市：住
RPVOMLMLLHMFFAI58CA,竹圍子段,8.61,都市：其他
RPWOMLMLLHMFFAI68CA,竹圍子段,102.00,都市：住
RPWOMLMLLHMFFAI68CA,竹圍子段,88.00,都市：住
RPWOMLMLLHMFFAI68CA,竹圍子段,5.04,都市：住
RPWOMLMLLHMFFAI68CA,竹圍子段,8.99,都市：其他
RPWOMLMLLHMFFAI68CA,竹圍子段,106.00,都市：其他
RPTOMLMLLHMFFAI38CA,盧東段,13.22,都市：住
RPTOMLMLLHMFFAI38CA,盧東段,135.84,都市：住
RPTOMLMLLHMFFAI38CA,盧東段,.07,都市：農
RPQOMLMLLHMFFAI08CA,竹圍子段二小段,13.30,都市：住
RPTNMLNKLHMFFAI28CA,劉厝段,185.75,都市：住
RPSOMLMLLHMFFAI28CA,檜段五小段,17.00,都市：商
RPOOMLMLLHMFFAI87CA,竹圍子段,66.00,都市：住
RPPOMLMLLHMFFAI97CA,盧厝段,25.43,都市：住
RPPNMLMLLHMFFAI87CA,白川段,34.88,都市：住
RPTNMLMLLHMFFAI28CA,彌陀段,26.00,都市：住
RPSNMLMLLHMFFAI38EA,元段五小段,71.00,都市：商
RPWNMLOKMHMFFAI88DA,港子坪段港坪小段,213.00,都市：住
RPWNMLOKMHMFFAI88DA,港子坪段港坪小段,749.50,都市：住
RPWNMLOKMHMFFAI88DA,港子坪段港坪小段,273.50,都市：住
RPWNMLOKMHMFFAI88DA,港子坪段港坪小段,956.50,都市：住
RPWNMLOKMHMFFAI88DA,港子坪段港坪小段,384.50,都市：住
RPWNMLOKMHMFFAI88DA,港子坪段港坪小段,556.50,都市：住
RPWNMLOKMHMFFAI88DA,港子坪段港坪小段,347.00,都市：住
RPWNMLPJMHMFFAI98EA,西門段三小段,210.00,都市：商
RPOOMLOKMHMFFAI08CA,北社尾段保安小段,90.00,都市：住
RPRPMLTKMHMFFAI98CA,港子坪段,63.00,都市：住
RPRPMLTKMHMFFAI98CA,港子坪段,12.00,都市：其他
RPPNMLQJMHMFFAI18CA,車店段車店小段,49.03,都市：住
RPUOMLSKMHMFFAI09CA,短竹段,1.00,都市：商
RPWNMLRJMHMFFAI98CA,西門段五小段,61.00,都市：住
RPTNMLSKMHMFFAI88CA,埤子頭段,4920.21,都市：其他
RPUNMLSKMHMFFAI98CA,埤子頭段,49.45,都市：其他
RPVNMLSKMHMFFAI09CA,埤子頭段,49.45,都市：其他
RPWNMLSKMHMFFAI56CA,檜段三小段,45.00,都市：其他
RPWNMLSKMHMFFAI56CA,檜段三小段,51.00,都市：其他
RPXNMLSKMHMFFAI66CA,檜段三小段,45.00,都市：其他
RPXNMLSKMHMFFAI66CA,檜段三小段,51.00,都市：其他
RPOOMLSKMHMFFAI48CA,檜段三小段,45.00,都市：其他
RPOOMLSKMHMFFAI48CA,檜段三小段,51.00,都市：其他
RPPOMLSKMHMFFAI58CA,檜段三小段,45.00,都市：其他
RPPOMLSKMHMFFAI58CA,檜段三小段,51.00,都市：其他
RPQOMLSKMHMFFAI68CA,檜段三小段,45.00,都市：其他
RPQOMLSKMHMFFAI68CA,檜段三小段,51.00,都市：其他
RPROMLSKMHMFFAI78CA,檜段三小段,45.00,都市：其他
RPROMLSKMHMFFAI78CA,檜段三小段,51.00,都市：其他
RPTOMLSKMHMFFAI98CA,檜段三小段,45.00,都市：其他
RPTOMLSKMHMFFAI98CA,檜段三小段,51.00,都市：其他
RPXNMLMKMHMFFAI68CA,大溪段,93.74,都市：住
RPXNMLKKNHMFFAI58CA,中庄段,385.00,都市：住
