鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政九路135巷1~30號,50.02,商,,,1021228,土地1建物1車位1,一層，二層，騎樓,九層,店面(店鋪),住商用,鋼筋混凝土造,0851209,296.86,4,1,2,有,有,49800000,167756,坡道機械,0.0,0,,RPSOMLNKOHMFFBJ78CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮北興路三段601~630號,64.77,住,,,1050707,土地2建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,0940226,184.15,4,1,4,有,無,8500000,46158,坡道平面,41.3,0,,RPTNMLSJQHLFFCJ76CA
竹東鎮,土地,竹東段番社子小段1~30地號,149.56,其他,,,1050712,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,361600,2418,,0.0,0,(包含)公共設施保留地之交易。,RPUOMLMJQHLFFCJ98CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮北興路二段301巷1~30號,23.51,住,,,1050620,土地2建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961016,126.82999999999998,2,2,1,有,有,5600000,44154,坡道平面,0.0,0,,RPPPMLMJQHLFFCJ58CA
橫山鄉,土地,矺子段721~750地號,16.83,,山坡地保育區,農牧用地,1050711,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,43388,2578,,0.0,0,,RPPOMLSJQHLFFCJ09CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮三重一路41巷1~30號,131.2,住,,,1050711,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840422,314.92,4,2,5,有,無,10800000,34294,,0.0,0,,RPQOMLKKQHLFFCJ48CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮北興路三段16巷1~30號,67.21,住,,,1050727,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040501,199.04999999999998,3,2,4,有,無,8550000,42954,,0.0,0,,RPTNMLTKRHLFFCJ07CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮北興路三段16巷1~30號,68.68,住,,,1050808,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040501,202.5,3,2,4,有,有,9307000,45960,,0.0,0,,RPRNMLTKRHLFFCJ86CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市科大一路280巷1~30號,101.38,住,,,1050901,土地1建物1車位2,全,四層,透天厝,住家用,鋼筋混凝土造,1030128,362.02,5,2,5,有,有,27500000,75963,坡道平面,62.78,0,,RPOOMLQKOHMFFBJ68CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市科大一路271~300號,99.12,住,,,1050901,土地1建物1車位1,全,四層,透天厝,住商用,鋼筋混凝土造,1030128,377.57,3,2,4,有,有,30500000,80780,坡道平面,31.39,0,,RPPOMLQKOHMFFBJ78CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路126巷61~90號,26.86,其他,,,1051014,土地3建物1車位2,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040325,201.32999999999998,4,2,2,有,有,9000000,44703,坡道平面,0.0,0,含增建物.另有公設權狀.,RPROMLQJKILFFCJ58CA
竹北市,建物,新竹縣竹北市東興路一段61~90號,0.0,,,,1050906,土地0建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,1041123,419.2,12,12,12,有,無,16000000,38168,,0.0,0,,RPUNMLTJJHMFFBJ88CA
