編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSOMLNKOHMFFBJ78CA,17,227.66,住商用,鋼筋混凝土造,85年12月9日,九層,一層 二層 騎樓
RPSOMLNKOHMFFBJ78CA,17,39.98,共用部分,鋼筋混凝土造,85年12月9日,九層,
RPSOMLNKOHMFFBJ78CA,17,29.22,共用部分,鋼筋混凝土造,85年12月9日,九層,
RPTNMLSJQHLFFCJ76CA,11,184.15,住家用,鋼筋混凝土造,94年2月26日,三層,一層 二層 三層 騎樓 地下一層
RPPPMLMJQHLFFCJ58CA,9,64.91,住家用,鋼筋混凝土造,96年10月16日,十層,四層
RPPPMLMJQHLFFCJ58CA,9,13.62,共有部份,鋼筋混凝土造,96年10月16日,十層,
RPPPMLMJQHLFFCJ58CA,9,.69,見其他登記事項,鋼筋混凝土造,96年10月16日,七層,一層
RPPPMLMJQHLFFCJ58CA,9,18.25,共有部份,鋼筋混凝土造,96年10月16日,十層,
RPPPMLMJQHLFFCJ58CA,9,29.35,共有部份,鋼筋混凝土造,96年10月16日,十層,
RPQOMLKKQHLFFCJ48CA,21,286.24,住家用,鋼筋混凝土造,84年4月22日,四層,一層 二層 三層 四層 地下層
RPQOMLKKQHLFFCJ48CA,21,28.68,共有部份,鋼筋混凝土造,84年4月22日,四層,
RPTNMLTKRHLFFCJ07CA,1,179.20,見其他登記事項,鋼筋混凝土造,104年5月1日,三層,一層 二層 三層 地下一層 見其他登記事項
RPTNMLTKRHLFFCJ07CA,1,19.85,見其他登記事項,鋼筋混凝土造,104年5月1日,三層,
RPRNMLTKRHLFFCJ86CA,1,182.65,見其他登記事項,鋼筋混凝土造,104年5月1日,三層,一層 二層 三層 地下一層 見其他登記事項
RPRNMLTKRHLFFCJ86CA,1,19.85,見其他登記事項,鋼筋混凝土造,104年5月1日,三層,
RPOOMLQKOHMFFBJ68CA,3,258.15,住家用,鋼筋混凝土造,103年1月28日,四層,一層 二層 三層 四層 屋頂突出物
RPOOMLQKOHMFFBJ68CA,3,103.87,見其他登記事項,鋼筋混凝土造,103年1月28日,一層,
RPPOMLQKOHMFFBJ78CA,3,252.46,住商用,鋼筋混凝土造,103年1月28日,四層,一層 二層 三層 四層 五層
RPPOMLQKOHMFFBJ78CA,3,125.11,見其他登記事項,鋼筋混凝土造,103年1月28日,一層,
RPROMLQJKILFFCJ58CA,2,100.81,見其他登記事項,鋼筋混凝土造,104年3月25日,十四層,七層
RPROMLQJKILFFCJ58CA,2,20.09,共有部份,鋼筋混凝土造,104年3月25日,十四層,
RPROMLQJKILFFCJ58CA,2,24.73,共有部份,鋼筋混凝土造,104年3月25日,十五層,
RPROMLQJKILFFCJ58CA,2,.04,見其他登記事項,鋼筋混凝土造,104年3月25日,十四層,一層
RPROMLQJKILFFCJ58CA,2,55.65,共有部份,鋼筋混凝土造,104年3月25日,十五層,
RPROMLQJKILFFCJ58CA,2,.01,共有部份,鋼筋混凝土造,104年3月25日,十四層,
RPUNMLTJJHMFFBJ88CA,1,419.20,住商用,鋼筋混凝土造,104年11月23日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPTNMLTJJHMFFDJ09DA,,47.10,住家用,加強磚造,,三層,一層
RPPNMLPKJHMFFCJ18CA,,14888.08,見其他登記事項,鋼筋混凝土造,,七層,一層 二層 三層 四層 五層 六層 七層 地下一層 地下二層
RPTNMLTKJHMFFDJ09CA,2,230.72,見其他登記事項,鋼筋混凝土造,104年3月27日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLQLJHMFFCJ68CA,6,23.22,共用部分,鋼筋混凝土造,99年12月31日,十層,
RPSNMLQLJHMFFCJ68CA,6,45.10,見其他登記事項,鋼筋混凝土造,99年12月31日,十層,九層
RPSNMLQLJHMFFCJ68CA,6,10.97,共用部分,鋼筋混凝土造,99年12月31日,十層,
RPSOMLLLLHMFFCJ48CA,45,78.20,住商用,加強磚造,61年4月27日,二層,一層 二層 騎樓
RPQNMLQJMHMFFDJ68CA,,468.01,見其他登記事項,鋼筋混凝土造,106年1月15日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPXOMLRKMHMFFDJ07CA,3,211.25,見其他登記事項,鋼筋混凝土造,103年7月30日,四層,一層 二層 三層 四層
RPUNMLLLMHMFFDJ88DA,40,203.22,住家用,加強磚造,65年12月22日,二層,一層 二層 騎樓
RPUNMLQJOHMFFDJ76DA,,82.71,見其他登記事項,鋼筋混凝土造,105年12月6日,五層,二層
RPUNMLQJOHMFFDJ76DA,,22.28,見其他登記事項,鋼筋混凝土造,105年12月6日,五層,
RPUNMLQJOHMFFDJ76DA,,19.61,停車空間,鋼筋混凝土造,105年12月6日,五層,
RPVNMLQJOHMFFDJ86DA,,81.73,見其他登記事項,鋼筋混凝土造,105年12月6日,五層,四層
RPVNMLQJOHMFFDJ86DA,,23.83,見其他登記事項,鋼筋混凝土造,105年12月6日,五層,
RPVNMLQJOHMFFDJ86DA,,19.27,停車空間,鋼筋混凝土造,105年12月6日,五層,
RPROMLMKOHMFFDJ88DA,,60.18,見其他登記事項,鋼筋混凝土造,105年12月6日,五層,二層
RPROMLMKOHMFFDJ88DA,,16.21,見其他登記事項,鋼筋混凝土造,105年12月6日,五層,
RPROMLMKOHMFFDJ88DA,,15.22,停車空間,鋼筋混凝土造,105年12月6日,五層,
RPTOMLMKOHMFFDJ09DA,,95.85,見其他登記事項,鋼筋混凝土造,105年12月6日,五層,四層
RPTOMLMKOHMFFDJ09DA,,25.82,見其他登記事項,鋼筋混凝土造,105年12月6日,五層,
RPTOMLMKOHMFFDJ09DA,,21.83,停車空間,鋼筋混凝土造,105年12月6日,五層,
RPPNMLNKOHMFFDJ68DA,,60.18,見其他登記事項,鋼筋混凝土造,105年12月6日,五層,四層
RPPNMLNKOHMFFDJ68DA,,16.21,見其他登記事項,鋼筋混凝土造,105年12月6日,五層,
RPPNMLNKOHMFFDJ68DA,,15.22,停車空間,鋼筋混凝土造,105年12月6日,五層,
RPRNMLNKOHMFFDJ88DA,,81.77,見其他登記事項,鋼筋混凝土造,105年12月6日,五層,三層
RPRNMLNKOHMFFDJ88DA,,22.03,見其他登記事項,鋼筋混凝土造,105年12月6日,五層,
RPRNMLNKOHMFFDJ88DA,,19.39,停車空間,鋼筋混凝土造,105年12月6日,五層,
RPXNMLNKOHMFFDJ86DA,,82.71,見其他登記事項,鋼筋混凝土造,105年12月6日,五層,三層
RPXNMLNKOHMFFDJ86DA,,22.28,見其他登記事項,鋼筋混凝土造,105年12月6日,五層,
