絪腹,跋琿竚,簿锣縩キよそへ,ㄏノだ跋┪絪﹚
RPSOMLNKOHMFFBJ78CA,郡地琿,50.02,常カ坝
RPTNMLSJQHLFFCJ76CA,λ狥琿礷琿,21.77,常カ
RPTNMLSJQHLFFCJ76CA,λ狥琿礷琿,43.00,常カ
RPUOMLMJQHLFFCJ98CA,λ狥琿礷琿,51.78,常カㄤ
RPUOMLMJQHLFFCJ98CA,λ狥琿礷琿,97.78,常カㄤ
RPPPMLMJQHLFFCJ58CA,λ狥琿λ狥琿,23.49,常カ
RPPPMLMJQHLFFCJ58CA,λ狥琿λ狥琿,.02,常カ
RPPOMLSJQHLFFCJ09CA,蛜琿,16.83,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPQOMLKKQHLFFCJ48CA,в厩琿,112.94,常カ
RPQOMLKKQHLFFCJ48CA,в厩琿,18.26,常カ
RPTNMLTKRHLFFCJ07CA,λ狥琿λ狥琿,23.21,常カ
RPTNMLTKRHLFFCJ07CA,λ狥琿λ狥琿,44.00,常カ
RPRNMLTKRHLFFCJ86CA,λ狥琿λ狥琿,20.68,常カ
RPRNMLTKRHLFFCJ86CA,λ狥琿λ狥琿,48.00,常カ
RPOOMLQKOHMFFBJ68CA,琿,101.38,常カ
RPPOMLQKOHMFFBJ78CA,琿,99.12,常カ
RPROMLQJKILFFCJ58CA,в厩琿,26.64,常カㄤ
RPROMLQJKILFFCJ58CA,в厩琿,.21,常カㄤ
RPROMLQJKILFFCJ58CA,в厩琿,.01,常カㄤ
RPSNMLQLJHMFFCJ68CA,砍琿,16.17,常カ
RPSOMLLLLHMFFCJ48CA,λ狥琿λ狥琿,69.00,常カ
RPUNMLQJOHMFFDJ76DA,地琿,35.75,常カ
RPUNMLQJOHMFFDJ76DA,地琿,1.93,常カ
RPVNMLQJOHMFFDJ86DA,地琿,35.33,常カ
RPVNMLQJOHMFFDJ86DA,地琿,1.91,常カ
RPROMLMKOHMFFDJ88DA,地琿,26.01,常カ
RPROMLMKOHMFFDJ88DA,地琿,1.41,常カ
RPTOMLMKOHMFFDJ09DA,地琿,41.43,常カ
RPTOMLMKOHMFFDJ09DA,地琿,2.24,常カ
RPPNMLNKOHMFFDJ68DA,地琿,26.01,常カ
RPPNMLNKOHMFFDJ68DA,地琿,1.41,常カ
RPRNMLNKOHMFFDJ88DA,地琿,35.35,常カ
RPRNMLNKOHMFFDJ88DA,地琿,1.91,常カ
RPXNMLNKOHMFFDJ86DA,地琿,35.75,常カ
RPXNMLNKOHMFFDJ86DA,地琿,1.93,常カ
RPQOMLNKOHMFFDJ88DA,地琿,35.33,常カ
RPQOMLNKOHMFFDJ88DA,地琿,1.91,常カ
