編號,車位類別,車位價格,車位面積平方公尺
RPSOMLNKOHMFFBJ78CA,坡道機械,0,
RPTNMLSJQHLFFCJ76CA,坡道平面,0,41.30
RPPPMLMJQHLFFCJ58CA,坡道平面,0,
RPOOMLQKOHMFFBJ68CA,坡道平面,0,31.39
RPOOMLQKOHMFFBJ68CA,坡道平面,0,31.39
RPPOMLQKOHMFFBJ78CA,坡道平面,0,31.39
RPROMLQJKILFFCJ58CA,坡道平面,0,
RPROMLQJKILFFCJ58CA,坡道平面,0,
RPPPMLMJNHMFFBJ28CA,坡道機械,0,5.88
RPUOMLNJNHMFFBJ78CA,坡道平面,1000000,35.45
RPSPMLNJNHMFFBJ68CA,坡道平面,0,
RPROMLOJNHMFFBJ58CA,坡道平面,0,31.34
RPROMLOJNHMFFBJ58CA,坡道平面,0,31.34
RPWNMLPJNHMFFBJ09CA,坡道平面,0,
RPSNMLKKNHMFFBJ28CA,坡道平面,0,26.46
RPSNMLKKNHMFFBJ28CA,坡道平面,0,26.46
RPPOMLRKNHMFFBJ78CA,坡道平面,1100000,29.75
RPPNMLKLNHMFFBJ08CA,坡道平面,0,30.00
RPPNMLKLNHMFFBJ08CA,坡道平面,0,30.00
RPRNMLRLNHMFFBJ98CA,坡道機械,0,6.01
RPSNMLRLNHMFFBJ09CA,坡道機械,0,6.01
RPQOMLKKNHMFFBJ18CA,坡道平面,0,
RPOOMLLKNHMFFBJ08CA,坡道平面,0,26.36
RPOOMLLKNHMFFBJ08CA,坡道機械,0,18.25
RPQOMLTJNHMFFBJ98CA,坡道平面,0,36.40
RPQOMLOJNHMFFBJ48CA,坡道平面,0,31.34
RPQOMLOJNHMFFBJ48CA,坡道平面,0,31.34
RPVPMLNJNHMFFBJ98CA,坡道平面,0,
RPOQMLNJNHMFFBJ38CA,坡道平面,0,
RPQQMLNJNHMFFBJ58CA,坡道平面,0,30.36
RPVOMLNJNHMFFBJ88CA,坡道平面,1000000,35.45
RPXNMLRKNHMFFCJ96CA,坡道機械,0,14.34
RPTQMLNJOHMFFBJ98CA,坡道平面,1300000,32.62
RPTQMLNJOHMFFBJ98CA,坡道平面,1050000,29.81
RPUNMLSJNHMFFCJ66CA,坡道平面,0,28.03
RPVNMLTJNHMFFDJ07DA,其他,0,
RPWNMLLKNHMFFCJ88CA,坡道平面,0,
RPXNMLOJNHMFFBJ09CA,坡道平面,800000,30.03
RPOOMLPJNHMFFBJ38CA,坡道平面,0,
RPOOMLPJNHMFFBJ38CA,坡道平面,0,
RPROMLTJNHMFFBJ09CA,坡道平面,0,31.60
RPROMLTJNHMFFBJ09CA,坡道平面,0,31.60
RPXOMLPJNHMFFBJ66CA,坡道平面,0,24.47
RPQNMLKKNHMFFBJ08CA,坡道平面,1100000,
RPPNMLTLNHMFFBJ98CA,坡道平面,900000,30.77
RPSNMLMLNHMFFBJ58CA,坡道機械,0,
RPROMLLKNHMFFCJ48CA,坡道平面,0,
RPQNMLPKNHMFFCJ68CA,坡道平面,0,
RPSNMLPJNHMFFDJ88CA,其他,0,9.17
RPXNMLLMNHMFFDJ66CA,一樓平面,0,
RPSNMLSJNHMFFCJ09CA,坡道平面,1000000,25.79
RPXNMLMKNHMFFCJ09CA,坡道機械,0,
RPPOMLQKNHMFFBJ68CA,坡道平面,0,27.08
RPUNMLSKNHMFFBJ66CA,坡道平面,0,40.60
RPUNMLSKNHMFFBJ66CA,坡道平面,0,40.60
RPUNMLSKNHMFFBJ66CA,坡道平面,0,40.60
RPOOMLRKNHMFFBJ68CA,坡道機械,0,16.56
RPPNMLLKNHMFFBJ08CA,坡道平面,0,30.00
RPPNMLLKNHMFFBJ08CA,坡道平面,0,30.00
RPPNMLLKNHMFFBJ08CA,坡道平面,0,30.00
RPOOMLPKNHMFFBJ48CA,坡道平面,1000000,
RPSNMLPKNHMFFBJ78CA,坡道平面,0,28.71
RPWNMLPKNHMFFBJ56CA,坡道平面,0,25.54
RPTPMLPJNHMFFBJ98CA,坡道平面,0,
RPROMLSJNHMFFBJ98CA,坡道平面,0,34.51
RPROMLSJNHMFFBJ98CA,坡道平面,0,34.51
RPUOMLTJNHMFFBJ76CA,坡道平面,0,
RPVOMLTJNHMFFBJ86CA,坡道平面,0,
RPVOMLTJNHMFFBJ86CA,坡道平面,0,
RPTNMLKKNHMFFBJ38CA,一樓平面,0,
RPXOMLTJNHMFFBJ07CA,坡道平面,1200000,23.77
RPXOMLTJNHMFFBJ07CA,坡道平面,1200000,23.77
RPOPMLTJNHMFFBJ88CA,坡道平面,1100000,23.77
RPOPMLTJNHMFFBJ88CA,坡道平面,1100000,23.77
RPOPMLTJNHMFFBJ88CA,坡道平面,1100000,23.77
RPSOMLTJNHMFFBJ56CA,坡道平面,950000,27.83
