鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
竹北市,建物,新竹縣竹北市環北路一段361~390號,0.0,工,,,1051201,土地0建物1車位0,見其他登記事項,3,工廠,工業用,鋼筋混凝土造,0960302,463.38,0,0,0,無,無,無,88000,,,0.0,0,,RPXQMLKLKILFFBJ09CC
竹北市,建物,新竹縣竹北市福興路755巷1~30號,0.0,住,,,1060106,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0861008,185.66,5,2,3,有,無,有,32000,172,,0.0,0,,RPTOMLNKJHMFFBJ58CC
竹北市,建物,新竹縣竹北市嘉豐六路二段91~120號,0.0,住,,,1060105,土地0建物1車位0,見其他登記事項,14,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0980106,201.10999999999999,5,2,3,有,有,無,30000,149,,0.0,0,一層+二層+地下一層,RPQOMLTKJHMFFBJ88CC
竹北市,建物,新竹縣竹北市成功九街91~120號,0.0,住,,,1060120,土地0建物1車位0,見其他登記事項,15,店面(店鋪),商業用,鋼筋混凝土造,1001103,147.28,0,0,0,無,無,有,40000,272,,0.0,0,租賃層次：1~2層,RPPNMLLLJHMFFBJ97CC
竹北市,建物,新竹縣竹北市復興一街181~210號,0.0,住,,,1060119,土地0建物1車位0,見其他登記事項,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970201,248.38,0,0,2,有,有,無,23895,96,,0.0,0,,RPVRMLNKKHMFFBJ56CC
竹北市,建物,新竹縣竹北市復興一街181~210號,0.0,住,,,1060119,土地0建物1車位0,見其他登記事項,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980121,167.4,0,0,2,有,有,無,23895,143,,0.0,0,,RPVNMLNLKHMFFBJ88CC
竹北市,建物,新竹縣竹北市成功15街61~90號,0.0,住,,,1060224,土地0建物2車位0,見其他登記事項,5,店面(店鋪),商業用,鋼筋混凝土造,1010104,178.48000000000002,0,0,0,無,無,無,63000,353,,0.0,0,,RPXNMLMJLHMFFBJ88CC
竹北市,建物,新竹縣竹北市竹義街31~60號,0.0,住,,,1060221,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0640523,202.19,4,2,4,有,無,有,24000,119,,0.0,0,,RPVNMLNJLHMFFBJ78CC
竹北市,建物,新竹縣竹北市自強南路331~360號,0.0,住,,,1060214,土地0建物1車位0,見其他登記事項,2,店面(店鋪),住商用,見其他登記事項,1051014,777.42,0,0,0,無,無,無,255000,328,,0.0,0,,RPUOMLQJLHMFFBJ09CC
竹北市,建物,新竹縣竹北市成功五街31~60號,0.0,住,,,1060306,土地0建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,0930116,214.33,4,1,4,有,無,無,32000,149,,0.0,0,,RPVNMLSJLHMFFBJ66CC
