鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
苗栗市,房地(土地+建物),苗栗縣苗栗市建功里25鄰民族路31~60號,241.0,住,,,1050901,土地1建物1車位0,全,,透天厝,住商用,鋼筋混凝土造,0770601,212.56,5,2,3,有,無,12000000,56455,,0.0,0,二親等買賣,RPUNMLSLOHMFFBK96CA
苗栗市,建物,苗栗縣苗栗市大同里5鄰三湖道6巷1~30號,0.0,,,,1051215,土地0建物1車位0,一層,一層,其他,住家用,木造,0280310,50.0,0,0,1,無,無,4800,96,,0.0,0,平房，宗親內買賣，權利人 使用標的建物逾五十年。,RPQNMLNJJHMFFBK97CA
苑裡鎮,建物,苗栗縣苑裡鎮客庄里14鄰世界路一段89巷1~30號,0.0,,,,1051215,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041015,185.52,4,3,3,有,無,5281000,28466,,0.0,0,,RPWNMLNLJHMFFCK88CA
苑裡鎮,建物,苗栗縣苑裡鎮客庄里14鄰世界路一段89巷1~30號,0.0,,,,1051215,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041015,185.54,4,3,3,有,無,5282000,28468,,0.0,0,,SPWNMLNLJHMFFCK98CA
苑裡鎮,建物,苗栗縣苑裡鎮客庄里14鄰世界路一段89巷1~30號,0.0,,,,1051215,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041015,158.89,4,3,3,有,無,4523000,28466,,0.0,0,,TPWNMLNLJHMFFCK09CA
苗栗市,建物,苗栗縣苗栗市勝利里36鄰榮興1~30號,0.0,,,,1051227,土地0建物1車位0,一層,,其他,住家用,加強磚造,0740510,49.58,1,1,1,有,無,900000,18152,,0.0,0,,RPSNMLKMKILFFBK38DA
苗栗市,建物,苗栗縣苗栗市勝利里36鄰榮興1~30號,0.0,,,,1051226,土地0建物1車位0,一層,,其他,住家用,加強磚造,0740510,49.58,1,1,1,有,無,800000,16136,,0.0,0,,RPPNMLNJJHMFFBK97DA
苗栗市,建物,苗栗縣苗栗市日新街1~30號,0.0,,,,1051229,土地0建物1車位0,全,,透天厝,住商用,加強磚造,0660629,268.32,4,2,3,有,無,1320000,4919,,0.0,0,,RPWNMLTKJHMFFBK66CA
苗栗市,土地,聯大段1021~1050地號,204.89,,山坡地保育區,丙種建築用地,1030901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,880800,4299,,0.0,0,1.含未辦保存登記建物。,RPUNMLNKOHMFFBK98CA
銅鑼鄉,房地(土地+建物),苗栗縣銅鑼鄉銅鑼村38鄰雙峰路91~120號,120.82,,山坡地保育區,丙種建築用地,1060219,土地2建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1040123,156.98,4,1,3,有,無,6200000,39495,,0.0,0,江OO土地及建物持分各1/2,土地交易總價340萬包含二次施工190萬,RPRNMLPJNHMFFEK98CA
