編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLSLOHMFFBK96CA,28,212.56,住商用,鋼筋混凝土造,77年6月1日,,一層 二層 三層 地下層 見其他登記事項
RPQNMLNJJHMFFBK97CA,78,50.00,住家用,木造,28年3月10日,一層,一層
RPWNMLNLJHMFFCK88CA,1,185.52,見其他登記事項,鋼筋混凝土造,104年10月15日,四層,一層 二層 三層 四層
SPWNMLNLJHMFFCK98CA,1,185.54,見其他登記事項,鋼筋混凝土造,104年10月15日,四層,一層 二層 三層 四層
TPWNMLNLJHMFFCK09CA,1,158.89,見其他登記事項,鋼筋混凝土造,104年10月15日,四層,一層 二層 三層 四層
RPSNMLKMKILFFBK38DA,32,49.58,住家用,加強磚造,74年5月10日,,一層
RPPNMLNJJHMFFBK97DA,32,49.58,住家用,加強磚造,74年5月10日,,一層
RPWNMLTKJHMFFBK66CA,40,268.32,住商用,加強磚造,66年6月29日,,一層 二層 三層 四層 地下層 見其他登記事項
RPRNMLPJNHMFFEK98CA,2,156.98,見其他登記事項,見其他登記事項,104年1月23日,三層,一層 二層 三層 見其他登記事項
RPQNMLOJNHMFFEK78CA,23,259.55,見其他登記事項,見其他登記事項,83年5月20日,二層,一層 二層
RPSNMLNJNHMFFFK98CA,20,45.38,住家用,鋼筋混凝土造,86年6月19日,八層,六層
RPSNMLNJNHMFFFK98CA,20,9.48,見其他登記事項,鋼筋混凝土造,86年6月19日,八層,
RPSNMLNJNHMFFFK98CA,20,24.11,見其他登記事項,鋼筋混凝土造,86年6月19日,八層,
RPPQMLPJNHMFFFK56CA,2,110.46,住家用,鋼筋混凝土造,104年9月15日,四層,一層 二層 三層 四層 騎樓
RPPQMLPJNHMFFFK56CA,2,110.46,住家用,鋼筋混凝土造,104年9月15日,四層,一層 二層 三層 四層 騎樓
RPQNMLMJNHMFFDK48CA,11,169.87,見其他登記事項,鋼筋混凝土造,95年8月9日,三層,一層 二層 三層
RPPNMLNJNHMFFDK48CA,10,135.98,住家用,鋼筋混凝土造,96年2月1日,三層,一層 二層 三層
RPSNMLSJNHMFFDK66CA,1,74.76,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,三層
RPSNMLSJNHMFFDK66CA,1,26.93,共有部分,鋼筋混凝土造,104年11月16日,五層,
RPSNMLSJNHMFFDK66CA,1,9.95,共有部分,鋼筋混凝土造,104年11月16日,五層,
RPUNMLSJNHMFFDK86CA,1,56.57,住家用,見其他登記事項,105年4月14日,十二層,十層
RPUNMLSJNHMFFDK86CA,1,31.28,見其他登記事項,見其他登記事項,105年4月14日,十二層,
RPUNMLSJNHMFFDK86CA,1,11.54,見其他登記事項,見其他登記事項,105年4月14日,十二層,
RPSNMLMJNHMFFBK48CA,22,139.19,住家用,鋼筋混凝土造,84年2月15日,四層,三層 四層 屋頂突出物
RPSNMLMJNHMFFBK48CA,22,8.04,見其他登記事項,鋼筋混凝土造,84年2月15日,,
RPQNMLLKNHMFFAK18CA,9,389.01,農舍,見其他登記事項,97年5月15日,三層,一層 二層 三層
RPWNMLLKNHMFFBK88CA,26,68.68,見其他登記事項,鋼筋混凝土造,80年5月31日,,十層
RPWNMLLKNHMFFBK88CA,26,34.72,共有部分,鋼筋混凝土造,80年5月31日,,
RPTNMLNLNHMFFBK88CA,3,81.55,農舍,鋼筋混凝土造,103年5月14日,二層,一層 二層 屋頂突出物
RPQNMLLJOHMFFBK28CA,25,129.28,住家用,鋼筋混凝土造,81年4月30日,,一層 二層 電梯樓梯間
RPXNMLLKNHMFFBK98CA,1,97.43,住家用,鋼筋混凝土造,104年12月16日,五層,二層
RPXNMLLKNHMFFBK98CA,1,40.56,見其他登記事項,鋼筋混凝土造,104年12月16日,五層,
RPOOMLLKNHMFFBK18CA,1,97.42,住家用,鋼筋混凝土造,104年12月16日,五層,三層
RPOOMLLKNHMFFBK18CA,1,40.56,見其他登記事項,鋼筋混凝土造,104年12月16日,五層,
RPQNMLNJNHMFFBK38CA,,124.08,住家用,鋼筋混凝土造,105年11月21日,三層,一層 二層 三層 屋頂突出物
RPQNMLNJNHMFFBK38CA,,124.08,住家用,鋼筋混凝土造,105年11月21日,三層,一層 二層 三層 屋頂突出物
RPQNMLQKNHMFFCK88CA,1,106.96,住家用,鋼筋混凝土造,105年8月3日,四層,一層 二層 三層 四層
RPQNMLQKNHMFFCK88CA,1,106.96,住家用,鋼筋混凝土造,105年8月3日,四層,一層 二層 三層 四層
RPOOMLSJNHMFFCK88CA,1,217.20,住家用,鋼筋混凝土造,105年8月3日,四層,一層 二層 三層 四層
RPSNMLTKNHMFFFK07CA,20,218.21,商業用,鋼筋混凝土造,86年8月27日,四層,一層 二層 三層 四層 騎樓
RPSNMLTKNHMFFFK07CA,20,218.21,商業用,鋼筋混凝土造,86年8月27日,四層,一層 二層 三層 四層 騎樓
RPSNMLTKNHMFFFK07CA,20,218.21,商業用,鋼筋混凝土造,86年8月27日,四層,一層 二層 三層 四層 騎樓
RPSNMLTKNHMFFFK07CA,20,218.21,商業用,鋼筋混凝土造,86年8月27日,四層,一層 二層 三層 四層 騎樓
RPSNMLTKNHMFFFK07CA,20,218.21,商業用,鋼筋混凝土造,86年8月27日,四層,一層 二層 三層 四層 騎樓
RPSNMLTKNHMFFFK07CA,20,218.21,商業用,鋼筋混凝土造,86年8月27日,四層,一層 二層 三層 四層 騎樓
RPSNMLTKNHMFFFK07CA,20,255.75,商業用,鋼筋混凝土造,86年8月27日,四層,一層 二層 三層 四層 騎樓
RPSNMLTKNHMFFFK07CA,20,218.22,商業用,鋼筋混凝土造,86年8月27日,四層,一層 二層 三層 四層 騎樓
RPSNMLTKNHMFFFK07CA,20,218.22,商業用,鋼筋混凝土造,86年8月27日,四層,一層 二層 三層 四層 騎樓
RPSNMLTKNHMFFFK07CA,20,218.22,商業用,鋼筋混凝土造,86年8月27日,四層,一層 二層 三層 四層 騎樓
RPSNMLTKNHMFFFK07CA,20,325.51,商業用,鋼筋混凝土造,86年8月27日,一層,一層
RPSNMLTKNHMFFFK07CA,20,.00,見其他登記事項,鋼筋混凝土造,86年8月27日,,
RPPNMLOJNHMFFFK78CA,8,36.73,見其他登記事項,見其他登記事項,98年8月25日,六層,四層
RPPNMLOJNHMFFFK78CA,8,6.89,見其他登記事項,見其他登記事項,98年8月25日,六層,
RPPNMLOJNHMFFFK78CA,8,7.02,見其他登記事項,見其他登記事項,98年8月25日,六層,
RPPNMLOJNHMFFFK78CA,8,2.85,見其他登記事項,見其他登記事項,98年8月25日,六層,
RPPNMLOJNHMFFFK78CA,8,5.96,見其他登記事項,見其他登記事項,98年8月25日,六層,
RPQNMLOJNHMFFFK88CA,23,92.79,商業用,鋼筋混凝土造,82年12月21日,十一層,四層
RPQNMLOJNHMFFFK88CA,23,9.76,見其他登記事項,鋼筋混凝土造,82年12月21日,十一層,
RPQNMLOJNHMFFFK88CA,23,27.15,見其他登記事項,鋼筋混凝土造,82年12月21日,十一層,
RPQNMLOJNHMFFFK88CA,23,1.96,見其他登記事項,鋼筋混凝土造,82年12月21日,十一層,
RPQNMLOJNHMFFFK88CA,23,1.29,見其他登記事項,鋼筋混凝土造,82年12月21日,十一層,
RPQNMLRLNHMFFDK56CA,1,43.28,住家用,鋼筋混凝土造,104年11月26日,五層,三層
RPQNMLRLNHMFFDK56CA,1,16.35,共有部分,鋼筋混凝土造,104年11月26日,五層,
RPSNMLRLNHMFFDK76CA,1,43.28,住家用,鋼筋混凝土造,104年11月26日,五層,三層
RPSNMLRLNHMFFDK76CA,1,16.35,共有部分,鋼筋混凝土造,104年11月26日,五層,
RPRNMLKKNHMFFBK38DA,33,99.13,住家用,鋼筋混凝土造,73年4月25日,,五層
RPOOMLLMNHMFFDK58CA,,72.43,見其他登記事項,鋼筋混凝土造,105年8月5日,七層,一層 見其他登記事項
RPOOMLLMNHMFFDK58CA,,22.15,共有部分,鋼筋混凝土造,105年8月5日,七層,
RPOOMLLMNHMFFDK58CA,,12.81,共有部分,鋼筋混凝土造,105年8月5日,七層,
RPTNMLNJNHMFFFK09CA,26,260.34,住家用,鋼筋混凝土造,80年5月10日,三層,一層 二層 三層 騎樓
RPPOMLPJNHMFFFK98CA,,94.47,見其他登記事項,鋼筋混凝土造,105年12月22日,七層,二層
RPPOMLPJNHMFFFK98CA,,.98,見其他登記事項,鋼筋混凝土造,105年12月22日,七層,
RPPOMLPJNHMFFFK98CA,,14.84,見其他登記事項,鋼筋混凝土造,105年12月22日,七層,
RPPOMLPJNHMFFFK98CA,,19.52,見其他登記事項,鋼筋混凝土造,105年12月22日,七層,
