鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
集集鎮,建物,南投縣集集鎮文昌巷1~30號,0.0,,,,1051021,土地0建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880115,271.75,4,2,3,有,無,4000000,14719,,0.0,0,,RPPNMLQKKILFFEM88CA
草屯鎮,建物,南投縣草屯鎮美村巷52弄1~30號,0.0,,,,1051104,土地0建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1041124,196.18,3,2,2,有,無,3380000,17229,,0.0,0,,RPXNMLQKKILFFBM76CA
草屯鎮,建物,南投縣草屯鎮新豐路601~630號,0.0,,,,1051202,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1000517,261.42,4,2,4,有,無,3800000,14536,,0.0,0,,RPRNMLNKJHMFFBM38CA
竹山鎮,建物,南投縣竹山鎮前山路橫巷1~30號,0.0,,,,1051229,土地0建物1車位0,五層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0840408,118.81,3,2,2,有,有,1120000,9427,,0.0,0,,RPSNMLOLJHMFFDM88CA
南投市,建物,南投縣南投市信義街152巷9弄61~90號,0.0,,,,1060105,土地0建物1車位0,全,二層,透天厝,住家用,加強磚造,0740426,107.1,4,2,2,有,無,1500000,14006,,0.0,0,親友間之交易。,RPQNMLNKJHMFFAM18CA
埔里鎮,建物,南投縣埔里鎮梅林六街31~60號,0.0,,,,1051207,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050831,317.06,4,2,3,有,無,7400000,23339,,0.0,0,建商與地主合建案。,RPVOMLMJKHMFFCM88CA
竹山鎮,建物,南投縣竹山鎮東鄉路1~30號,0.0,,,,1060215,土地0建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0741102,458.37,2,2,2,有,無,1034700,2257,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQOMLLJLHMFFDM48CA
埔里鎮,建物,南投縣埔里鎮?吉巷1~30號,0.0,,,,1060207,土地0建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050901,319.08,7,2,7,有,無,5000000,15670,,0.0,0,,RPVNMLQKLHMFFCM76CA
竹山鎮,建物,南投縣竹山鎮延平一路181~210號,0.0,,,,1060104,土地0建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040211,201.36,4,1,5,有,無,3888000,19309,,0.0,0,,RPQNMLTLLHMFFDM76CA
竹山鎮,建物,南投縣竹山鎮延平一路211~240號,0.0,,,,1060301,土地0建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040211,201.36,4,1,5,有,無,3780000,18772,,0.0,0,,RPSNMLTLLHMFFDM96CA
