編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLQKKILFFEM88CA,18,271.75,住家用,鋼筋混凝土造,88年1月15日,三層,一層 二層 三層
RPXNMLQKKILFFBM76CA,1,196.18,見其他登記事項,鋼筋混凝土造,104年11月24日,三層,一層 二層 三層 見其他登記事項
RPRNMLNKJHMFFBM38CA,6,261.42,見其他登記事項,鋼筋混凝土造,100年5月17日,四層,一層 二層 三層 四層
RPSNMLOLJHMFFDM88CA,22,100.49,見其他登記事項,鋼筋混凝土造,84年4月8日,六層,五層
RPSNMLOLJHMFFDM88CA,22,.30,見其他登記事項,鋼筋混凝土造,84年4月8日,六層,
RPSNMLOLJHMFFDM88CA,22,.30,見其他登記事項,鋼筋混凝土造,84年4月8日,六層,
RPSNMLOLJHMFFDM88CA,22,17.72,見其他登記事項,鋼筋混凝土造,84年4月8日,六層,
RPQNMLNKJHMFFAM18CA,32,107.10,住家用,加強磚造,74年4月26日,二層,一層 二層
RPVOMLMJKHMFFCM88CA,,317.06,見其他登記事項,鋼筋混凝土造,105年8月31日,四層,一層 二層 三層 四層 見其他登記事項
RPQOMLLJLHMFFDM48CA,31,458.37,住商用,鋼筋混凝土加強磚造,74年11月2日,二層,一層 二層 騎樓
RPVNMLQKLHMFFCM76CA,,319.08,住家用,鋼筋混凝土造,105年9月1日,三層,一層 二層 三層
RPQNMLTLLHMFFDM76CA,2,201.36,見其他登記事項,鋼筋混凝土造,104年2月11日,三層,一層 二層 三層 屋頂突出物
RPSNMLTLLHMFFDM96CA,2,201.36,見其他登記事項,鋼筋混凝土造,104年2月11日,三層,一層 二層 三層 屋頂突出物
RPRNMLSJMHMFFBM09CA,37,143.04,住家用,鋼筋混凝土造,69年1月1日,三層,一層 二層 騎樓
RPWNMLNLOHMFFAM76CA,13,213.01,商業用,見其他登記事項,93年2月27日,一層,一層
RPQNMLQJNHMFFAM78CA,10,540.30,工業用,見使用執照,95年11月16日,一層,見其他登記事項
RPSNMLOKOHMFFCM56CA,12,161.70,住商用,鋼筋混凝土造,93年10月5日,十層,一層 二層 三層
RPSNMLOKOHMFFCM56CA,12,62.48,見其他登記事項,鋼筋混凝土造,93年10月5日,十層,
RPOOMLSLMHMFFAM98CA,1,202.37,見其他登記事項,鋼筋混凝土造,104年11月23日,三層,一層 二層 三層 屋頂突出物
RPQOMLMKNHMFFAM58CA,25,99.60,住家用,鋼筋混凝土造,81年7月13日,五層,二層
RPQOMLMKNHMFFAM58CA,25,6.29,共有部份,鋼筋混凝土造,81年7月13日,五層,
RPUNMLPKNHMFFAM56CA,16,123.65,住商用,鋼筋混凝土造,89年10月19日,三層,一層 二層 三層 屋頂突出物
RPUNMLOLNHMFFAM56CA,22,152.44,住家用,鋼筋混凝土造,84年4月14日,三層,一層 二層 三層 屋頂突出物
RPTNMLMJNHMFFBM78CA,37,114.16,住家用,鋼筋混凝土加強磚造,68年11月23日,二層,一層 二層
RPWOMLNJNHMFFBM66CA,,67.10,見其他登記事項,鋼筋混凝土造,105年12月29日,十二層,五層
RPWOMLNJNHMFFBM66CA,,32.45,見其他登記事項,鋼筋混凝土造,105年12月29日,十二層,
RPRNMLOJNHMFFDM98CA,1,185.76,住家用,鋼筋混凝土造,105年3月23日,三層,一層 二層 三層
RPQOMLSJNHMFFCM66CA,10,161.10,見其他登記事項,鋼筋混凝土造,96年5月1日,三層,一層 二層 三層 屋頂突出物
RPRNMLOLNHMFFCM09CA,13,479.46,農舍,見其他登記事項,93年7月8日,二層,一層 二層
RPPNMLNJNHMFFEM78CA,37,183.41,住商用,鋼筋混凝土加強磚造,68年9月29日,三層,一層 二層 三層 騎樓
RPQNMLOJNHMFFEM98CA,,190.99,見其他登記事項,見其他登記事項,105年12月20日,三層,一層 二層 三層 見其他登記事項
RPSNMLOJNHMFFEM56CA,,193.73,見其他登記事項,見其他登記事項,105年12月20日,三層,一層 二層 三層 見其他登記事項
RPUNMLOLNHMFFDM96DA,36,93.13,住商用,鋼筋混凝土加強磚造,69年12月27日,二層,一層 二層 騎樓
RPUNMLSJNHMFFAM86DA,11,33.81,住家用,鋼筋混凝土造,94年10月26日,五層,四層
RPUNMLSJNHMFFAM86DA,11,5.06,住家用,鋼筋混凝土造,94年10月26日,五層,
RPTNMLOJNHMFFEM66CA,,190.18,見其他登記事項,見其他登記事項,105年12月20日,三層,一層 二層 三層 見其他登記事項
RPUNMLOJNHMFFEM76CA,,95.32,見其他登記事項,見其他登記事項,105年12月20日,三層,一層 二層 三層 見其他登記事項
RPUNMLOJNHMFFEM76CA,,95.32,見其他登記事項,見其他登記事項,105年12月20日,三層,一層 二層 三層 見其他登記事項
RPQNMLNJNHMFFCM68CA,24,73.14,見其他登記事項,鋼筋混凝土造,82年8月30日,七層,四層
RPQNMLNJNHMFFCM68CA,24,17.55,見其他登記事項,鋼筋混凝土造,82年8月30日,見其他登記事項,
RPPNMLOJNHMFFCM68CA,47,97.22,住家用,鋼筋混凝土加強磚造,58年10月25日,二層,一層 二層 騎樓
RPRNMLPJNHMFFDM09CA,1,185.76,住家用,鋼筋混凝土造,105年3月23日,三層,一層 二層 三層
RPSNMLPJNHMFFDM56CA,1,185.76,住家用,鋼筋混凝土造,105年3月23日,三層,一層 二層 三層
RPTNMLPJNHMFFDM66CA,1,185.76,住家用,鋼筋混凝土造,105年3月23日,三層,一層 二層 三層
RPUNMLPJNHMFFDM76CA,1,185.76,住家用,鋼筋混凝土造,105年3月23日,三層,一層 二層 三層
RPQNMLPKNHMFFBM88CA,1,317.31,見其他登記事項,鋼筋混凝土造,105年4月8日,四層,一層 二層 三層 四層
