編號,車位類別,車位價格,車位面積平方公尺
RPUNMLTKNHMFFAM96CA,升降機械,0,6.88
RPUNMLTKNHMFFAM96CA,升降機械,0,6.87
RPQNMLNLNHMFFAM68CA,升降機械,0,6.88
RPQNMLNLNHMFFAM68CA,升降機械,0,6.87
RPRNMLNLNHMFFAM78CA,升降機械,0,6.88
RPQNMLTJNHMFFBM56CA,升降機械,0,27.62
RPVNMLNLNHMFFBM66CA,坡道平面,750000,33.01
RPWNMLNLNHMFFBM76CA,坡道平面,750000,33.01
RPQNMLPKNHMFFAM78CA,坡道機械,0,
RPTNMLSKNHMFFBM96DA,坡道平面,0,
RPSNMLNLNHMFFAM88CA,升降機械,0,6.87
RPTNMLNLNHMFFAM98CA,升降機械,0,6.87
RPXOMLOLNHMFFAM96CA,升降機械,0,6.87
RPOPMLOLNHMFFAM78CA,升降機械,0,6.87
RPPPMLOLNHMFFAM88CA,升降機械,0,6.87
RPRNMLOKOHMFFCM09CA,其他,0,
