鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
南投市,房地(土地+建物),南投縣南投市中興路468巷1~30號,12.67,其他,,,1051220,土地1建物1車位0,見其他登記事項,15,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0831109,116.51,0,0,2,有,無,無,10000,86,,0.0,0,,RPVNMLSLKILFFAM96CC
南投市,房地(土地+建物),南投縣南投市三興里彰南路一段847巷1~30號,85.0,住,,,1051221,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1020717,146.9,0,0,0,無,無,無,15000,102,,0.0,0,,RPQOMLSLKILFFAM66DC
草屯鎮,房地(土地+建物),南投縣草屯鎮碧山路1171~1200號,58.22,,鄉村區,乙種建築用地,1051225,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,066,109.14,2,2,2,有,無,有,10000,92,,0.0,0,,RPSNMLQJJHMFFBM88CC
草屯鎮,房地(土地+建物),南投縣草屯鎮草溪路747巷31~60號,1150.0,農,,,1060103,土地1建物1車位0,全,2,透天厝,農舍,鋼筋混凝土造,0701221,180.95,3,2,2,有,無,無,18000,99,,0.0,0,,RPOOMLMKJHMFFBM28CC
南投市,房地(土地+建物),南投縣南投市中興路468巷1~30號,12.67,其他,,,1051220,土地1建物1車位0,見其他登記事項,15,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0831109,116.51,0,0,0,無,無,無,10000,86,,0.0,0,,RPUNMLTKJHMFFAM76CC
草屯鎮,房地(土地+建物),南投縣草屯鎮民權東街91~120號,88.0,住,,,1060103,土地1建物1車位0,見其他登記事項,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,1010605,187.77,4,3,3,有,無,無,10000,53,,0.0,0,,RPVNMLQLJHMFFBM76CC
南投市,房地(土地+建物),南投縣南投市彰南路三段2巷6弄1~30號,78.49,農,,,1060207,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0690514,102.48,0,0,0,無,無,無,10000,98,,0.0,0,,RPWNMLRKKHMFFAM86CC
草屯鎮,房地(土地+建物),南投縣草屯鎮炎峰街1~30號,135.58,住,,,1060215,土地1建物1車位0,見其他登記事項,1,店面(店鋪),住商用,鋼筋混凝土造,0960117,368.84,0,0,0,無,無,無,30000,81,,0.0,0,,RPTNMLRKKHMFFBM76DC
草屯鎮,房地(土地+建物),南投縣草屯鎮民權東街61~90號,91.47,住,,,1060220,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1010605,191.87,4,2,3,有,無,無,12000,63,,0.0,0,,RPQNMLKLKHMFFBM38CC
草屯鎮,房地(土地+建物),南投縣草屯鎮碧山路碧華巷1弄1~30號,88.0,,鄉村區,乙種建築用地,1060220,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0681201,110.0,3,3,3,有,無,有,9000,82,,0.0,0,,RPRNMLKLKHMFFBM48CC
草屯鎮,房地(土地+建物),南投縣草屯鎮太平路二段239巷11弄1~30號,82.68,住,,,1060206,土地1建物1車位0,全,1,透天厝,住家用,鋼筋混凝土加強磚造,0560701,47.94,2,2,1,有,無,有,8000,167,,0.0,0,,RPTNMLNLKHMFFBM98CC
草屯鎮,房地(土地+建物),南投縣草屯鎮虎山路672巷1~30號,85.74,住,,,1060323,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0551231,79.31,4,3,2,有,無,無,8000,101,,0.0,0,,RPSNMLTLLHMFFBM96CC
草屯鎮,房地(土地+建物),南投縣草屯鎮碧山路763巷1~30號,67.27,,鄉村區,乙種建築用地,1060314,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0660115,111.38,5,2,2,有,無,無,8000,72,,0.0,0,,RPPNMLSKMHMFFBM66DC
南投市,房地(土地+建物),南投縣南投市彰南路三段647巷1~30號,93.55,住,,,1060417,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0860820,140.53,4,2,3,有,無,無,7000,50,,0.0,0,,RPPNMLKLMHMFFAM38CC
埔里鎮,建物,南投縣埔里鎮南興街1~30號,84.84,住,,,1060501,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0950116,26.62,0,0,0,無,無,無,15000,563,,0.0,0,,RPROMLOJNHMFFCM56CC
