鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
員林市,土地,和平段721~750地號,17.75,住,,,1060125,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,937000,52789,,0.0,0,向政府機關承購之案件。,RPXNMLQKLHMFFDN17CA
福興鄉,房地(土地+建物),彰化縣福興鄉沿海路五段271~300號,29.75,住,,,1060216,土地1建物2車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841026,287.46,6,4,4,有,無,6000000,20872,,0.0,0,,RPUNMLQKOHMFFCN07CA
埔鹽鄉,建物,彰化縣埔鹽鄉好金路1~30號,0.0,,,,1060322,土地0建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050909,158.27,3,2,2,有,無,3000000,18955,,0.0,0,,RPUNMLRJMHMFFHN37CA
埔鹽鄉,建物,彰化縣埔鹽鄉好金路1~30號,0.0,,,,1060322,土地0建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050909,154.4,3,2,2,有,無,3000000,19430,,0.0,0,,RPVNMLRJMHMFFHN47CA
二水鄉,建物,彰化縣二水鄉過圳路571~600號,0.0,,,,1060306,土地0建物1車位0,一層,一層,農舍,見其他登記事項,見其他登記事項,1030320,198.0,0,0,0,無,無,500000,,,0.0,0,,TPPNMLOJNHMFFEN56CA
員林市,房地(土地+建物),彰化縣員林市建國路106巷1~30號,83.59,住,,,1060321,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670203,82.76,4,2,3,有,無,4700000,56791,,0.0,0,含未保存增建一併移轉,RPVNMLLMNHMFFDN86CA
大村鄉,房地(土地+建物),彰化縣大村鄉山腳路31~60號,66.35,,鄉村區,乙種建築用地,1060407,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0960725,145.71,5,2,3,有,無,5800000,39805,,0.0,0,,RPWNMLLMNHMFFDN96CA
員林市,土地,南潭段1201~1230地號,2719.03,,特定農業區,農牧用地,1060405,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23030184,8470,,0.0,0,,RPXNMLLMNHMFFDN07CA
大村鄉,房地(土地+建物),彰化縣大村鄉山腳路31~60號,66.35,,鄉村區,乙種建築用地,1060328,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0960725,145.71,7,1,7,有,無,5930000,40697,,0.0,0,本案土地增值稅全部由買方付擔,RPPNMLMKNHMFFDN78CA
員林市,土地,大峰段181~210地號,2736.64,,山坡地保育區,農牧用地,1060407,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3725000,1361,,0.0,0,,RPOPMLMKNHMFFDN88CA
員林市,土地,三條段781~810地號,64.05,住,,,1060401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4550000,71038,,0.0,0,,RPTNMLPKNHMFFDN86CA
鹿港鎮,土地,上林段541~570地號,1812.5,工,工業區,丁種建築用地,1060417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23426925,12925,,0.0,0,向政府機關承購之案件。,RPOOMLNLNHMFFCN88CA
大村鄉,房地(土地+建物)+車位,彰化縣大村鄉山腳路1~30號,100.24,,鄉村區,乙種建築用地,1060320,土地2建物2車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0850619,241.08,4,2,3,有,無,6500000,26962,一樓平面,0.0,0,,RPPNMLNJNHMFFDN78CA
大村鄉,土地,福興段1471~1500地號,91.35,,一般農業區,農牧用地,1060309,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1435720,15717,,0.0,0,,RPXNMLPJNHMFFDN17CA
鹿港鎮,土地,上林段541~570地號,1812.51,其他,工業區,丁種建築用地,1060417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23413642,12918,,0.0,0,向政府機關承購之案件。,RPPOMLMJNHMFFCN68CA
鹿港鎮,土地,上林段541~570地號,1812.5,其他,工業區,丁種建築用地,1060417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23413513,12918,,0.0,0,向政府機關承購之案件。,RPQOMLMJNHMFFCN78CA
鹿港鎮,土地,上林段541~570地號,2010.91,其他,工業區,丁種建築用地,1060417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25976533,12918,,0.0,0,向政府機關承購之案件。,RPROMLMJNHMFFCN88CA
福興鄉,土地,文昌段241~270地號,2201.83,,特定農業區,農牧用地,1060421,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4174300,1896,,0.0,0,,RPQNMLNJNHMFFCN78CA
福興鄉,房地(土地+建物),彰化縣福興鄉沿海路156巷1~30號,83.92,,鄉村區,乙種建築用地,1060414,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700224,113.95,4,2,3,有,無,4950000,43440,,0.0,0,,RPRNMLNJNHMFFCN88CA
花壇鄉,房地(土地+建物),彰化縣花壇鄉福德街9巷1~30號,169.0,,鄉村區,乙種建築用地,1060406,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0940704,170.26,4,2,4,有,無,5900000,34653,,0.0,0,備註：含未辦保存登記之建築部分一併移轉。,RPVNMLMJNHMFFAN98CA
彰化市,房地(土地+建物),彰化縣彰化市林森路300巷5弄1~30號,112.83,工,,,1060315,土地3建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0960322,240.35,3,2,3,有,無,11200000,46599,,0.0,0,,RPPOMLMJNHMFFAN48CA
彰化市,房地(土地+建物),彰化縣彰化市泰和東街209巷2弄1~30號,108.34,住,,,1060401,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0920306,178.0,3,1,2,有,無,6500000,36517,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUNMLKKNHMFFAN78CA
秀水鄉,房地(土地+建物),彰化縣秀水鄉瓦?街50巷1~30號,173.0,住,,,1060316,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051213,229.77,4,3,5,有,無,12000000,52226,,0.0,0,,RPXNMLLKNHMFFAN56CA
