編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLQKOHMFFCN07CA,21,58.00,見其他登記事項,鋼筋混凝土造,84年10月26日,九層,
RPUNMLQKOHMFFCN07CA,21,106.40,住家用,鋼筋混凝土造,84年10月26日,九層,七層
RPUNMLQKOHMFFCN07CA,21,23.51,見其他登記事項,鋼筋混凝土造,84年10月26日,九層,
RPUNMLQKOHMFFCN07CA,21,99.55,住家用,鋼筋混凝土造,84年10月26日,九層,七層
RPUNMLRJMHMFFHN37CA,1,158.27,住家用,鋼筋混凝土造,105年9月9日,四層,一層 二層 三層 四層
RPVNMLRJMHMFFHN47CA,1,154.40,住家用,鋼筋混凝土造,105年9月9日,四層,一層 二層 三層 四層
TPPNMLOJNHMFFEN56CA,3,198.00,見其他登記事項,見其他登記事項,103年3月20日,一層,一層
RPVNMLLMNHMFFDN86CA,39,82.76,住家用,鋼筋混凝土加強磚造,67年2月3日,二層,一層 二層
RPWNMLLMNHMFFDN96CA,10,145.71,見其他登記事項,鋼筋混凝土造,96年7月25日,三層,一層 二層 三層 屋頂突出物
RPPNMLMKNHMFFDN78CA,10,145.71,住家用,鋼筋混凝土造,96年7月25日,三層,一層 二層 三層 屋頂突出物
RPPNMLNJNHMFFDN78CA,21,2.28,住家用,鋼筋混凝土造,85年6月19日,二層,一層 二層
RPPNMLNJNHMFFDN78CA,21,22.30,停車空間,鋼筋混凝土造,85年6月19日,地下一層,
RPPNMLNJNHMFFDN78CA,21,216.50,住家用,鋼筋混凝土造,85年6月19日,四層,一層 二層 三層 四層
RPRNMLNJNHMFFCN88CA,36,113.95,住家用,加強磚造,70年2月24日,二層,一層 二層 騎樓
RPVNMLMJNHMFFAN98CA,12,170.26,住家用,鋼筋混凝土造,94年7月4日,三層,一層 二層 三層
RPPOMLMJNHMFFAN48CA,10,239.06,見其他登記事項,鋼筋混凝土造,96年3月22日,五層,一層 二層 三層 四層 五層
