編號,車位類別,車位價格,車位面積平方公尺
RPPNMLNJNHMFFDN78CA,一樓平面,0,
RPTOMLPJNHMFFAN56CA,坡道平面,0,
RPTOMLPJNHMFFAN56CA,坡道平面,0,
RPTOMLMKNHMFFDN66CA,坡道平面,0,
RPVOMLSKNHMFFAN17CA,坡道機械,0,
RPVOMLSKNHMFFAN17CA,坡道機械,0,
RPVOMLSKNHMFFAN17CA,坡道機械,0,
RPSOMLSJNHMFFAN76CA,升降機械,0,
RPVNMLNJOHMFFDN86CA,升降平面,0,
RPVNMLNJOHMFFDN86CA,升降平面,0,
RPVNMLNJOHMFFDN86CA,升降平面,0,
RPVNMLNJOHMFFDN86CA,升降平面,0,
RPVNMLNJOHMFFDN86CA,升降平面,0,
RPVNMLNJOHMFFDN86CA,升降平面,0,
RPRNMLKLNHMFFDN88CA,一樓平面,0,
RPQOMLNLNHMFFAN88CA,坡道平面,0,
RPQNMLTJNHMFFEN96CA,一樓平面,0,
RPTOMLSJNHMFFBN07DA,坡道平面,0,
RPPNMLLLNHMFFCN78DA,坡道平面,0,
RPSNMLPJOHMFFAN09CA,升降機械,0,
RPQNMLSKNHMFFAN56CA,升降機械,0,
RPRNMLSKNHMFFAN66CA,坡道機械,0,
RPRNMLNLNHMFFDN56CA,升降機械,0,
RPRNMLNLNHMFFDN56CA,升降機械,0,
RPRNMLRKNHMFFAN56CA,坡道機械,0,
