編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLMKKILFFDN09DC,50,120.00,住家用,磚造,55年7月1日,二層,
RPTNMLSLKILFFCN17DC,10,380.56,農舍,鋼筋混凝土造,96年4月26日,三層,
RPPNMLRJJHMFFHN76CC,23,159.60,住家用,鋼筋混凝土造,83年3月16日,三層,
RPQNMLRJJHMFFHN86CC,1,272.98,見其他登記事項,鋼筋混凝土造,104年9月4日,三層,
RPVNMLNLJHMFFAN09CC,35,20.00,農舍,磚造,71年4月9日,一層,
RPUNMLOLKHMFFDN96DC,36,194.42,住商用,鋼筋混凝土造,70年2月20日,三層,
RPUNMLRKLHMFFDN17CC,26,386.54,住工用,鋼筋混凝土造,80年7月30日,四層,
RPOOMLSKMHMFFAN56CC,50,134.34,住商用,鋼筋混凝土加強磚造,56年7月16日,二層,
RPPNMLOLMHMFFEN66CC,29,259.89,見其他登記事項,鋼造,76年10月17日,一層,
RPOOMLSJNHMFFDN86CC,4,241.94,見其他登記事項,鋼筋混凝土造,102年4月30日,五層,
