鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新竹市,建物,新竹市新竹市延平路三段247巷31~60號,0.0,,,,1060301,土地0建物1車位0,一層,五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041224,69.81,0,0,0,無,有,3500000,50136,升降機械,8.65,0,,RPVPMLRKLHMFFAO07CA
新竹市,建物,新竹市新竹市延平路三段247巷31~60號,0.0,,,,1060301,土地0建物1車位0,一層,五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041224,68.19,0,0,0,無,有,3500000,51327,升降機械,8.65,0,,SPVPMLRKLHMFFAO17CA
新竹市,建物,新竹市新竹市力行一路1~30號,0.0,,,,1060302,土地0建物1車位0,一層，二層，三層，四層，五層，六層，地下一層,六層,廠辦,見其他登記事項,鋼筋混凝土造,0900523,20123.02,0,0,0,無,有,356000000,17691,,0.0,0,,RPRPMLMLLHMFFAO88CA
新竹市,建物,新竹市新竹市園區二路1~30號,0.0,,,,1051216,土地0建物4車位0,一層，二層，三層，四層,四層,廠辦,工業用,鋼筋混凝土造,0840912,20073.92,0,0,0,無,有,412000000,20524,,0.0,0,,RPRNMLKMLHMFFAO58CA
新竹市,房地(土地+建物),新竹市新竹市自由路95巷18弄1~30號,5.2,商,,,1060419,土地1建物1車位0,四層,八層,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0950415,33.989999999999995,1,1,1,有,有,2500000,73551,,0.0,0,,RPVNMLLJNHMFFAO98CA
新竹市,房地(土地+建物),新竹市新竹市中華路一段181~210號,212.9,,特定農業區,甲種建築用地,1060314,土地0建物1車位0,全,四層,透天厝,住家用,加強磚造,0631205,259.56,0,0,0,無,無,10000000,38527,,0.0,0,為尊重權利人隱私權主張地政士無法入屋現場勘查由權利人提供建物現況格局實際資訊供地政士申報登錄 本件權利人共計3人…本件為親友間買賣其價格可能有異於市場行情,RPRNMLNJNHMFFAO78CA
新竹市,房地(土地+建物),新竹市新竹市興濱路29巷1~30號,67.25,住,,,1060329,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0951215,217.29,3,2,4,有,無,8400000,38658,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVOMLNJNHMFFAO66CA
新竹市,土地,水源段31~60地號,1182.34,,特定農業區,農牧用地,1060413,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22890000,19360,,0.0,0,,RPXNMLOJNHMFFAO86CA
新竹市,房地(土地+建物)+車位,新竹市新竹市慈祥路61~90號,18.56,住,,,1060327,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000324,159.67,3,2,2,有,無,10400000,65130,坡道平面,0.0,0,含增建或未登記建物-陽台外移。,RPWPMLOJNHMFFAO96CA
新竹市,房地(土地+建物),新竹市新竹市延平路一段261巷14弄1~30號,69.0,住,,,1060330,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700725,92.4,3,2,2,有,無,5500000,59524,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSOMLNJNHMFFAO98CA
