編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVPMLRKLHMFFAO07CA,1,19.71,共有部分,鋼筋混凝土造,104年12月24日,五層,
RPVPMLRKLHMFFAO07CA,1,50.10,見其他登記事項,鋼筋混凝土造,104年12月24日,五層,一層
SPVPMLRKLHMFFAO17CA,1,48.76,見其他登記事項,鋼筋混凝土造,104年12月24日,五層,一層
SPVPMLRKLHMFFAO17CA,1,19.43,共有部分,鋼筋混凝土造,104年12月24日,五層,
RPRPMLMLLHMFFAO88CA,16,11433.59,見其他登記事項,鋼筋混凝土造,90年5月23日,六層,一層 二層 三層 四層 五層 六層 地下一層
RPRPMLMLLHMFFAO88CA,16,8689.43,見其他登記事項,鋼筋混凝土造,90年5月23日,六層,
RPRNMLKMLHMFFAO58CA,21,3552.90,工業用,鋼筋混凝土造,84年9月12日,四層,一層 二層
RPRNMLKMLHMFFAO58CA,21,1705.27,共有部分,鋼筋混凝土造,84年9月12日,四層,
RPRNMLKMLHMFFAO58CA,21,1570.46,見其他登記事項,鋼筋混凝土造,84年9月12日,四層,三層
RPRNMLKMLHMFFAO58CA,21,799.34,共有部分,鋼筋混凝土造,84年9月12日,四層,
RPRNMLKMLHMFFAO58CA,21,1583.00,見其他登記事項,鋼筋混凝土造,84年9月12日,四層,四層
RPRNMLKMLHMFFAO58CA,21,799.34,共有部分,鋼筋混凝土造,84年9月12日,四層,
RPRNMLKMLHMFFAO58CA,21,6706.36,工業用,鋼筋混凝土造,84年9月12日,四層,一層 二層 三層 四層
RPRNMLKMLHMFFAO58CA,21,3357.24,共有部分,鋼筋混凝土造,84年9月12日,四層,
RPVNMLLJNHMFFAO98CA,11,22.72,辦公室,鋼筋混凝土造,95年4月15日,八層,四層
RPVNMLLJNHMFFAO98CA,11,5.05,見其他登記事項,鋼筋混凝土造,95年4月15日,八層,
RPVNMLLJNHMFFAO98CA,11,6.23,見其他登記事項,鋼筋混凝土造,95年4月15日,八層,
RPRNMLNJNHMFFAO78CA,42,259.56,住家用,加強磚造,63年12月5日,四層,一層 二層 三層 四層 騎樓
RPVOMLNJNHMFFAO66CA,10,217.29,見其他登記事項,鋼筋混凝土造,95年12月15日,四層,一層 二層 三層 四層 見其他登記事項
RPWPMLOJNHMFFAO96CA,6,.02,見其他登記事項,鋼筋混凝土造,100年3月24日,十二層,一層
RPWPMLOJNHMFFAO96CA,6,22.51,共有部分,鋼筋混凝土造,100年3月24日,十二層,
RPWPMLOJNHMFFAO96CA,6,94.19,見其他登記事項,鋼筋混凝土造,100年3月24日,十二層,十層
RPWPMLOJNHMFFAO96CA,6,28.91,共有部分,鋼筋混凝土造,100年3月24日,十二層,
RPWPMLOJNHMFFAO96CA,6,14.05,共有部分,鋼筋混凝土造,100年3月24日,十二層,
RPSOMLNJNHMFFAO98CA,36,92.40,住家用,加強磚造,70年7月25日,二層,一層 二層
RPPOMLPJNHMFFAO88CA,2,87.58,辦公室,鋼筋混凝土造,104年7月8日,五層,五層 見其他登記事項
RPPOMLPJNHMFFAO88CA,2,19.76,共有部分,鋼筋混凝土造,104年7月8日,五層,
RPPOMLPJNHMFFAO88CA,2,18.32,共有部分,鋼筋混凝土造,104年7月8日,五層,
RPQNMLRJNHMFFAO09CA,,81.86,住家用,加強磚造,,二層,一層 二層
RPPNMLSJNHMFFAO09CA,5,300.93,見其他登記事項,鋼骨鋼筋混凝土造,101年6月26日,二十五層,三層
RPPNMLSJNHMFFAO09CA,5,134.68,共有部分,鋼骨鋼筋混凝土造,101年6月26日,二十五層,
RPPNMLSJNHMFFAO09CA,5,89.75,共有部分,鋼骨鋼筋混凝土造,101年6月26日,二十五層,
RPQQMLSJNHMFFAO86CA,6,.02,見其他登記事項,鋼筋混凝土造,100年3月24日,十二層,一層
RPQQMLSJNHMFFAO86CA,6,22.51,共有部分,鋼筋混凝土造,100年3月24日,十二層,
RPQQMLSJNHMFFAO86CA,6,94.19,見其他登記事項,鋼筋混凝土造,100年3月24日,十二層,十層
RPQQMLSJNHMFFAO86CA,6,28.91,共有部分,鋼筋混凝土造,100年3月24日,十二層,
RPQQMLSJNHMFFAO86CA,6,14.05,共有部分,鋼筋混凝土造,100年3月24日,十二層,
RPPNMLTJNHMFFAO56CA,19,185.19,住家用,鋼筋混凝土造,86年10月30日,三層,一層 二層 三層
RPQOMLKKNHMFFAO58CA,21,247.69,住家用,鋼筋混凝土造,85年2月5日,三層,一層 二層 三層 地下層
RPQOMLKKNHMFFAO58CA,21,.58,見使用執照,鋼筋混凝土造,84年10月9日,一層,一層 地下層
RPQOMLKKNHMFFAO58CA,20,.06,見其他登記事項,鋼筋混凝土造,85年12月13日,十五層,一層
RPQOMLKKNHMFFAO58CA,20,.01,共有部分,鋼筋混凝土造,85年12月13日,十五層,
RPQOMLKKNHMFFAO58CA,20,.00,共有部分,鋼筋混凝土造,85年12月13日,十五層,
RPQOMLKKNHMFFAO58CA,20,.07,見其他登記事項,鋼筋混凝土造,85年12月13日,十五層,一層
RPQOMLKKNHMFFAO58CA,20,.01,共有部分,鋼筋混凝土造,85年12月13日,十五層,
RPQOMLKKNHMFFAO58CA,20,.00,共有部分,鋼筋混凝土造,85年12月13日,十五層,
RPQOMLKKNHMFFAO58CA,20,3.56,見其他登記事項,鋼筋混凝土造,85年12月13日,十五層,一層 二層
RPQOMLKKNHMFFAO58CA,20,.34,共有部分,鋼筋混凝土造,85年12月13日,十五層,
RPQOMLKKNHMFFAO58CA,20,.93,共有部分,鋼筋混凝土造,85年12月13日,十五層,
RPOPMLLKNHMFFAO58CA,9,275.18,見其他登記事項,鋼筋混凝土造,96年9月20日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPVOMLMKNHMFFAO66CA,9,77.39,見其他登記事項,鋼筋混凝土造,97年5月20日,十四層,四層
RPVOMLMKNHMFFAO66CA,9,11.54,見其他登記事項,鋼筋混凝土造,97年5月20日,十四層,
RPVOMLMKNHMFFAO66CA,9,3.38,見其他登記事項,鋼筋混凝土造,97年5月20日,十四層,
RPVOMLMKNHMFFAO66CA,9,41.28,見其他登記事項,鋼筋混凝土造,97年5月20日,十四層,
RPRPMLMKNHMFFAO98CA,,239.66,見其他登記事項,鋼筋混凝土造,105年10月24日,四層,一層 二層 三層 四層 見其他登記事項
RPXPMLPKNHMFFAO27CA,,68.95,見其他登記事項,鋼筋混凝土造,105年9月30日,十三層,四層
RPXPMLPKNHMFFAO27CA,,13.57,共有部分,鋼筋混凝土造,105年9月30日,十三層,
RPXPMLPKNHMFFAO27CA,,46.97,共有部分,鋼筋混凝土造,105年9月30日,十四層,
RPOQMLPKNHMFFAO09CA,,69.16,見其他登記事項,鋼筋混凝土造,105年9月30日,十三層,五層
RPOQMLPKNHMFFAO09CA,,13.61,共有部分,鋼筋混凝土造,105年9月30日,十三層,
RPOQMLPKNHMFFAO09CA,,47.03,共有部分,鋼筋混凝土造,105年9月30日,十四層,
RPPQMLPKNHMFFAO56CA,,112.80,見其他登記事項,鋼筋混凝土造,105年9月30日,十二層,三層
RPPQMLPKNHMFFAO56CA,,22.20,共有部分,鋼筋混凝土造,105年9月30日,十二層,
RPPQMLPKNHMFFAO56CA,,87.09,共有部分,鋼筋混凝土造,105年9月30日,十四層,
RPPPMLQKNHMFFAO56CA,19,32.58,見其他登記事項,鋼筋混凝土造,87年1月8日,九層,三層
RPPPMLQKNHMFFAO56CA,19,7.40,共有部分,鋼筋混凝土造,87年1月8日,九層,
RPPPMLQKNHMFFAO56CA,19,3.15,共有部分,鋼筋混凝土造,87年1月8日,九層,
RPPPMLQKNHMFFAO56CA,19,4.49,見使用執照,鋼筋混凝土造,87年1月8日,九層,
RPROMLRKNHMFFAO76CA,13,56.69,見其他登記事項,鋼筋混凝土造,93年9月15日,十四層,十二層
RPROMLRKNHMFFAO76CA,13,28.15,見其他登記事項,鋼筋混凝土造,93年9月15日,十四層,
RPROMLRKNHMFFAO76CA,13,28.15,見其他登記事項,鋼筋混凝土造,93年9月15日,十四層,
RPROMLRKNHMFFAO76CA,13,56.69,見其他登記事項,鋼筋混凝土造,93年9月15日,十四層,十二層
RPPPMLTKNHMFFAO86CA,22,39.81,住家用,鋼筋混凝土造,83年11月14日,五層,三層
RPPPMLTKNHMFFAO86CA,22,10.36,共有部分,鋼筋混凝土造,83年11月14日,五層,
RPPPMLTKNHMFFAO86CA,22,23.06,共有部分,鋼筋混凝土造,83年11月14日,五層,
RPVOMLTKNHMFFAO37CA,25,32.15,住家用,鋼筋混凝土造,80年12月31日,十二層,十二層
RPVOMLTKNHMFFAO37CA,25,11.88,共有部分,鋼筋混凝土造,80年12月31日,十二層,
RPPNMLLLNHMFFAO58CA,20,.44,見其他登記事項,鋼筋混凝土造,86年5月15日,五層,一層
RPPNMLLLNHMFFAO58CA,20,42.59,共有部分,鋼筋混凝土造,86年5月15日,五層,
RPPNMLLLNHMFFAO58CA,19,7.05,共有部分,鋼筋混凝土造,87年8月26日,十層,
RPPNMLLLNHMFFAO58CA,19,64.57,住家用,鋼筋混凝土造,87年8月26日,十層,三層
RPPNMLLLNHMFFAO58CA,19,8.64,共有部分,鋼筋混凝土造,87年8月26日,十層,
RPQNMLNLNHMFFAO88CA,1,157.22,見其他登記事項,鋼筋混凝土造,104年11月27日,七層,一層 見其他登記事項
RPQNMLNLNHMFFAO88CA,1,65.90,共有部分,鋼筋混凝土造,104年11月27日,七層,
RPWOMLNLNHMFFAO96CA,23,89.64,住家用,鋼筋混凝土造,83年1月31日,七層,七層
RPWOMLNLNHMFFAO96CA,23,12.39,共有部分,鋼筋混凝土造,83年1月31日,七層,
RPWOMLNLNHMFFAO96CA,23,11.85,共有部分,鋼筋混凝土造,83年1月31日,七層,
RPUNMLPLNHMFFAO86CA,4,92.97,見其他登記事項,鋼筋混凝土造,102年5月13日,十四層,三層
RPUNMLPLNHMFFAO86CA,4,18.49,共有部分,鋼筋混凝土造,102年5月13日,十四層,
RPUNMLPLNHMFFAO86CA,4,43.18,共有部分,鋼筋混凝土造,102年5月13日,十四層,
RPXOMLPLNHMFFAO27CA,2,144.98,見其他登記事項,鋼筋混凝土造,103年12月23日,二層,一層 二層
SPXOMLPLNHMFFAO37CA,2,169.78,見其他登記事項,鋼筋混凝土造,103年12月23日,二層,一層 二層
TPXOMLPLNHMFFAO47CA,2,184.48,見其他登記事項,鋼筋混凝土造,103年12月23日,二層,一層 二層
RPWPMLMKNHMFFAO86CA,11,106.86,住家用,鋼筋混凝土造,94年11月18日,七層,五層
RPWPMLMKNHMFFAO86CA,11,18.28,見其他登記事項,鋼筋混凝土造,94年11月18日,七層,
RPWPMLMKNHMFFAO86CA,11,24.35,見其他登記事項,鋼筋混凝土造,94年11月18日,七層,
RPSNMLMKNHMFFAO88CA,33,85.00,住家用,加強磚造,73年9月24日,二層,一層 二層
RPTPMLMKNHMFFAO56CA,23,90.06,住家用,鋼筋混凝土造,83年5月12日,十三層,十一層
RPTPMLMKNHMFFAO56CA,23,12.91,共有部分,鋼筋混凝土造,83年5月12日,十三層,
RPTPMLMKNHMFFAO56CA,23,16.39,共有部分,鋼筋混凝土造,83年5月12日,十三層,
RPTPMLLKNHMFFAO09CA,3,589.74,見其他登記事項,鋼筋混凝土造,103年6月30日,四層,一層 二層 三層 四層 地下一層 見其他登記事項
RPUPMLPJNHMFFAO86CA,23,13.45,共有部分,鋼筋混凝土造,83年3月23日,七層,
RPUPMLPJNHMFFAO86CA,23,25.68,住家用,鋼筋混凝土造,83年3月23日,七層,六層
RPPPMLSJNHMFFAO66CA,6,.10,見其他登記事項,鋼筋混凝土造,100年10月1日,十五層,一層
RPPPMLSJNHMFFAO66CA,6,33.06,共有部分,鋼筋混凝土造,100年10月1日,二十層,
RPPPMLSJNHMFFAO66CA,6,95.70,見其他登記事項,鋼筋混凝土造,100年10月1日,二十層,十四層
RPPPMLSJNHMFFAO66CA,6,17.98,共有部分,鋼筋混凝土造,100年10月1日,二十層,
RPPPMLSJNHMFFAO66CA,6,22.01,共有部分,鋼筋混凝土造,100年10月1日,二十層,
RPVNMLOJNHMFFAO66CA,4,219.85,見其他登記事項,鋼筋混凝土造,102年7月10日,二十六層,二十層
RPVNMLOJNHMFFAO66CA,4,55.61,共有部分,鋼筋混凝土造,102年7月10日,二十六層,
RPVNMLOJNHMFFAO66CA,4,41.75,共有部分,鋼筋混凝土造,102年7月10日,二十六層,
RPVNMLOJNHMFFAO66CA,4,.02,辦公室,鋼筋混凝土造,102年7月10日,二十六層,一層
RPVNMLOJNHMFFAO66CA,4,55.14,共有部分,鋼筋混凝土造,102年7月10日,二十六層,
RPUOMLNJNHMFFAO56CA,21,89.55,住家用,鋼筋混凝土造,85年5月22日,二十層,十八層
RPUOMLNJNHMFFAO56CA,21,20.36,共有部分,鋼筋混凝土造,85年5月22日,二十層,
RPUOMLNJNHMFFAO56CA,21,9.78,共有部分,鋼筋混凝土造,85年5月22日,二十層,
RPXPMLOJNHMFFAO07CA,1,105.44,見其他登記事項,鋼筋混凝土造,104年12月8日,二十七層,二十層
RPXPMLOJNHMFFAO07CA,1,25.97,共有部分,鋼筋混凝土造,104年12月8日,二十七層,
RPXPMLOJNHMFFAO07CA,1,56.72,共有部分,鋼筋混凝土造,104年12月8日,二十七層,
RPWOMLNJNHMFFAO76CA,23,102.29,住家用,鋼筋混凝土造,82年11月10日,五層,五層
RPWOMLNJNHMFFAO76CA,23,10.81,共有部分,鋼筋混凝土造,82年11月10日,五層,
RPWOMLNJNHMFFAO76CA,23,38.03,共有部分,鋼筋混凝土造,82年11月10日,五層,
RPTPMLNJNHMFFAO56CA,1,330.55,見其他登記事項,鋼筋混凝土造,105年3月1日,四層,一層 二層 三層 四層 見其他登記事項
RPQOMLNJNHMFFAO78CA,8,25.49,辦公室,鋼筋混凝土造,97年11月1日,七層,七層
RPQOMLNJNHMFFAO78CA,8,5.47,見其他登記事項,鋼筋混凝土造,97年11月1日,七層,
RPQOMLNJNHMFFAO78CA,8,15.33,見其他登記事項,鋼筋混凝土造,97年11月1日,七層,
RPROMLNJNHMFFAO88CA,,111.88,住家用,加強磚造,,二層,一層 二層 騎樓
RPRNMLOJNHMFFAO88CA,21,77.57,住家用,鋼筋混凝土造,85年4月1日,七層,三層
RPRNMLOJNHMFFAO88CA,21,30.41,見其他登記事項,鋼筋混凝土造,85年4月1日,七層,
RPUNMLOJNHMFFAO56CA,1,83.47,辦公室,鋼筋混凝土造,105年10月4日,三十層,八層
RPUNMLOJNHMFFAO56CA,1,20.93,共有部分,鋼筋混凝土造,105年10月4日,三十層,
RPUNMLOJNHMFFAO56CA,1,3.15,共有部分,鋼筋混凝土造,105年10月4日,三十層,
RPUNMLOJNHMFFAO56CA,1,34.62,共有部分,鋼筋混凝土造,105年10月4日,三十層,
RPUNMLOJNHMFFAO56CA,1,.01,辦公室,鋼筋混凝土造,105年10月4日,三十層,一層
RPUNMLOJNHMFFAO56CA,1,19.94,共有部分,鋼筋混凝土造,105年10月4日,三十層,
