編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPVNMLLJNHMFFAO98CA,民主段一小段,5.20,都市：商
RPRNMLNJNHMFFAO78CA,溪橋段,212.90,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVOMLNJNHMFFAO66CA,南華段,16.11,都市：住
RPVOMLNJNHMFFAO66CA,南華段,51.14,都市：住
RPXNMLOJNHMFFAO86CA,水源段,1182.34,非都市：特定農業區 ; 非都市編定：農牧用地
RPWPMLOJNHMFFAO96CA,國道段,18.56,都市：住
RPSOMLNJNHMFFAO98CA,崙子段,69.00,都市：住
RPPOMLPJNHMFFAO88CA,南勢段,40.96,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLPJNHMFFAO88CA,中寮段,113.80,都市：住
RPQNMLRJNHMFFAO09CA,民富段,81.00,都市：住
RPPNMLSJNHMFFAO09CA,科園段龍山小段,74.05,都市：住
RPQQMLSJNHMFFAO86CA,國道段,18.56,都市：住
RPPNMLTJNHMFFAO56CA,五福段,37.20,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLTJNHMFFAO56CA,五福段,86.18,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLKKNHMFFAO58CA,東香段,.97,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLKKNHMFFAO58CA,東香段,.05,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLKKNHMFFAO58CA,東香段,1.65,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLKKNHMFFAO58CA,東香段,1.32,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLKKNHMFFAO58CA,東香段,183.44,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPOPMLLKNHMFFAO58CA,金山段,99.00,都市：住
RPVOMLMKNHMFFAO66CA,西濱段,11.23,都市：住
RPRPMLMKNHMFFAO98CA,虎山段,103.32,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRPMLMKNHMFFAO98CA,虎山段,.57,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXPMLPKNHMFFAO27CA,唐高段,22.94,都市：住
RPXPMLPKNHMFFAO27CA,唐高段,.69,都市：住
RPXPMLPKNHMFFAO27CA,唐高段,.45,都市：住
RPOQMLPKNHMFFAO09CA,唐高段,23.01,都市：住
RPOQMLPKNHMFFAO09CA,唐高段,.69,都市：住
RPOQMLPKNHMFFAO09CA,唐高段,.45,都市：住
RPPQMLPKNHMFFAO56CA,唐高段,37.55,都市：住
RPPQMLPKNHMFFAO56CA,唐高段,1.13,都市：住
RPPQMLPKNHMFFAO56CA,唐高段,.73,都市：住
RPPPMLQKNHMFFAO56CA,東山段一小段,.31,都市：住
RPPPMLQKNHMFFAO56CA,東山段一小段,7.22,都市：其他
RPROMLRKNHMFFAO76CA,武陵段,22.54,都市：住
RPROMLRKNHMFFAO76CA,武陵段,22.54,都市：住
RPPPMLTKNHMFFAO86CA,南湖段,.21,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPPMLTKNHMFFAO86CA,南湖段,.11,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPPMLTKNHMFFAO86CA,南湖段,20.85,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVOMLTKNHMFFAO37CA,民主段一小段,3.87,都市：商
RPPNMLLLNHMFFAO58CA,南湖段,41.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLLLNHMFFAO58CA,南湖段,.24,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLNLNHMFFAO88CA,光武段,2.25,都市：住
RPQNMLNLNHMFFAO88CA,光武段,26.79,都市：住
RPQNMLNLNHMFFAO88CA,光武段,12.18,都市：其他
RPQNMLNLNHMFFAO88CA,光武段,18.63,都市：住
RPWOMLNLNHMFFAO96CA,新興段一小段,22.66,都市：住
RPUNMLPLNHMFFAO86CA,國道段,19.95,都市：住
RPXOMLPLNHMFFAO27CA,民主段,104.00,都市：住
SPXOMLPLNHMFFAO37CA,民主段,116.00,都市：住
TPXOMLPLNHMFFAO47CA,民主段,11.00,都市：住
TPXOMLPLNHMFFAO47CA,民主段,135.00,都市：住
RPWPMLMKNHMFFAO86CA,崙子段,26.57,都市：住
RPWPMLMKNHMFFAO86CA,崙子段,.93,都市：住
RPSNMLMKNHMFFAO88CA,明湖段,78.44,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLMKNHMFFAO56CA,仙水段,15.49,都市：商
RPTPMLLKNHMFFAO09CA,明湖段,524.77,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUPMLTJNHMFFAO27CA,新興段,10.00,都市：其他
RPQPMLTJNHMFFAO86CA,海山段,2626.93,非都市：山坡地保育區 ; 非都市編定：林業用地
RPUPMLPJNHMFFAO86CA,南湖段,1.92,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUPMLPJNHMFFAO86CA,南湖段,.97,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUPMLPJNHMFFAO86CA,南湖段,5.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUPMLPJNHMFFAO86CA,南湖段,3.09,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUPMLPJNHMFFAO86CA,南湖段,.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUPMLPJNHMFFAO86CA,南湖段,.83,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPPMLSJNHMFFAO66CA,光武段,22.46,都市：住
RPVNMLOJNHMFFAO66CA,關東段,2.10,都市：住
RPVNMLOJNHMFFAO66CA,長春段,45.94,都市：住
RPUOMLNJNHMFFAO56CA,民主段,8.66,都市：住
RPXPMLOJNHMFFAO07CA,國道段,14.54,都市：商
RPUNMLPJNHMFFAO66CA,信義段,70.00,都市：其他
RPWOMLNJNHMFFAO76CA,介壽段,30.34,都市：住
RPTPMLNJNHMFFAO56CA,東濱段,140.17,都市：住
RPQOMLNJNHMFFAO78CA,自由段,7.35,都市：住
RPROMLNJNHMFFAO88CA,自由段,86.00,都市：住
RPRNMLOJNHMFFAO88CA,崙子段,20.71,都市：住
RPUNMLOJNHMFFAO56CA,光武段,13.76,都市：商
RPOOMLOJNHMFFAO68CA,柑林段,68.62,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPOOMLOJNHMFFAO68CA,柑林段,36.88,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPOMLOJNHMFFAO78CA,柑林段,104.50,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPOMLOJNHMFFAO78CA,柑林段,38.05,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLOJNHMFFAO88CA,柑林段,86.69,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLOJNHMFFAO88CA,柑林段,36.88,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPROMLOJNHMFFAO98CA,民主段,102.00,都市：住
RPOOMLPJNHMFFAO78CA,國道段,17.90,都市：住
RPSPMLPJNHMFFAO66CA,國道段,13.61,都市：住
RPSQMLSJNHMFFAO07CA,新興段一小段,21.74,都市：住
RPSOMLKKNHMFFAO78CA,水源段,.25,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTOMLKKNHMFFAO88CA,水源段,.25,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOQMLLKNHMFFAO68CA,大庄段,1.62,都市：其他
RPOQMLLKNHMFFAO68CA,大庄段,4.93,都市：住
RPUPMLKKNHMFFAO09CA,中山段三小段,2.10,都市：商
RPUPMLKKNHMFFAO09CA,中山段三小段,6.90,都市：商
RPUPMLKKNHMFFAO09CA,中山段三小段,8.10,都市：商
RPUNMLMKNHMFFAO09CA,聚吉段,2.24,都市：住
RPUNMLMKNHMFFAO09CA,聚吉段,48.06,都市：住
RPWOMLMKNHMFFAO76CA,南湖段,.29,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPWOMLMKNHMFFAO76CA,南湖段,.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPWOMLMKNHMFFAO76CA,南湖段,3.24,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
