鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
新竹市,建物,新竹市新竹市公道五路二段91~120號,0.0,工,,,1051109,土地0建物4車位0,見其他登記事項,16,廠辦,見其他登記事項,見其他登記事項,0990607,1152.95,0,0,0,無,有,無,435963,378,,0.0,0,,RPXQMLTJKILFFAO57CC
新竹市,建物,新竹市新竹市埔前路271~300號,0.0,工,,,1051128,土地0建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0980325,334.1,2,1,2,有,無,無,47000,141,,0.0,0,,RPTOMLOKKILFFAO56CC
新竹市,建物,新竹市新竹市中華路六段335巷31~60號,0.0,,山坡地保育區,丙種建築用地,1051209,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1041130,308.54,4,2,3,有,有,無,19000,62,,0.0,0,,RPOOMLOLKILFFAO78CC
新竹市,建物,新竹市新竹市力行六路1~30號,0.0,其他,,,1051117,土地0建物0車位0,見其他登記事項,10,廠辦,見其他登記事項,鋼筋混凝土造,0930305,7017.1,0,0,0,無,無,無,2423962,345,,0.0,0,租賃層次:3樓.5樓.6樓.7樓.8樓170個坡道平面車位,RPXNMLQLKILFFAO17CC
新竹市,建物,新竹市新竹市食品路451~480號,0.0,住,,,1051215,土地0建物0車位0,一層,8,套房(1房1廳1衛),住商用,鋼筋混凝土造,0890721,45.69,1,1,1,有,有,無,15000,328,,0.0,0,,RPQPMLTJJHMFFAO66CC
新竹市,建物,新竹市新竹市中華路一段105巷3弄31~60號,0.0,,鄉村區,乙種建築用地,1051215,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0641029,83.25,2,1,2,有,無,無,12000,144,,0.0,0,,RPRPMLTJJHMFFAO76CC
新竹市,建物,新竹市新竹市西大路780巷13弄1~30號,0.0,住,,,1051214,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,,95.85,5,2,3,有,無,有,15000,156,,0.0,0,,RPUOMLLKJHMFFAO88CC
新竹市,房地(土地+建物),新竹市新竹市和福街1~30號,61.0,住,,,1060105,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0500401,91.82,0,0,0,無,無,無,50000,545,,0.0,0,,RPUOMLMKJHMFFAO98CC
新竹市,房地(土地+建物),新竹市新竹市食品路181~210號,82.0,商,,,1060210,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0720506,242.61,5,3,3,有,無,無,50000,206,,0.0,0,,RPPNMLSKKHMFFAO66EC
新竹市,建物,新竹市新竹市林森路210巷1~30號,0.0,住,,,1060319,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,,98.96,4,2,2,有,無,有,15000,152,,0.0,0,,RPXNMLQJMHMFFAO17CC
新竹市,房地(土地+建物),新竹市新竹市牛埔路211~240號,1443.0,工,,,1060303,土地3建物1車位0,見其他登記事項,2,工廠,工業用,,0680308,1102.48,0,0,0,無,無,無,120000,,,0.0,0,,RPSPMLQJMHMFFAO86CC
新竹市,房地(土地+建物),新竹市新竹市集福街31~60號,30.0,住,,,1060314,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0640718,51.26,3,0,3,有,無,無,16000,312,,0.0,0,,RPTOMLMKMHMFFAO56CC
新竹市,建物,新竹市新竹市東大路三段421~450號,0.0,住,,,1060403,土地0建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0920703,261.14,6,2,3,有,無,無,27000,103,,0.0,0,,RPPOMLLJNHMFFAO68CC
新竹市,建物,新竹市新竹市少年街31~60號,0.0,商,,,1060410,土地0建物1車位0,八層,9,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830131,54.92,1,1,1,有,有,無,9000,164,,0.0,0,,RPQOMLMJNHMFFAO98DC
新竹市,建物,新竹市新竹市埔頂二路1~30號,0.0,住,,,1060425,土地0建物1車位1,一層,23,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040114,206.78,0,0,0,無,有,無,60000,290,坡道平面,0.0,0,,RPTNMLNJNHMFFAO56CC
新竹市,建物,新竹市新竹市中華路二段312巷1~30號,0.0,商,,,1060417,土地0建物0車位0,一層,3,套房(1房1廳1衛),見其他登記事項,見其他登記事項,,22.96,1,1,1,有,無,有,6300,274,,0.0,0,,RPTNMLOJNHMFFAO66CC
新竹市,建物,新竹市新竹市食品路326巷7弄1~30號,0.0,住,,,1060406,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,90.41,3,2,2,有,無,無,10000,111,,0.0,0,,RPSOMLOJNHMFFAO66CC
新竹市,建物,新竹市新竹市中華路二段481~510號,0.0,商,,,1060407,土地0建物1車位0,九層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,0851105,47.82,1,1,1,有,有,有,8500,178,,0.0,0,租金含管理費網路第四台,RPVOMLOJNHMFFAO96CC
新竹市,建物,新竹市新竹市民族路178巷1~30號,0.0,住,,,1060407,土地0建物1車位0,五層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831029,33.65,1,1,1,有,無,有,7000,208,,0.0,0,租金含管理費,RPWOMLOJNHMFFAO07CC
新竹市,建物,新竹市新竹市林森路301~330號,0.0,商,,,1060406,土地0建物1車位0,八層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850913,35.54,1,1,1,有,有,有,6500,183,,0.0,0,租金含管理費,RPXOMLOJNHMFFAO17CC
新竹市,建物,新竹市新竹市經國路二段91~120號,0.0,商,,,1060408,土地0建物1車位0,四層,12,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0860715,30.14,1,1,1,有,有,有,7000,232,,0.0,0,租金含管理費網路第四台,RPPPMLOJNHMFFAO09CC
新竹市,建物,新竹市新竹市牛埔路14巷6弄1~30號,0.0,住,,,1060420,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830603,85.94,2,2,1,有,有,無,12000,140,,0.0,0,租金含管理費,RPQPMLOJNHMFFAO56CC
新竹市,建物,新竹市新竹市崧嶺路25巷1~30號,0.0,住,,,1060420,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041130,99.09,2,2,1,有,無,無,12000,121,,0.0,0,租金含管理費,RPRPMLOJNHMFFAO66CC
新竹市,建物,新竹市新竹市中華路三段1~30號,0.0,商,,,1060421,土地0建物1車位0,七層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0890417,39.32,1,1,1,有,有,有,8000,203,,0.0,0,租金含管理費第四台網路,RPSPMLOJNHMFFAO76CC
新竹市,建物,新竹市新竹市竹光路一段61~90號,0.0,住,,,1060420,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,322.93,4,3,3,有,無,無,40000,124,,0.0,0,,RPTPMLOJNHMFFAO86CC
新竹市,建物,新竹市新竹市東門街34巷31~60號,0.0,商,,,1060501,土地0建物1車位0,二十二層,25,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011015,188.89999999999998,3,2,2,有,有,有,40000,212,,0.0,0,,RPTNMLTJNHMFFAO17CC
新竹市,建物,新竹市新竹市中華路二段623巷1~30號,0.0,商,,,1060422,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,加強磚造,,99.62,3,2,2,有,無,無,14000,141,,0.0,0,,RPVNMLTJNHMFFAO37CC
新竹市,建物,新竹市新竹市北大路92巷36弄1~30號,0.0,住,,,1060416,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,91.78999999999999,3,2,2,有,無,無,11000,120,,0.0,0,,RPPOMLTJNHMFFAO86CC
新竹市,建物,新竹市新竹市光復路二段331~360號,0.0,住,,,1060406,土地0建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0601213,181.38,0,0,0,無,無,無,136224,751,,0.0,0,租金含二代健保補充保費及租賃所得稅,RPSNMLKKNHMFFAO88CC
新竹市,建物,新竹市新竹市東南街28巷1~30號,0.0,商,,,1060424,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760702,104.17,3,2,2,有,無,無,15000,144,,0.0,0,,RPWNMLKKNHMFFAO66CC
新竹市,房地(土地+建物),新竹市新竹市光復路一段421~450號,93.97,住,,,1060501,土地2建物1車位0,一層,4,店面(店鋪),住商用,加強磚造,,91.71,0,1,1,有,無,無,20000,218,,0.0,0,,RPROMLKKNHMFFAO88CC
新竹市,建物,新竹市新竹市北大路92巷31~60號,33.43,住,,,1060503,土地0建物1車位0,八層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041005,223.94,4,2,2,有,有,有,42000,188,,0.0,0,,RPOPMLKKNHMFFAO68CC
新竹市,建物,新竹市新竹市北新街51巷1~30號,0.0,住,,,1060501,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0670314,110.08,3,3,2,有,無,無,15000,136,,0.0,0,,RPVNMLLKNHMFFAO66CC
新竹市,建物,新竹市新竹市光華南街66知1~30號,0.0,住,,,1060504,土地0建物1車位0,一層,7,店面(店鋪),住家用,鋼筋混凝土造,0820828,208.6,2,1,1,有,無,無,49382,237,,0.0,0,,RPOOMLLKNHMFFAO68CC
新竹市,建物,新竹市新竹市北大路1~30號,0.0,商,,,1060505,土地0建物1車位0,七層,28,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,0960703,95.61,2,2,2,有,有,有,20000,209,,0.0,0,租金包含管理費,RPSOMLLKNHMFFAO09CC
新竹市,建物,新竹市新竹市東大路三段301~330號,0.0,住,,,1060412,土地0建物1車位1,八層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041207,132.76999999999998,2,2,1,有,有,無,14000,105,坡道平面,34.91,0,租金含管理費2000元及一個平面車位,RPXOMLLKNHMFFAO96CC
新竹市,建物,新竹市新竹市東山街1~30號,0.0,其他,,,1060425,土地0建物0車位0,四層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0670717,23.54,1,1,1,有,無,有,6800,289,,0.0,0,,RPSOMLMKNHMFFAO56CC
新竹市,建物,新竹市新竹市東大路三段439巷17弄1~30號,0.0,住,,,1060426,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0681107,101.7,2,1,2,有,無,無,11000,108,,0.0,0,,RPUOMLMKNHMFFAO76CC
