編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLNLKILFFCQ86CA,,193.86,住家用,鋼筋混凝土造,105年7月29日,四層,一層 二層 三層 四層
RPVNMLSLKILFFCQ37CA,,180.87,住家用,鋼筋混凝土造,105年7月29日,四層,一層 二層 三層 四層
RPWNMLNLJHMFFBQ86DA,21,303.40,住家用,鋼筋混凝土加強磚造,85年7月1日,四層,一層 二層 三層 四層
RPSNMLPKKHMFFCQ86EA,39,90.87,住家用,鋼筋混凝土加強磚造,67年3月15日,二層,一層 二層 電梯樓梯間
RPSNMLPKKHMFFCQ86EA,38,86.30,住家用,鋼筋混凝土加強磚造,67年11月21日,二層,一層 二層
RPQNMLRLMHMFFCQ96CA,34,58.62,見其他登記事項,鋼筋混凝土造,72年2月4日,三層,三層
RPQNMLRLMHMFFCQ96CA,34,7.21,共有部分,鋼筋混凝土造,72年2月4日,三層,
RPQNMLRLMHMFFCQ96CA,34,1.07,共有部分,鋼筋混凝土造,72年2月4日,三層,
RPRNMLSLMHMFFCQ17CA,42,77.68,住家用,鋼筋混凝土加強磚造,63年11月13日,二層,一層 二層 騎樓
RPQNMLPLMHMFFCQ96EA,6,197.32,見其他登記事項,見其他登記事項,100年2月24日,二層,一層 二層
SPQNMLPLMHMFFCQ07EA,6,156.51,見其他登記事項,見其他登記事項,100年2月24日,一層,一層
RPRNMLMJNHMFFCQ09CA,15,103.63,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,五層
RPRNMLMJNHMFFCQ09CA,15,11.73,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
RPRNMLMJNHMFFCQ09CA,15,.60,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
RPSNMLNJNHMFFCQ66CA,13,158.64,見其他登記事項,鋼筋混凝土造,93年9月6日,三層,一層 二層 三層 電梯樓梯間
RPTNMLNJNHMFFCQ76CA,13,158.64,見其他登記事項,鋼筋混凝土造,93年9月6日,三層,一層 二層 三層 電梯樓梯間
RPTNMLMJNHMFFBQ56CA,9,419.77,見其他登記事項,鋼筋混凝土造,97年4月8日,四層,一層 二層 三層 四層 地下一層
RPPOMLMJNHMFFDQ09CA,18,66.28,見其他登記事項,鋼筋混凝土造,88年5月31日,三層,一層 二層 三層
RPPOMLMJNHMFFDQ09CA,18,66.28,見其他登記事項,鋼筋混凝土造,88年5月31日,三層,一層 二層 三層
RPOOMLNJNHMFFDQ09CA,1,155.77,住家用,見其他登記事項,105年2月19日,三層,一層 二層 三層 見其他登記事項
RPPNMLOJNHMFFDQ56CA,36,147.86,住家用,鋼筋混凝土加強磚造,70年1月21日,二層,一層 二層
RPTOMLPJNHMFFDQ17CA,36,67.80,住家用,磚造,70年6月15日,一層,一層
RPSNMLPKNHMFFCQ96CA,,181.93,見其他登記事項,鋼筋混凝土造,106年2月20日,三層,一層 二層 三層 見其他登記事項
RPTNMLPKNHMFFCQ07CA,,182.50,見其他登記事項,鋼筋混凝土造,106年2月20日,三層,一層 二層 三層 見其他登記事項
RPUNMLPKNHMFFCQ17CA,,182.50,見其他登記事項,鋼筋混凝土造,106年2月20日,三層,一層 二層 三層 見其他登記事項
RPVNMLPKNHMFFCQ27CA,,182.50,見其他登記事項,鋼筋混凝土造,106年2月20日,三層,一層 二層 三層 見其他登記事項
RPWNMLPKNHMFFCQ37CA,,184.89,見其他登記事項,鋼筋混凝土造,106年2月20日,三層,一層 二層 三層 見其他登記事項
RPPNMLRKNHMFFCQ86CA,1,194.82,見其他登記事項,鋼筋混凝土造,105年8月22日,三層,一層 二層 三層 見其他登記事項
RPXNMLPKNHMFFCQ47CA,,181.93,見其他登記事項,鋼筋混凝土造,106年2月20日,三層,一層 二層 三層 見其他登記事項
RPOOMLPKNHMFFCQ66CA,,182.50,見其他登記事項,鋼筋混凝土造,106年2月20日,三層,一層 二層 三層 見其他登記事項
RPPOMLPKNHMFFCQ76CA,,204.39,住家用,鋼筋混凝土造,106年2月20日,四層,一層 二層 三層 四層
RPQOMLPKNHMFFCQ86CA,,203.36,見其他登記事項,鋼筋混凝土造,106年2月20日,三層,一層 二層 三層 見其他登記事項
RPQNMLOJNHMFFDQ66CA,1,166.78,住家用,鋼筋混凝土造,105年7月19日,三層,一層 二層 三層
RPOOMLMJNHMFFDQ98CA,22,251.79,住商用,鋼筋混凝土造,83年9月10日,五層,一層 二層 三層 四層 五層
RPPNMLQKNHMFFBQ66CA,12,17.64,住家用,鋼筋混凝土造,94年10月3日,十層,八層
RPPNMLQKNHMFFBQ66CA,12,9.30,見其他登記事項,鋼筋混凝土造,94年10月3日,十層,
RPPNMLQKNHMFFBQ66CA,12,.11,見其他登記事項,鋼筋混凝土造,94年10月3日,十層,
RPQNMLQKNHMFFBQ76CA,12,15.99,住家用,鋼筋混凝土造,94年10月3日,十層,八層
RPQNMLQKNHMFFBQ76CA,12,7.89,見其他登記事項,鋼筋混凝土造,94年10月3日,十層,
RPQNMLQKNHMFFBQ76CA,12,.09,見其他登記事項,鋼筋混凝土造,94年10月3日,十層,
RPROMLPJNHMFFCQ86CA,,171.02,見其他登記事項,鋼筋混凝土造,105年12月28日,三層,一層 二層 三層 見其他登記事項
RPUNMLNJNHMFFCQ86CA,15,103.85,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,三層
RPUNMLNJNHMFFCQ86CA,15,15.15,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
