鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉萬丹路二段281巷1~30號,465.0,,特定農業區,丁種建築用地,1051001,土地2建物1車位0,一層,一層,工廠,見其他登記事項,見其他登記事項,1050617,280.73,0,0,1,有,無,12220546,,,0.0,0,,RPTOMLSJOHMFFAT57CA
枋寮鄉,建物,屏東縣枋寮鄉儲運路91~120號,0.0,,,,1051121,土地0建物1車位0,全,三層,透天厝,住宅,鋼筋混凝土造,1050606,198.25,4,2,5,有,無,0,0,,0.0,0,,RPSNMLMKKILFFFT96CA
里港鄉,建物,屏東縣里港鄉和平路101巷1~30號,0.0,,,,1051212,土地0建物1車位0,全,三層,透天厝,住宅,鋼筋混凝土造,1050303,197.66,3,2,2,有,無,3560000,18011,,0.0,0,,RPQNMLOJJHMFFBT98CA
萬丹鄉,建物,屏東縣萬丹鄉光明街122巷1~30號,0.0,,,,1051203,土地0建物1車位0,全,二層,透天厝,住宅,鋼筋混凝土造,1041118,174.88,4,2,5,有,無,2600000,14867,,0.0,0,,RPROMLTJJHMFFAT96CA
屏東巿,建物,屏東縣屏東市武威街129巷1~30號,0.0,,,,1051220,土地0建物1車位0,全,三層,透天厝,住宅,鋼筋混凝土造,1031009,201.91,5,2,4,有,無,4800000,23773,,0.0,0,,RPVOMLNKJHMFFAT86CA
里港鄉,房地(土地+建物),屏東縣里港鄉載南路1~30號,4751.0,,一般農業區,農牧用地,1051112,土地1建物1車位0,見其他登記事項,一層,其他,見其他登記事項,見其他登記事項,0930713,3045.24,0,0,0,有,無,31000000,10180,,0.0,0,畜牧設施(內含豬舍4棟、管理室1間、堆肥舍1間、倉儲設施1間、廢水處理設施1間、水塔1個),RPQNMLMKJHMFFBT88CA
內埔鄉,建物,屏東縣內埔鄉中林路1141~1170號,0.0,,,,1060123,土地0建物1車位0,一層，騎樓,一層,工廠,見其他登記事項,見其他登記事項,0630911,2314.89,0,0,0,無,無,4370000,,,0.0,0,,RPVNMLSJLHMFFCT57CA
屏東巿,建物,屏東縣屏東市崇蘭里廣東路991~1020號,0.0,,,,1060118,土地0建物1車位0,一層，二層，三層，四層，屋頂突出物，騎樓,四層,店面(店鋪),店舖、住宅,鋼筋混凝土造,1041224,293.19,7,1,5,有,無,11070000,37757,,0.0,0,,RPSPMLLJLHMFFAT56CA
潮州鎮,建物,屏東縣潮州鎮榮田路91~120號,0.0,,,,1051225,土地0建物1車位0,全,二層,透天厝,店舖、住宅,加強磚造,0650223,103.4,4,2,3,有,無,1800000,17408,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSOMLLMLHMFFCT96CA
里港鄉,房地(土地+建物),屏東縣里港鄉茄苳路1~30號,5066.0,,一般農業區,農牧用地,1060104,土地1建物1車位0,見其他登記事項,一層,其他,見其他登記事項,見其他登記事項,0921105,3259.39,0,0,0,無,無,21000000,6443,,0.0,0,,RPVNMLLLLHMFFBT96CA
