編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTOMLSJOHMFFAT57CA,,280.73,見其他登記事項,見其他登記事項,105年6月17日,一層,一層
RPSNMLMKKILFFFT96CA,,198.25,住宅,鋼筋混凝土造,105年6月6日,三層,一層 二層 三層
RPQNMLOJJHMFFBT98CA,1,197.66,住宅,鋼筋混凝土造,105年3月3日,三層,一層 二層 三層
RPROMLTJJHMFFAT96CA,1,174.88,住宅,鋼筋混凝土造,104年11月18日,二層,一層 二層 屋頂突出物
RPVOMLNKJHMFFAT86CA,2,201.91,住宅,鋼筋混凝土造,103年10月9日,三層,一層 二層 三層
RPQNMLMKJHMFFBT88CA,12,3045.24,見其他登記事項,見其他登記事項,93年7月13日,一層,見其他登記事項
RPVNMLSJLHMFFCT57CA,42,2314.89,見其他登記事項,見其他登記事項,63年9月11日,一層,一層 騎樓
RPSPMLLJLHMFFAT56CA,1,293.19,店舖、住宅,鋼筋混凝土造,104年12月24日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPSOMLLMLHMFFCT96CA,41,103.40,店舖、住宅,加強磚造,65年2月23日,二層,一層 二層 騎樓
RPVNMLLLLHMFFBT96CA,13,3259.39,見其他登記事項,見其他登記事項,92年11月5日,一層,見其他登記事項
RPUNMLTLLHMFFCT87DA,49,190.78,住宅,見使用執照,57年1月15日,一層,一層
RPUNMLRLLHMFFDT67CA,36,148.03,店舖、住宅,鋼筋混凝土造,70年7月1日,四層,一層 二層 三層 四層
RPPOMLTLLHMFFCT37CA,,197.10,住宅,見其他登記事項,105年12月28日,三層,一層 二層 三層
RPQNMLLLMHMFFBT66DA,41,265.76,見其他登記事項,鋼筋混凝土加強磚造,65年7月30日,一層,一層
RPQNMLLLMHMFFBT66DA,41,76.26,見其他登記事項,加強磚造,65年7月30日,一層,一層
RPPNMLKKMHMFFBT88CA,2,239.27,住宅,鋼筋混凝土造,104年6月8日,二層,見其他登記事項
RPOOMLLKNHMFFDT66CA,,177.28,住宅,鋼筋混凝土構造,105年12月15日,三層,一層 二層 三層 屋頂突出物
RPSNMLQKNHMFFDT47CA,,177.28,住宅,鋼筋混凝土構造,105年12月15日,三層,一層 二層 三層 屋頂突出物
RPUNMLQKNHMFFDT67CA,,177.28,住宅,鋼筋混凝土構造,105年12月15日,三層,一層 二層 三層 屋頂突出物
RPRNMLLKNHMFFDT86CA,,177.28,住宅,鋼筋混凝土構造,105年12月15日,三層,一層 二層 三層 屋頂突出物
RPTNMLLKNHMFFDT07CA,,177.28,住宅,鋼筋混凝土構造,105年12月15日,三層,一層 二層 三層 屋頂突出物
RPVNMLLKNHMFFDT27CA,,177.28,住宅,鋼筋混凝土構造,105年12月15日,三層,一層 二層 三層 屋頂突出物
RPWNMLPKNHMFFBT57CA,22,108.12,住家用,鋼筋混凝土造,84年5月15日,六層,三層
RPWNMLPKNHMFFBT57CA,22,34.40,見其他登記事項,鋼筋混凝土造,84年5月15日,六層,
RPSNMLPJNHMFFBT07CA,12,257.59,見其他登記事項,鋼筋混凝土造,94年1月18日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPSOMLLKNHMFFDT07CA,,177.28,住宅,鋼筋混凝土構造,105年12月15日,三層,一層 二層 三層 屋頂突出物
