鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
屏東巿,房地(土地+建物),屏東縣屏東市廣東路1531~1560號,32.62,住,,,1051210,土地1建物1車位0,全,5,透天厝,店舖、住宅,鋼筋混凝土造,0841201,115.84,4,0,2,有,無,無,12000,104,,0.0,0,,RPPOMLKMKILFFAT09CC
屏東巿,房地(土地+建物),屏東縣屏東市公安街61~90號,47.0,住,,,1060123,土地1建物1車位0,全,2,透天厝,店舖、住宅,鋼筋混凝土加強磚造,0650709,81.0,3,1,2,有,無,無,6500,80,,0.0,0,,RPWNMLRJKHMFFAT47CC
屏東巿,房地(土地+建物),屏東縣屏東市信義路271~300號,95.0,住,,,1060203,土地3建物1車位0,見其他登記事項,3,店面(店鋪),店舖、住宅,鋼筋混凝土造,0670905,191.76,0,0,0,無,無,無,15000,78,,0.0,0,,RPWNMLRKKHMFFAT57CC
屏東巿,房地(土地+建物),屏東縣屏東市永福路31~60號,76.0,商,,,1060216,土地1建物1車位0,全,4,透天厝,店舖、住宅,鋼筋混凝土造,0800608,99.68,0,0,0,無,無,無,60000,602,,0.0,0,租賃層次1+2樓,RPUPMLNJLHMFFAT17CC
屏東巿,房地(土地+建物),屏東縣屏東市華正路211~240號,79.0,住,,,1060309,土地1建物1車位0,見其他登記事項,2,店面(店鋪),店舖、住宅,加強磚造,0670712,108.0,0,0,0,無,無,無,13000,120,,0.0,0,,RPXNMLOKLHMFFAT47CC
屏東巿,房地(土地+建物),屏東縣屏東市仁愛路61~90號,147.0,商,,,1060307,土地1建物1車位0,全,2,透天厝,店舖,鋼筋混凝土造,0840601,265.15,0,0,0,無,無,無,68182,257,,0.0,0,,RPVNMLQKLHMFFAT47CC
屏東巿,房地(土地+建物)+車位,屏東縣屏東市機場北路601~630號,17.4,住,,,1060410,土地1建物1車位1,見其他登記事項,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0881204,122.11,3,2,2,有,無,有,16000,131,一樓平面,7.26,0,,RPWNMLLKMHMFFAT17CC
潮州鎮,土地,中洲段1141~1170地號,169.56,其他,,,1060428,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,20000,118,,0.0,0,,RPTOMLLJNHMFFCT17CC
潮州鎮,土地,新生段1141~1170地號,539.54,工,,,1060427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,14000,26,,0.0,0,,RPSNMLNJNHMFFCT17CC
潮州鎮,土地,新生段1141~1170地號,539.54,工,,,1060503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,8000,15,,0.0,0,,RPQNMLOJNHMFFCT07CC
屏東巿,房地(土地+建物),屏東縣屏東市和生路二段241~270號,29.42,其他,,,1060504,土地1建物1車位0,二層,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0720315,87.8,2,2,2,有,無,有,9000,103,,0.0,0,,RPPNMLQJNHMFFAT96CC
九如鄉,房地(土地+建物),屏東縣九如鄉三民路211~240號,4830.0,,鄉村區,丁種建築用地,1060411,土地1建物1車位0,見其他登記事項,2,廠辦,見其他登記事項,鋼筋混凝土加強磚造,,1207.34,0,0,0,無,無,無,40000,33,,0.0,0,,RPOOMLSJNHMFFAT17CC
屏東巿,房地(土地+建物),屏東縣屏東市民生路181~210號,56.0,商,,,1060508,土地1建物1車位0,見其他登記事項,4,店面(店鋪),店舖、住宅,鋼筋混凝土加強磚造,0550202,221.76,4,3,4,有,無,有,22000,99,,0.0,0,,RPTNMLTJNHMFFAT67CC
