編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPOMLKMKILFFAT09CC,21,115.84,店舖、住宅,鋼筋混凝土造,84年12月1日,五層,
RPWNMLRJKHMFFAT47CC,41,81.00,店舖、住宅,鋼筋混凝土加強磚造,65年7月9日,二層,
RPWNMLRKKHMFFAT57CC,38,191.76,店舖、住宅,鋼筋混凝土造,67年9月5日,三層,
RPUPMLNJLHMFFAT17CC,26,99.68,店舖、住宅,鋼筋混凝土造,80年6月8日,四層,
RPXNMLOKLHMFFAT47CC,39,108.00,店舖、住宅,加強磚造,67年7月12日,二層,
RPVNMLQKLHMFFAT47CC,22,265.15,店舖,鋼筋混凝土造,84年6月1日,二層,
RPWNMLLKMHMFFAT17CC,17,92.34,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPWNMLLKMHMFFAT17CC,17,29.77,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPPNMLQJNHMFFAT96CC,34,87.80,見其他登記事項,鋼筋混凝土造,72年3月15日,五層,
RPOOMLSJNHMFFAT17CC,,1207.34,見其他登記事項,鋼筋混凝土加強磚造,,二層,
RPTNMLTJNHMFFAT67CC,51,221.76,店舖、住宅,鋼筋混凝土加強磚造,55年2月2日,四層,
