編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPOMLKMKILFFAT09CC,勝興段,32.62,都市：住
RPWNMLRJKHMFFAT47CC,明正段,47.00,都市：住
RPWNMLRKKHMFFAT57CC,斯文段,25.00,都市：住
RPWNMLRKKHMFFAT57CC,斯文段,8.00,都市：住
RPWNMLRKKHMFFAT57CC,斯文段,62.00,都市：住
RPUPMLNJLHMFFAT17CC,舊街段一小段,76.00,都市：商
RPXNMLOKLHMFFAT47CC,溝美段,79.00,都市：住
RPVNMLQKLHMFFAT47CC,公園段二小段,147.00,都市：商
RPWNMLLKMHMFFAT17CC,勝興段,17.40,都市：住
RPTOMLLJNHMFFCT17CC,中洲段,169.56,都市：其他
RPSNMLNJNHMFFCT17CC,新生段,539.54,都市：工
RPQNMLOJNHMFFCT07CC,新生段,539.54,都市：工
RPPNMLQJNHMFFAT96CC,萬年段,29.42,都市：其他
RPOOMLSJNHMFFAT17CC,九如段,4830.00,非都市：鄉村區 ; 非都市編定：丁種建築用地
RPTNMLTJNHMFFAT67CC,楠樹腳段一小段,56.00,都市：商
