編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLLLOHMFFAU37CA,35,88.11,住家用,鋼筋混凝土加強磚造,66年11月18日,二層,一層 二層
RPUNMLRKNHMFFAU57CA,23,138.15,住家用,鋼筋混凝土造,82年12月29日,三層,一層 二層 三層
RPWOMLMLNHMFFAU47CA,20,221.43,農舍,鋼筋混凝土造,85年11月2日,二層,一層 二層 屋頂突出物
RPPOMLNJNHMFFAU66CA,21,36.69,住家用,鋼筋混凝土造,85年3月6日,五層,四層
RPPOMLNJNHMFFAU66CA,21,8.33,共有部份,鋼筋混凝土造,85年3月6日,五層,
RPQRMLOJNHMFFAU17CA,31,125.60,住家用,鋼筋混凝土造,74年12月20日,二層,一層 二層 屋頂突出物
RPWPMLOJNHMFFAU57CA,38,75.76,住家用,鋼筋混凝土造,68年5月12日,四層,二層
RPWPMLOJNHMFFAU57CA,38,1.96,共有部份,鋼筋混凝土造,68年5月12日,四層,
RPWPMLOJNHMFFAU57CA,38,4.50,共有部份,鋼筋混凝土造,68年3月13日,四層,
RPTOMLMKNHMFFAU07CA,44,122.24,住商用,鋼筋混凝土造,62年1月29日,三層,一層 二層 三層 騎樓 地下層
RPPNMLTKNHMFFCU47CA,41,196.44,住商用,鋼筋混凝土加強磚造,65年8月20日,二層,一層 二層 騎樓
RPXOMLNJNHMFFAU57DA,37,120.71,住家用,鋼筋混凝土造,69年1月17日,四層,二層
RPXOMLNJNHMFFAU57DA,37,6.14,共有部份,鋼筋混凝土造,69年1月17日,四層,
RPRNMLTKNHMFFAU57DA,38,136.07,住家用,鋼筋混凝土加強磚造,68年6月6日,二層,一層 二層 屋頂突出物
RPPRMLPJNHMFFAU17CA,,305.27,農舍,鋼筋混凝土造,106年2月3日,三層,一層 二層 三層 屋頂突出物
RPXPMLOJNHMFFAU67CA,29,45.39,商業用,鋼筋混凝土造,77年2月8日,六層,六層
RPXPMLOJNHMFFAU67CA,29,15.17,共有部份,鋼筋混凝土造,77年2月8日,六層,
RPWQMLPJNHMFFAU77CA,,449.29,農舍,鋼筋混凝土造,106年3月9日,四層,一層 二層 三層 四層 屋頂突出物
RPROMLNJNHMFFAU86CA,23,106.64,住家用,鋼筋混凝土造,83年4月12日,七層,五層
RPROMLNJNHMFFAU86CA,23,30.15,共有部份,鋼筋混凝土造,83年4月23日,七層,
RPTOMLNJNHMFFAU07CA,1,323.81,住家用,鋼筋混凝土造,105年1月29日,四層,一層 二層 三層 四層 見其他登記事項
RPXNMLNJNHMFFAU37CA,,193.52,住家用,鋼筋混凝土造,105年10月21日,四層,一層 二層 三層 四層
RPOOMLRKNHMFFAU07CA,30,119.06,住家用,鋼筋混凝土造,76年9月10日,三層,一層 二層 三層 屋頂突出物 騎樓
RPPOMLRKNHMFFAU17CA,35,95.54,住商用,鋼筋混凝土加強磚造,70年12月4日,二層,一層 二層 騎樓
RPSOMLRKNHMFFAU47CA,20,61.82,住家用,鋼筋混凝土造,85年10月29日,十六層,二層
RPSOMLRKNHMFFAU47CA,20,14.47,停車空間,鋼筋混凝土造,85年10月29日,十六層,
RPSOMLRKNHMFFAU47CA,20,10.82,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPSOMLRKNHMFFAU47CA,20,16.99,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPTNMLOJNHMFFCU27CA,28,190.69,見其他登記事項,鋼筋混凝土造,78年2月3日,三層,一層 二層 三層 屋頂突出物 騎樓
RPQPMLPLNHMFFAU27CA,24,70.75,住家用,鋼筋混凝土造,82年10月6日,六層,六層
RPQPMLPLNHMFFAU27CA,24,25.85,共有部份,鋼筋混凝土造,82年10月6日,六層,
RPSNMLLJOHMFFAU76CA,20,116.56,商業用,鋼筋混凝土造,86年1月13日,七層,一層 見其他登記事項
RPSNMLLJOHMFFAU76CA,20,48.93,共有部份,鋼筋混凝土造,86年1月13日,七層,
RPVNMLSKNHMFFAU77CA,38,47.06,住家用,鋼筋混凝土加強磚造,68年9月22日,一層,一層
RPPNMLTKNHMFFAU27CA,40,111.56,住商用,鋼筋混凝土加強磚造,66年1月1日,二層,一層 二層 騎樓
RPVRMLPJNHMFFAU77CA,,17.69,住家用,見其他登記事項,,一層,一層
RPQOMLTJNHMFFAU37CA,39,81.26,住家用,鋼筋混凝土加強磚造,67年2月25日,二層,一層 二層
RPQOMLSJNHMFFAU27CA,36,188.93,住商用,鋼筋混凝土造,70年6月26日,三層,一層 二層 三層 屋頂突出物 騎樓
RPOOMLMKNHMFFAU56CA,33,93.39,住商用,鋼筋混凝土加強磚造,72年12月10日,二層,一層 二層 騎樓
RPORMLKKNHMFFAU66CA,23,47.18,住家用,鋼筋混凝土造,83年7月29日,九層,五層
RPORMLKKNHMFFAU66CA,23,16.08,共有部份,鋼筋混凝土造,83年7月29日,九層,
RPORMLKKNHMFFAU66CA,23,47.18,住家用,鋼筋混凝土造,83年7月29日,九層,五層
RPORMLKKNHMFFAU66CA,23,16.08,共有部份,鋼筋混凝土造,83年7月29日,九層,
RPTRMLPJNHMFFAU57CA,22,193.70,住商用,鋼筋混凝土造,83年11月30日,三層,一層 二層 三層 騎樓
RPVNMLSJNHMFFAU67CA,34,87.12,住家用,鋼筋混凝土加強磚造,71年6月11日,二層,一層 二層
