編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPWNMLLLOHMFFAU37CA,仁禮段,75.00,都市：住
RPPNMLMJNHMFFCU66CA,瑞燕段,605.30,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLMJNHMFFCU86CA,瑞良段,36.56,都市：其他
RPRNMLMJNHMFFCU86CA,瑞良段,168.92,都市：商
RPSNMLMJNHMFFCU96CA,滿自然段,1038.23,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLMJNHMFFCU96CA,滿自然段,947.08,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLMJNHMFFCU96CA,滿自然段,455.85,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLOJNHMFFCU17CA,玉城段,185.00,都市：其他
RPSNMLOJNHMFFCU17CA,玉城段,432.00,都市：其他
RPSNMLOJNHMFFCU17CA,玉城段,318.00,都市：其他
RPSNMLOJNHMFFCU17CA,玉城段,608.00,都市：其他
RPUNMLRKNHMFFAU57CA,樹林段,114.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWOMLMLNHMFFAU47CA,福南段,2508.56,非都市：特定農業區 ; 非都市編定：農牧用地
RPOOMLMJNHMFFAU09CA,民勤段,24.00,都市：住
RPOOMLMJNHMFFAU09CA,民勤段,2.00,都市：其他
RPPOMLNJNHMFFAU66CA,嘉北段,14.28,都市：住
RPQRMLOJNHMFFAU17CA,自強段,132.00,都市：住
RPWPMLOJNHMFFAU57CA,民勤段,27.00,都市：住
RPTNMLTJNHMFFAU57CA,平和段,783.17,都市：農
RPTOMLMKNHMFFAU07CA,民享段,37.00,都市：其他
RPPNMLTKNHMFFCU47CA,瑞新段,193.00,都市：住
RPXOMLNJNHMFFAU57DA,明義段,54.75,都市：住
RPXOMLNJNHMFFAU57DA,明義段,1.00,都市：住
RPRNMLTKNHMFFAU57DA,樹人段,109.00,都市：住
RPQNMLLKNHMFFAU76EA,東升段,395.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLNJNHMFFCU27EA,玉城段,5.00,都市：商
RPPPMLKKNHMFFAU56CA,太昌段,661.00,都市：農
RPUNMLMKNHMFFAU07CA,慈安段,1993.00,都市：其他
RPUNMLMKNHMFFAU07CA,慈安段,44.00,都市：其他
RPPRMLPJNHMFFAU17CA,吳全段,1059.39,都市：農
RPUNMLSJNHMFFAU57CA,平和段,589.88,都市：農
RPXPMLOJNHMFFAU67CA,富國段,11.83,都市：商
RPWQMLPJNHMFFAU77CA,福德段,969.00,都市：農
RPROMLNJNHMFFAU86CA,富國段,22.56,都市：住
RPOOMLOJNHMFFAU66CA,慈惠段,1092.02,都市：住
RPOOMLOJNHMFFAU66CA,慈惠段,973.78,都市：住
RPSOMLMJNHMFFAU86CA,福德段,10.00,都市：其他
RPSOMLMJNHMFFAU86CA,福德段,8.50,都市：其他
RPSOMLMJNHMFFAU86CA,福德段,38.00,都市：農
RPSOMLMJNHMFFAU86CA,福德段,1.58,都市：其他
RPSOMLMJNHMFFAU86CA,福德段,.08,都市：其他
RPSOMLMJNHMFFAU86CA,主商段,112.50,都市：商
RPSOMLMJNHMFFAU86CA,主商段,2.00,都市：其他
RPSOMLMJNHMFFAU86CA,主商段,14.50,都市：商
RPSOMLMJNHMFFAU86CA,福德段,76.50,都市：農
RPSOMLMJNHMFFAU86CA,福德段,46.50,都市：農
