鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉安路一段61~90號,101.0,住,,,1050418,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0811009,147.91,2,0,3,有,無,有,20000,135,,0.0,0,,RPUOMLTJKILFFAU67CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國風街1~30號,7.68,住,,,1051115,土地1建物1車位0,見其他登記事項,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821214,48.65,3,1,2,有,無,有,10000,206,,0.0,0,,RPSOMLOKKILFFAU07CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國福街301~330號,172.0,,一般農業區,甲種建築用地,1051214,土地1建物1車位0,見其他登記事項,1,廠辦,住家用,見其他登記事項,0870224,105.17,0,0,0,無,無,無,25000,238,,0.0,0,,RPRNMLLLKILFFAU66CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中正路42巷1~30號,123.0,住,,,1051219,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0960117,272.83,5,2,4,有,無,有,23000,84,,0.0,0,,RPUNMLLLKILFFAU96CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路391~420號,61.0,商,,,1051220,土地2建物1車位0,見其他登記事項,2,店面(店鋪),住家用,木造,,110.88,0,0,0,無,無,無,20000,180,,0.0,0,,RPWOMLTLKILFFAU08CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海六街1~30號,76.0,住,,,1051201,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0820819,269.33,0,0,0,無,無,無,16000,59,,0.0,0,,RPQPMLTLKILFFAU67DC
花蓮市,房地(土地+建物),花蓮縣花蓮市莊敬路301~330號,97.0,住,,,1060101,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,鋼筋混凝土造,0760319,121.51,3,2,2,有,無,無,18000,148,,0.0,0,,RPSNMLPJJHMFFAU86CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中福路145巷1~30號,70.0,住,,,1051219,土地1建物1車位0,全,1,透天厝,住家用,見其他登記事項,0600715,56.24,1,1,1,有,無,有,11000,196,,0.0,0,,RPTNMLTJJHMFFAU37CC
花蓮市,房地(土地+建物),花蓮縣花蓮市鎮國街31~60號,55.0,商,,,1051226,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0620625,112.14,4,2,3,有,無,無,12000,107,,0.0,0,,RPXNMLKKJHMFFAU96CC
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉平和村豐坪路三段811巷1~30號,2325.06,農,,,1051223,土地1建物1車位0,見其他登記事項,3,農舍,農舍,鋼筋混凝土造,0950613,728.57,30,1,30,有,無,有,115000,,,0.0,0,,RPOOMLKKJHMFFAU78CC
吉安鄉,房地(土地+建物),花蓮縣花蓮市吉安路1~30號,113.0,住,,,1060109,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0801119,235.03,3,3,2,有,無,無,15000,64,,0.0,0,,RPUOMLMKJHMFFAU96CC
花蓮市,房地(土地+建物),花蓮縣花蓮市富祥街121~150號,103.0,住,,,1060105,土地2建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0770111,209.36,7,2,2,有,無,有,15000,72,,0.0,0,,RPRNMLQKJHMFFAU96CC
花蓮市,房地(土地+建物),花蓮縣花蓮市民德四街1~30號,499.0,住,,,1060106,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0561206,133.81,5,2,3,有,無,無,25000,187,,0.0,0,,RPPNMLRKJHMFFAU86CC
新城鄉,房地(土地+建物),花蓮縣新城鄉光復路91~120號,109.0,住,,,1060107,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0680511,224.11,0,0,3,有,無,無,10000,45,,0.0,0,,RPXNMLNLJHMFFAU37CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉福興三街48巷1~30號,45.0,住,,,1060107,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0671201,88.58,3,1,2,有,無,無,10000,113,,0.0,0,,RPOOMLNLJHMFFAU56CC
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕二街163巷1~30號,88.0,住,,,1060119,土地1建物1車位0,全,3,透天厝,商業用,鋼筋混凝土造,0911028,146.37,3,2,3,有,無,有,15000,102,,0.0,0,,RPVNMLPLJHMFFAU37CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南海四街246巷3弄1~30號,57.0,,鄉村區,乙種建築用地,1060112,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0640601,148.77,4,2,2,有,無,無,10000,67,,0.0,0,,RPTNMLKKKHMFFAU66CC
