¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¥xªF¥«,«Øª«,»OªF¿¤»OªF¥«Â×¿³¸ô61~90¸¹,0.0,,,,1050207,¤g¦a0«Øª«1¨®¦ì0,¤@¼h¡A¤G¼h¡A¤T¼h¡A¥|¼h¡A¤­¼h¡A¤»¼h¡A¤C¼h¡A¨£¨ä¥Lµn°O¨Æ¶µ,¤C¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1050831,3262.83,84,3,84,¦³,µL,20934300,6416,,0.0,0,,RPSNMLNLKILFFAV86CA
¥xªF¥«,«Øª«,»OªF¿¤»OªF¥«¦è±d¸ô¤@¬q72«Ñ60§Ë1~30¸¹,0.0,,,,1051020,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤@¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,0881106,97.52,0,0,0,¦³,µL,1600000,16407,,0.0,0,,RPVNMLQLKILFFAV47CA
ªFªe¶m,«Øª«,»OªF¿¤ªFªe¶m¥_·½§ø²M·Ë1~30¸¹,0.0,,,,1051226,¤g¦a0«Øª«1¨®¦ì0,¤@¼h,¤@¼h,¨ä¥L,¨£¨ä¥Lµn°O¨Æ¶µ,¥[±j¿j³y,0820301,126.49,0,0,0,µL,µL,310000,2451,,0.0,0,,RPPNMLMKJHMFFBV09DA
¨õ«n¶m,«Øª«,»OªF¿¤¨õ«n¶mªª³õ1~30¸¹,0.0,,,,1051130,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤@¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0621201,525.61,0,1,0,¦³,µL,250252,476,,0.0,0,¦V¬F©²¾÷Ãö©ÓÁÊ¤§®×¥ó¡C,RPTNMLPKKHMFFAV17DA
¨õ«n¶m,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªF¥«¤Ó¥­¸ô344«Ñ1~30¸¹,61.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1060202,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤@¼h,³z¤Ñ­í,¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0700907,83.6,3,2,1,¦³,µL,650000,7775,,0.0,0,,RPRNMLOKKHMFFAV86DA
¤jªZ¶m,«Øª«,»OªF¿¤¤jªZ¶m¥Á¦³µó61~90¸¹,0.0,,,,1060306,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,0970522,161.84,4,2,3,¦³,µL,1316000,8131,,0.0,0,,RPPNMLMLLHMFFDV86CA
³À³¥¶m,«Øª«,»OªF¿¤³À³¥¶m¥Ã¦w¸ô265«Ñ1~30¸¹,0.0,,,,1060316,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1060123,215.25,5,2,5,¦³,µL,1200000,5575,,0.0,0,,RPQNMLSKMHMFFCV47CA
ªøÀØ¶m,«Øª«,»OªF¿¤ªøÀØ¶m¼Ì­ì§ø8¾F¼Ì­ì91~120¸¹,0.0,,,,1060317,¤g¦a0«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¥[±j¿j³y,0890904,163.5,3,1,2,¦³,µL,208800,1277,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPPNMLLJNHMFFBV66DA
¨õ«n¶m,¤g¦a,®õ¦w¬q631~660¦a¸¹,227.03,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1060417,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2300000,10131,,0.0,0,,RPQNMLLJNHMFFAV56CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªF¥«¦NªL¸ô¤@¬q231«Ñ1~30¸¹,138.93,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1051202,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1051130,186.87,4,2,4,¦³,µL,7600000,40670,,0.0,0,,RPRNMLLJNHMFFAV66CA
¨õ«n¶m,¤g¦a,§Q®a¬q5191~5220¦a¸¹,4204.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1060306,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6580000,1565,,0.0,0,,RPQNMLPKNHMFFAV07CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªF¥«¤¯©÷µó10«Ñ1~30¸¹,115.66,¦í,,,1060412,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0760121,119.23,4,2,2,¦³,µL,6000000,50323,,0.0,0,,RPUNMLNLNHMFFAV37CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªF¥«¤¤¿³¸ô¤G¬q450«Ñ28§Ë31~60¸¹,6.0,¦í,,,1060419,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,¤E¼h,®M©Ð(1©Ð1ÆU1½Ã),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0850628,39.28,0,0,0,µL,¦³,1280000,32587,,0.0,0,,RPTNMLNJNHMFFAV07CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªF¥«©¥ÆW¸ô50«Ñ421~450¸¹,72.67,¦í,,,1060328,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,¤Q¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0950310,203.26999999999998,3,2,2,¦³,µL,2600000,12791,,0.0,0,,RPUNMLSJNHMFFAV67CA
ªøÀØ¶m,¤g¦a,¤K¥P¬}¬q121~150¦a¸¹,1232.12,,­·´º°Ï,¹Aªª¥Î¦a,1060209,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2000000,1623,,0.0,0,,RPQNMLMLNHMFFBV96CA
¦¨¥\Âí,¤g¦a,·s´ä¬q¤KÃä¤p¬q31~60¦a¸¹,699.0,,­·´º°Ï,¹Aªª¥Î¦a,1060320,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1500000,2146,,0.0,0,,RPPNMLNJNHMFFBV76CA
¦¨¥\Âí,¤g¦a,©¾«i¬q931~960¦a¸¹,78.93,¦í,,,1060418,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1917200,24290,,0.0,0,,RPSNMLNJNHMFFBV07CA
